,PLAYER_ID,PLAYER
0,1631210,Jacob Toppin
1,1630552,Jalen Johnson
2,1630811,Keaton Wallace
3,1627747,Caris LeVert
4,1641723,Kobe Bufkin
5,1630700,Dyson Daniels
6,1642258,Zaccharie Risacher
7,1629027,Trae Young
8,1629611,Terance Mann
9,203991,Clint Capela
10,1630168,Onyeka Okongwu
11,1631243,Mouhamed Gueye
12,1627777,Georges Niang
13,1626204,Larry Nance Jr.
14,1629726,Garrison Mathews
15,1631230,Dominick Barlow
16,1630249,Vít Krejčí
17,1631342,Daeqwon Plowden
18,1628369,Jayson Tatum
19,1641936,Miles Norris
20,201950,Jrue Holiday
21,1627759,Jaylen Brown
22,204001,Kristaps Porziņģis
23,1628401,Derrick White
24,1630202,Payton Pritchard
25,1628470,Torrey Craig
26,1641809,Drew Peterson
27,1631120,JD Davison
28,1630214,Xavier Tillman
29,1641775,Jordan Walsh
30,1630573,Sam Hauser
31,1628436,Luke Kornet
32,201143,Al Horford
33,1631248,Baylor Scheierman
34,1629674,Neemias Queta
35,1629622,Max Strus
36,1629660,Ty Jerome
37,1630596,Evan Mobley
38,1630241,Sam Merrill
39,1629750,Javonte Green
40,1641854,Craig Porter Jr.
41,1629636,Darius Garland
42,1629631,De'Andre Hunter
43,202684,Tristan Thompson
44,1629643,Chuma Okeke
45,1641734,Emoni Bates
46,1642281,Jaylon Tyson
47,1641772,Nae'Qwan Tomlin
48,1628386,Jarrett Allen
49,1629731,Dean Wade
50,1631247,Luke Travers
51,1630171,Isaac Okoro
52,1628378,Donovan Mitchell
53,1631232,Keion Brooks Jr.
54,1628971,Bruce Brown
55,1629627,Zion Williamson
56,1630529,Herbert Jones
57,203468,CJ McCollum
58,203901,Elfrid Payton
59,1627749,Dejounte Murray
60,1631288,Jamal Cain
61,1630527,Brandon Boston
62,1641810,Antonio Reeves
63,203482,Kelly Olynyk
64,1630631,Jose Alvarado
65,1631255,Karlo Matković
66,1642274,Yves Missi
67,1631311,Lester Quinones
68,1641722,Jordan Hawkins
69,1630530,Trey Murphy III
70,1630526,Jeremiah Robinson-Earl
71,1629632,Coby White
72,1628366,Lonzo Ball
73,1630581,Josh Giddey
74,1628975,Jevon Carter
75,1630188,Jalen Smith
76,202696,Nikola Vučević
77,1630245,Ayo Dosunmu
78,1642443,Jahmir Young
79,1628380,Zach Collins
80,1628989,Kevin Huerter
81,1641824,Matas Buzelis
82,1641763,Julian Phillips
83,1641801,Emanuel Miller
84,1629659,Talen Horton-Tucker
85,1631207,Dalen Terry
86,1630200,Tre Jones
87,1630604,E.J. Liddell
88,1630172,Patrick Williams
89,203957,Danté Exum
90,1631108,Max Christie
91,1630702,Jaden Hardy
92,1641726,Dereck Lively II
93,203076,Anthony Davis
94,203939,Dwight Powell
95,1641765,Olivier-Maxence Prosper
96,1630314,Brandon Williams
97,202681,Kyrie Irving
98,1630230,Naji Marshall
99,1628997,Caleb Martin
100,1630556,Kessler Edwards
101,1629655,Daniel Gafford
102,1630539,Kai Jones
103,1629023,P.J. Washington
104,203915,Spencer Dinwiddie
105,202691,Klay Thompson
106,1631128,Christian Braun
107,1629008,Michael Porter Jr.
108,1631124,Julian Strawther
109,201566,Russell Westbrook
110,1641816,Hunter Tyson
111,201599,DeAndre Jordan
112,1631212,Peyton Watson
113,203967,Dario Šarić
114,1641790,PJ Hall
115,1641747,DaRon Holmes II
116,203999,Nikola Jokić
117,1642461,Spencer Jones
118,1630192,Zeke Nnaji
119,1641725,Trey Alexander
120,1629618,Jalen Pickett
121,1627750,Jamal Murray
122,1628427,Vlatko Čančar
123,203932,Aaron Gordon
124,1627780,Gary Payton II
125,1630228,Jonathan Kuminga
126,1642379,Taran Armstrong
127,1641764,Brandin Podziemski
128,1630541,Moses Moody
129,1626172,Kevon Looney
130,1627741,Buddy Hield
131,202710,Jimmy Butler III
132,1630296,Braxton Key
133,1630611,Gui Santos
134,1642366,Quinten Post
135,203110,Draymond Green
136,201939,Stephen Curry
137,1628995,Kevin Knox II
138,1631218,Trayce Jackson-Davis
139,1642050,Jackson Rowe
140,1630311,Pat Spencer
141,1628988,Aaron Holiday
142,1641708,Amen Thompson
143,1629111,Jock Landale
144,1642368,N'Faly Dante
145,1630224,Jalen Green
146,1627832,Fred VanVleet
147,1641715,Cam Whitmore
148,1630256,Jae'Sean Tate
149,1628415,Dillon Brooks
150,1631095,Jabari Smith Jr.
151,203500,Steven Adams
152,1642263,Reed Sheppard
153,1631106,Tari Eason
154,1631466,Nate Williams
155,1630578,Alperen Sengun
156,201145,Jeff Green
157,1631223,David Roddy
158,1629098,Jack McVeigh
159,201935,James Harden
160,202695,Kawhi Leonard
161,1641754,Seth Lundy
162,1629599,Amir Coffey
163,1627739,Kris Dunn
164,1642280,Trentyn Flowers
165,203992,Bogdan Bogdanović
166,1641757,Jordan Miller
