PLAYER_ID,PLAYER,SEASON,Height,Weight,Position,Draft Year
1628369,Jayson Tatum,2020-21,6-8,210,Forward-Guard,2017
1628369,Jayson Tatum,2021-22,6-8,210,Forward-Guard,2017
1628369,Jayson Tatum,2017-18,6-8,210,Forward-Guard,2017
1628369,Jayson Tatum,2022-23,6-8,210,Forward-Guard,2017
1628369,Jayson Tatum,2023-24,6-8,210,Forward-Guard,2017
1628369,Jayson Tatum,2019-20,6-8,210,Forward-Guard,2017
1641936,Miles Norris,2024-25,6-7,220,Forward,Undrafted
201950,Jrue Holiday,2018-19,6-4,220,Guard,2009
201950,Jrue Holiday,2024-25,6-4,220,Guard,2009
201950,Jrue Holiday,2016-17,6-4,220,Guard,2009
201950,Jrue Holiday,2020-21,6-4,220,Guard,2009
201950,Jrue Holiday,2021-22,6-4,220,Guard,2009
201950,Jrue Holiday,2017-18,6-4,220,Guard,2009
201950,Jrue Holiday,2022-23,6-4,220,Guard,2009
201950,Jrue Holiday,2023-24,6-4,220,Guard,2009
201950,Jrue Holiday,2015-16,6-4,220,Guard,2009
201950,Jrue Holiday,2019-20,6-4,220,Guard,2009
1627759,Jaylen Brown,2018-19,6-6,223,Guard-Forward,2016
1627759,Jaylen Brown,2024-25,6-6,223,Guard-Forward,2016
1627759,Jaylen Brown,2016-17,6-6,223,Guard-Forward,2016
1627759,Jaylen Brown,2020-21,6-6,223,Guard-Forward,2016
1627759,Jaylen Brown,2021-22,6-6,223,Guard-Forward,2016
1627759,Jaylen Brown,2017-18,6-6,223,Guard-Forward,2016
1627759,Jaylen Brown,2022-23,6-6,223,Guard-Forward,2016
1627759,Jaylen Brown,2023-24,6-6,223,Guard-Forward,2016
1627759,Jaylen Brown,2019-20,6-6,223,Guard-Forward,2016
204001,Kristaps Porziņģis,2024-25,7-2,240,Forward-Center,2015
204001,Kristaps Porziņģis,2016-17,7-2,240,Forward-Center,2015
204001,Kristaps Porziņģis,2020-21,7-2,240,Forward-Center,2015
204001,Kristaps Porziņģis,2021-22,7-2,240,Forward-Center,2015
204001,Kristaps Porziņģis,2017-18,7-2,240,Forward-Center,2015
204001,Kristaps Porziņģis,2022-23,7-2,240,Forward-Center,2015
204001,Kristaps Porziņģis,2023-24,7-2,240,Forward-Center,2015
204001,Kristaps Porziņģis,2015-16,7-2,240,Forward-Center,2015
204001,Kristaps Porziņģis,2019-20,7-2,240,Forward-Center,2015
1628401,Derrick White,2018-19,6-4,190,Guard,2017
1628401,Derrick White,2024-25,6-4,190,Guard,2017
1628401,Derrick White,2020-21,6-4,190,Guard,2017
1628401,Derrick White,2021-22,6-4,190,Guard,2017
1628401,Derrick White,2017-18,6-4,190,Guard,2017
1628401,Derrick White,2022-23,6-4,190,Guard,2017
1628401,Derrick White,2023-24,6-4,190,Guard,2017
1628401,Derrick White,2019-20,6-4,190,Guard,2017
1630202,Payton Pritchard,2024-25,6-1,195,Guard,2020
1630202,Payton Pritchard,2020-21,6-1,195,Guard,2020
1630202,Payton Pritchard,2021-22,6-1,195,Guard,2020
1630202,Payton Pritchard,2022-23,6-1,195,Guard,2020
1630202,Payton Pritchard,2023-24,6-1,195,Guard,2020
1628470,Torrey Craig,2018-19,6-5,221,Forward,Undrafted
1628470,Torrey Craig,2024-25,6-5,221,Forward,Undrafted
1628470,Torrey Craig,2020-21,6-5,221,Forward,Undrafted
1628470,Torrey Craig,2021-22,6-5,221,Forward,Undrafted
1628470,Torrey Craig,2017-18,6-5,221,Forward,Undrafted
1628470,Torrey Craig,2022-23,6-5,221,Forward,Undrafted
1628470,Torrey Craig,2023-24,6-5,221,Forward,Undrafted
1628470,Torrey Craig,2019-20,6-5,221,Forward,Undrafted
1641809,Drew Peterson,2024-25,6-8,205,Forward,Undrafted
1641809,Drew Peterson,2023-24,6-8,205,Forward,Undrafted
1631120,JD Davison,2024-25,6-1,195,Guard,2022
1631120,JD Davison,2023-24,6-1,195,Guard,2022
1631120,JD Davison,2022-23,6-1,195,Guard,2022
1630214,Xavier Tillman,2024-25,6-8,245,Forward,2020
1630214,Xavier Tillman,2020-21,6-8,245,Forward,2020
1630214,Xavier Tillman,2021-22,6-8,245,Forward,2020
1630214,Xavier Tillman,2022-23,6-8,245,Forward,2020
1630214,Xavier Tillman,2023-24,6-8,245,Forward,2020
1641775,Jordan Walsh,2024-25,6-6,205,Guard,2023
1641775,Jordan Walsh,2023-24,6-6,205,Guard,2023
1630573,Sam Hauser,2024-25,6-7,217,Forward,Undrafted
1630573,Sam Hauser,2023-24,6-7,217,Forward,Undrafted
1630573,Sam Hauser,2021-22,6-7,217,Forward,Undrafted
1630573,Sam Hauser,2022-23,6-7,217,Forward,Undrafted
1628436,Luke Kornet,2018-19,7-1,250,Center-Forward,Undrafted
1628436,Luke Kornet,2024-25,7-1,250,Center-Forward,Undrafted
1628436,Luke Kornet,2020-21,7-1,250,Center-Forward,Undrafted
1628436,Luke Kornet,2021-22,7-1,250,Center-Forward,Undrafted
1628436,Luke Kornet,2017-18,7-1,250,Center-Forward,Undrafted
1628436,Luke Kornet,2022-23,7-1,250,Center-Forward,Undrafted
1628436,Luke Kornet,2023-24,7-1,250,Center-Forward,Undrafted
1628436,Luke Kornet,2019-20,7-1,250,Center-Forward,Undrafted
201143,Al Horford,2018-19,6-8,240,Center-Forward,2007
201143,Al Horford,2024-25,6-8,240,Center-Forward,2007
201143,Al Horford,2016-17,6-8,240,Center-Forward,2007
201143,Al Horford,2020-21,6-8,240,Center-Forward,2007
201143,Al Horford,2021-22,6-8,240,Center-Forward,2007
201143,Al Horford,2017-18,6-8,240,Center-Forward,2007
201143,Al Horford,2022-23,6-8,240,Center-Forward,2007
201143,Al Horford,2023-24,6-8,240,Center-Forward,2007
201143,Al Horford,2015-16,6-8,240,Center-Forward,2007
201143,Al Horford,2019-20,6-8,240,Center-Forward,2007
1631248,Baylor Scheierman,2024-25,6-6,205,Guard,2024
1629674,Neemias Queta,2024-25,7-0,248,Center,2021
1629674,Neemias Queta,2023-24,7-0,248,Center,2021
1629674,Neemias Queta,2021-22,7-0,248,Center,2021
1629674,Neemias Queta,2022-23,7-0,248,Center,2021
1629622,Max Strus,2024-25,6-5,215,Guard-Forward,Undrafted
1629622,Max Strus,2020-21,6-5,215,Guard-Forward,Undrafted
1629622,Max Strus,2021-22,6-5,215,Guard-Forward,Undrafted
1629622,Max Strus,2022-23,6-5,215,Guard-Forward,Undrafted
1629622,Max Strus,2023-24,6-5,215,Guard-Forward,Undrafted
1629622,Max Strus,2019-20,6-5,215,Guard-Forward,Undrafted
1629660,Ty Jerome,2024-25,6-5,195,Guard-Forward,2019
1629660,Ty Jerome,2020-21,6-5,195,Guard-Forward,2019
1629660,Ty Jerome,2021-22,6-5,195,Guard-Forward,2019
1629660,Ty Jerome,2022-23,6-5,195,Guard-Forward,2019
1629660,Ty Jerome,2023-24,6-5,195,Guard-Forward,2019
1629660,Ty Jerome,2019-20,6-5,195,Guard-Forward,2019
1630596,Evan Mobley,2024-25,6-11,215,Center,2021
1630596,Evan Mobley,2023-24,6-11,215,Center,2021
1630596,Evan Mobley,2021-22,6-11,215,Center,2021
1630596,Evan Mobley,2022-23,6-11,215,Center,2021
1630241,Sam Merrill,2024-25,6-4,205,Guard,2020
1630241,Sam Merrill,2020-21,6-4,205,Guard,2020
1630241,Sam Merrill,2021-22,6-4,205,Guard,2020
1630241,Sam Merrill,2022-23,6-4,205,Guard,2020
1630241,Sam Merrill,2023-24,6-4,205,Guard,2020
1629750,Javonte Green,2024-25,6-5,205,Guard,Undrafted
1629750,Javonte Green,2020-21,6-5,205,Guard,Undrafted
1629750,Javonte Green,2021-22,6-5,205,Guard,Undrafted
1629750,Javonte Green,2022-23,6-5,205,Guard,Undrafted
1629750,Javonte Green,2023-24,6-5,205,Guard,Undrafted
1629750,Javonte Green,2019-20,6-5,205,Guard,Undrafted
1641854,Craig Porter Jr.,2024-25,6-1,180,Guard,Undrafted
1641854,Craig Porter Jr.,2023-24,6-1,180,Guard,Undrafted
1629636,Darius Garland,2024-25,6-1,192,Guard,2019
1629636,Darius Garland,2020-21,6-1,192,Guard,2019
1629636,Darius Garland,2021-22,6-1,192,Guard,2019
1629636,Darius Garland,2022-23,6-1,192,Guard,2019
1629636,Darius Garland,2023-24,6-1,192,Guard,2019
1629636,Darius Garland,2019-20,6-1,192,Guard,2019
1629631,De'Andre Hunter,2024-25,6-7,221,Forward-Guard,2019
1629631,De'Andre Hunter,2020-21,6-7,221,Forward-Guard,2019
1629631,De'Andre Hunter,2021-22,6-7,221,Forward-Guard,2019
1629631,De'Andre Hunter,2022-23,6-7,221,Forward-Guard,2019
1629631,De'Andre Hunter,2023-24,6-7,221,Forward-Guard,2019
1629631,De'Andre Hunter,2019-20,6-7,221,Forward-Guard,2019
202684,Tristan Thompson,2018-19,6-9,254,Center-Forward,2011
202684,Tristan Thompson,2024-25,6-9,254,Center-Forward,2011
202684,Tristan Thompson,2016-17,6-9,254,Center-Forward,2011
202684,Tristan Thompson,2020-21,6-9,254,Center-Forward,2011
202684,Tristan Thompson,2021-22,6-9,254,Center-Forward,2011
202684,Tristan Thompson,2017-18,6-9,254,Center-Forward,2011
202684,Tristan Thompson,2023-24,6-9,254,Center-Forward,2011
202684,Tristan Thompson,2015-16,6-9,254,Center-Forward,2011
202684,Tristan Thompson,2019-20,6-9,254,Center-Forward,2011
1629643,Chuma Okeke,2024-25,6-7,229,Forward,2019
1629643,Chuma Okeke,2020-21,6-7,229,Forward,2019
1629643,Chuma Okeke,2021-22,6-7,229,Forward,2019
1629643,Chuma Okeke,2022-23,6-7,229,Forward,2019
1629643,Chuma Okeke,2023-24,6-7,229,Forward,2019
1641734,Emoni Bates,2024-25,6-8,202,Forward,2023
1641734,Emoni Bates,2023-24,6-8,202,Forward,2023
1642281,Jaylon Tyson,2024-25,6-6,215,Guard-Forward,2024
1641772,Nae'Qwan Tomlin,2024-25,6-8,210,Forward,Undrafted
1628386,Jarrett Allen,2018-19,6-9,243,Center,2017
1628386,Jarrett Allen,2024-25,6-9,243,Center,2017
1628386,Jarrett Allen,2020-21,6-9,243,Center,2017
1628386,Jarrett Allen,2021-22,6-9,243,Center,2017
1628386,Jarrett Allen,2017-18,6-9,243,Center,2017
1628386,Jarrett Allen,2022-23,6-9,243,Center,2017
1628386,Jarrett Allen,2023-24,6-9,243,Center,2017
1628386,Jarrett Allen,2019-20,6-9,243,Center,2017
1629731,Dean Wade,2024-25,6-9,228,Forward-Center,Undrafted
1629731,Dean Wade,2020-21,6-9,228,Forward-Center,Undrafted
1629731,Dean Wade,2021-22,6-9,228,Forward-Center,Undrafted
1629731,Dean Wade,2022-23,6-9,228,Forward-Center,Undrafted
1629731,Dean Wade,2023-24,6-9,228,Forward-Center,Undrafted
1629731,Dean Wade,2019-20,6-9,228,Forward-Center,Undrafted
1631247,Luke Travers,2024-25,6-6,207,Forward,2022
1630171,Isaac Okoro,2024-25,6-4,225,Forward-Guard,2020
1630171,Isaac Okoro,2020-21,6-4,225,Forward-Guard,2020
1630171,Isaac Okoro,2021-22,6-4,225,Forward-Guard,2020
1630171,Isaac Okoro,2022-23,6-4,225,Forward-Guard,2020
1630171,Isaac Okoro,2023-24,6-4,225,Forward-Guard,2020
1628378,Donovan Mitchell,2018-19,6-2,215,Guard,2017
1628378,Donovan Mitchell,2024-25,6-2,215,Guard,2017
1628378,Donovan Mitchell,2020-21,6-2,215,Guard,2017
1628378,Donovan Mitchell,2021-22,6-2,215,Guard,2017
1628378,Donovan Mitchell,2017-18,6-2,215,Guard,2017
1628378,Donovan Mitchell,2022-23,6-2,215,Guard,2017
1628378,Donovan Mitchell,2023-24,6-2,215,Guard,2017
1628378,Donovan Mitchell,2019-20,6-2,215,Guard,2017
1631232,Keion Brooks Jr.,2024-25,6-7,210,Forward,Undrafted
1628971,Bruce Brown,2018-19,6-4,202,Guard-Forward,2018
1628971,Bruce Brown,2024-25,6-4,202,Guard-Forward,2018
1628971,Bruce Brown,2020-21,6-4,202,Guard-Forward,2018
1628971,Bruce Brown,2021-22,6-4,202,Guard-Forward,2018
1628971,Bruce Brown,2022-23,6-4,202,Guard-Forward,2018
1628971,Bruce Brown,2023-24,6-4,202,Guard-Forward,2018
1628971,Bruce Brown,2019-20,6-4,202,Guard-Forward,2018
1629627,Zion Williamson,2024-25,6-6,284,Forward,2019
1629627,Zion Williamson,2020-21,6-6,284,Forward,2019
1629627,Zion Williamson,2022-23,6-6,284,Forward,2019
1629627,Zion Williamson,2023-24,6-6,284,Forward,2019
1629627,Zion Williamson,2019-20,6-6,284,Forward,2019
