,PLAYER_ID,PLAYER
441,1630534,Ochai Agbaji
442,1642419,Jamison Battle
444,1641707,Taylor Hendricks
445,1629012,Collin Sexton
446,1641718,Keyonte George
447,1642262,Cody Williams
448,1630531,Jaden Springer
449,1642268,Isaiah Collier
450,1641989,Elijah Harkless
452,1628381,John Collins
453,1642271,Kyle Filipowski
454,1628374,Lauri Markkanen
455,1631117,Walker Kessler
456,1630695,Micah Potter
457,1641729,Brice Sensabaugh
458,1630548,Johnny Juzang
459,1631131,Oscar Tshiebwe
460,1630231,KJ Martin
461,1642389,Zyon Pullin
462,1642377,Jaylen Wells
463,1630590,Scotty Pippen Jr.
465,1631246,Vince Williams Jr.
466,1630583,Santi Aldama
467,1630205,Lamar Stevens
469,1629630,Ja Morant
470,1628991,Jaren Jackson Jr.
471,1641744,Zach Edey
472,1629634,Brandon Clarke
473,1642530,Yuki Kawamura
474,1642285,Cam Spencer
475,1630643,Jay Huff
476,1628963,Marvin Bagley III
477,1641713,GG Jackson
478,1629723,John Konchar
479,1630175,Cole Anthony
480,1641731,Bilal Coulibaly
481,1641774,Tristan Vukcevic
482,1641732,Colby Jones
483,1641798,Jaylen Martin
484,1642358,AJ Johnson
485,1642267,Bub Carrington
486,1630551,Justin Champagnie
488,1630180,Saddiq Bey
490,1630264,Anthony Gill
491,1642273,Kyshawn George
492,1642259,Alex Sarr
493,1630550,JT Thor
495,1630557,Corey Kispert
497,203935,Marcus Smart
498,1631105,Jalen Duren
499,1641842,Ronald Holland II
500,1630595,Cade Cunningham
504,1641709,Ausar Thompson
506,1631199,Ron Harper Jr.
508,1631323,Simone Fontecchio
509,1631093,Jaden Ivey
510,1642450,Daniss Jenkins
511,1631204,Marcus Sasser
512,1630191,Isaiah Stewart
513,1641752,Bobi Klintman
514,1642449,Tolu Smith
516,1628970,Miles Bridges
517,1630163,LaMelo Ball
519,1629610,DaQuan Jeffries
520,1631109,Mark Williams
521,1641878,Damion Baugh
522,1641733,Nick Smith Jr.
529,1641706,Brandon Miller
530,1642354,KJ Simpson
532,1642275,Tidjane Salaün
533,201959,Taj Gibson
