star_player,player1_archetype,player2_archetype,player3_archetype,player4_archetype,offensive_rating,defensive_rating,net_rating,min_sum
Anthony Edwards,Movement Shooter,Movement Shooter,Pure Point Guard,Rim Runner/Protector,94.9550724637681,117.71739130434783,-22.76231884057971,69.0
Anthony Edwards,3&D,All Around Guard,Movement Shooter,Wing Shot Creator,111.77878787878787,114.84545454545454,-3.0727272727272736,66.0
Anthony Edwards,All Around Big,All Around Guard,Pure Point Guard,Wing Shot Creator,111.29848484848485,101.12878787878788,10.169696969696968,66.0
Anthony Edwards,3&D,Pure Point Guard,Rim Runner/Protector,Wing Shot Creator,110.446875,93.721875,16.825,64.0
Anthony Edwards,All Around Big,Movement Shooter,Rim Runner/Protector,Wing Shot Creator,93.6,88.3,5.3,64.0
Anthony Edwards,3&D,All Around Guard,Wing Shot Creator,Wing Shot Creator,116.01428571428572,126.89464285714284,-10.891071428571426,56.0
Anthony Edwards,All Around Guard,Movement Shooter,Post Scorer,Rim Runner/Protector,115.94285714285715,104.49642857142858,11.457142857142856,56.0
Anthony Edwards,Movement Shooter,Pure Point Guard,Shot Creator Guard,Wing Shot Creator,122.12857142857145,127.38571428571429,-5.257142857142857,56.0
Anthony Edwards,All Around Big,Movement Shooter,Shot Creator Guard,Wing Shot Creator,109.88148148148147,119.9925925925926,-10.14074074074074,54.0
Anthony Edwards,Movement Shooter,Post Scorer,Rim Runner/Protector,Wing Shot Creator,86.52222222222223,120.78888888888889,-34.266666666666666,54.0
Anthony Edwards,3&D,Movement Shooter,Pure Point Guard,Stretch Big,95.9188679245283,106.4188679245283,-10.500000000000002,53.0
Anthony Edwards,3&D,Movement Shooter,Shot Creator Guard,Stretch Big,85.72075471698113,90.22452830188679,-4.462264150943396,53.0
Anthony Edwards,All Around Guard,Movement Shooter,Post Scorer,Wing Shot Creator,122.71320754716982,98.03018867924528,24.735849056603772,53.0
Anthony Edwards,Movement Shooter,Rim Runner/Protector,Shot Creator Guard,Stretch Big,102.5622641509434,105.8377358490566,-3.2754716981132073,53.0
Anthony Edwards,All Around Big,All Around Guard,Post Scorer,Rim Runner/Protector,110.41428571428571,95.88163265306122,14.532653061224488,49.0
Anthony Edwards,All Around Big,Pure Point Guard,Shot Creator Guard,Wing Shot Creator,106.28333333333335,111.46041666666667,-5.15625,48.0
Anthony Edwards,3&D,All Around Big,All Around Guard,Movement Shooter,110.47608695652173,110.6086956521739,-0.1326086956521744,46.0
Anthony Edwards,3&D,Movement Shooter,Rim Runner/Protector,Wing Shot Creator,124.73260869565219,105.58478260869565,19.113043478260867,46.0
Anthony Edwards,3&D,3&D,All Around Big,Pure Point Guard,110.22222222222223,130.4288888888889,-20.206666666666667,45.0
Anthony Edwards,3&D,3&D,Shot Creator Guard,Wing Shot Creator,90.8,91.7,-0.9,45.0
Anthony Edwards,All Around Big,Movement Shooter,Wing Shot Creator,Wing Shot Creator,147.8,103.3,44.5,44.0
Anthony Edwards,Movement Shooter,Movement Shooter,Pure Point Guard,Wing Shot Creator,106.18809523809526,107.85952380952382,-1.626190476190475,42.0
Anthony Edwards,All Around Big,Movement Shooter,Rim Runner/Protector,Shot Creator Guard,141.5878048780488,112.39268292682928,29.195121951219512,41.0
Anthony Edwards,All Around Big,All Around Guard,Movement Shooter,Rim Runner/Protector,132.8175,98.615,34.2025,40.0
Anthony Edwards,Glue guy,Movement Shooter,Rim Runner/Protector,Wing Shot Creator,112.87692307692308,117.11538461538461,-4.238461538461538,39.0
Anthony Edwards,All Around Guard,Movement Shooter,Pure Point Guard,Rim Runner/Protector,124.35000000000001,101.97894736842105,22.384210526315787,38.0
Anthony Edwards,3&D,All Around Big,All Around Guard,Pure Point Guard,98.74864864864864,125.66756756756756,-26.91891891891892,37.0
Anthony Edwards,Pure Point Guard,Rim Runner/Protector,Wing Shot Creator,Wing Shot Creator,114.30000000000001,100.0,14.300000000000002,36.0
Anthony Edwards,3&D,3&D,All Around Big,All Around Guard,97.07142857142857,137.44285714285715,-40.3,35.0
Anthony Edwards,All Around Big,All Around Guard,All Around Guard,Movement Shooter,101.4,87.5,13.9,34.0
Anthony Edwards,All Around Guard,All Around Guard,Wing Shot Creator,Wing Shot Creator,112.38823529411764,101.32352941176471,11.064705882352941,34.0
Anthony Edwards,Movement Shooter,Movement Shooter,Shot Creator Guard,Wing Shot Creator,106.61176470588236,99.47058823529412,7.211764705882353,34.0
Anthony Edwards,3&D,3&D,All Around Big,Shot Creator Guard,102.003125,107.30625,-5.303125,32.0
Anthony Edwards,All Around Big,All Around Big,Movement Shooter,Pure Point Guard,99.00937499999999,112.071875,-13.05,32.0
Anthony Edwards,All Around Big,All Around Guard,Glue guy,Rim Runner/Protector,125.92000000000002,88.58,37.34,30.0
Anthony Edwards,3&D,3&D,Pure Point Guard,Wing Shot Creator,118.92857142857143,89.28571428571429,29.642857142857142,28.0
Anthony Edwards,3&D,Rim Runner/Protector,Shot Creator Guard,Stretch Big,118.02857142857144,95.17142857142858,22.857142857142858,28.0
Anthony Edwards,All Around Big,All Around Guard,Glue guy,Movement Shooter,121.35000000000001,101.675,19.657142857142855,28.0
Anthony Edwards,Post Scorer,Rim Runner/Protector,Wing Shot Creator,Wing Shot Creator,135.6,94.8,40.8,28.0
Anthony Edwards,All Around Big,Glue guy,Movement Shooter,Post Scorer,99.2,102.19999999999999,-3.0,27.0
Anthony Edwards,Pure Point Guard,Rim Runner/Protector,Shot Creator Guard,Stretch Big,115.47777777777777,122.16666666666664,-6.61111111111111,27.0
Anthony Edwards,All Around Big,All Around Guard,Pure Point Guard,Rim Runner/Protector,96.39230769230768,96.91923076923075,-0.5269230769230765,26.0
Anthony Edwards,All Around Big,All Around Guard,Rim Runner/Protector,Shot Creator Guard,103.97692307692306,150.0076923076923,-46.03076923076923,26.0
Anthony Edwards,All Around Big,Movement Shooter,Pure Point Guard,Wing Shot Creator,157.34615384615384,115.23846153846154,42.107692307692304,26.0
Anthony Edwards,All Around Big,All Around Big,Pure Point Guard,Shot Creator Guard,107.3,120.0,-12.7,25.0
Anthony Edwards,All Around Big,Post Scorer,Wing Shot Creator,Wing Shot Creator,137.7,84.5,53.3,25.0
Anthony Edwards,All Around Big,All Around Guard,All Around Guard,Wing Shot Creator,115.80000000000001,99.93333333333334,15.866666666666665,24.0
Anthony Edwards,All Around Big,Glue guy,Post Scorer,Wing Shot Creator,116.17500000000001,80.3125,35.8625,24.0
Anthony Edwards,All Around Guard,Post Scorer,Wing Shot Creator,Wing Shot Creator,82.125,87.0125,-4.8875,24.0
Anthony Edwards,Movement Shooter,Movement Shooter,Pure Point Guard,Stretch Big,113.7,91.40000000000002,22.3,24.0
Anthony Edwards,All Around Guard,Glue guy,Rim Runner/Protector,Wing Shot Creator,163.8434782608696,106.49130434782607,57.35217391304349,23.0
Anthony Edwards,All Around Big,Glue guy,Movement Shooter,Rim Runner/Protector,97.25454545454546,90.43181818181819,6.822727272727274,22.0
Anthony Edwards,Movement Shooter,Post Scorer,Wing Shot Creator,Wing Shot Creator,110.0,110.4,-0.4,22.0
Anthony Edwards,3&D,All Around Big,Pure Point Guard,Shot Creator Guard,125.86190476190475,157.17142857142858,-31.342857142857145,21.0
Anthony Edwards,3&D,Pure Point Guard,Rim Runner/Protector,Shot Creator Guard,75.08571428571429,126.22857142857144,-51.18095238095238,21.0
Anthony Edwards,Movement Shooter,Pure Point Guard,Shot Creator Guard,Stretch Big,108.64761904761905,122.30000000000001,-13.619047619047619,21.0
Anthony Edwards,3&D,All Around Big,All Around Big,Pure Point Guard,129.34,121.67999999999999,7.659999999999999,20.0
Anthony Edwards,3&D,Glue guy,Movement Shooter,Wing Shot Creator,84.0,121.04,-37.04,20.0
Anthony Edwards,All Around Big,Glue guy,Post Scorer,Rim Runner/Protector,90.875,80.1,10.775,20.0
Anthony Edwards,All Around Big,Pure Point Guard,Wing Shot Creator,Wing Shot Creator,88.4,92.7,-4.3,20.0
Anthony Edwards,All Around Guard,Pure Point Guard,Rim Runner/Protector,Wing Shot Creator,69.42,111.32000000000001,-41.9,20.0
Anthony Edwards,3&D,All Around Guard,Rim Runner/Protector,Wing Shot Creator,105.42222222222222,103.5,1.9222222222222218,18.0
Anthony Edwards,All Around Big,Glue guy,Pure Point Guard,Wing Shot Creator,116.19999999999999,105.07777777777778,11.122222222222225,18.0
Anthony Edwards,3&D,3&D,Movement Shooter,Wing Shot Creator,114.69999999999999,82.7,32.0,17.0
Anthony Edwards,3&D,All Around Big,Rim Runner/Protector,Shot Creator Guard,97.32499999999999,113.675,-16.349999999999994,16.0
Anthony Edwards,All Around Big,Glue guy,Movement Shooter,Wing Shot Creator,93.75,126.6125,-32.8625,16.0
Anthony Edwards,All Around Big,Post Scorer,Rim Runner/Protector,Wing Shot Creator,100.0,86.5,13.5,16.0
Anthony Edwards,Rim Runner/Protector,Shot Creator Guard,Shot Creator Guard,Wing Shot Creator,135.1,120.0,15.1,16.0
Anthony Edwards,All Around Big,Glue guy,Shot Creator Guard,Wing Shot Creator,142.70666666666665,94.16666666666667,48.540000000000006,15.0
Anthony Edwards,Movement Shooter,Pure Point Guard,Rim Runner/Protector,Shot Creator Guard,98.44666666666666,138.5,-40.106666666666676,15.0
Anthony Edwards,All Around Big,All Around Guard,Pure Point Guard,Shot Creator Guard,94.1,79.4,14.7,14.0
Anthony Edwards,Glue guy,Rim Runner/Protector,Shot Creator Guard,Wing Shot Creator,120.3142857142857,157.7571428571429,-37.50714285714286,14.0
Anthony Edwards,3&D,Pure Point Guard,Shot Creator Guard,Stretch Big,108.84615384615384,74.10000000000001,34.746153846153845,13.0
Anthony Edwards,All Around Big,All Around Guard,All Around Guard,Pure Point Guard,122.38461538461539,116.15384615384616,6.230769230769231,13.0
Anthony Edwards,All Around Big,All Around Guard,Glue guy,Wing Shot Creator,76.33846153846154,99.3076923076923,-22.969230769230766,13.0
Anthony Edwards,All Around Guard,All Around Guard,Movement Shooter,Rim Runner/Protector,121.97692307692306,66.48461538461538,55.5,13.0
Anthony Edwards,All Around Guard,Movement Shooter,Rim Runner/Protector,Shot Creator Guard,142.6,120.33846153846154,22.261538461538464,13.0
Anthony Edwards,Pure Point Guard,Shot Creator Guard,Stretch Big,Wing Shot Creator,92.9,110.70000000000002,-17.9,13.0
Anthony Edwards,All Around Big,All Around Guard,Movement Shooter,Shot Creator Guard,100.0,103.8,-3.7999999999999994,12.0
Anthony Edwards,All Around Guard,All Around Guard,Movement Shooter,Wing Shot Creator,108.925,75.14999999999999,33.775,12.0
Anthony Edwards,3&D,Glue guy,Movement Shooter,Stretch Big,76.13636363636364,112.44545454545455,-36.30909090909091,11.0
