,PLAYER_ID,SEASON,Isolation_PERCENTILE,Isolation_GP,Isolation_FREQ,Isolation_PPP,Isolation_FG_PCT,Isolation_FT_FREQ,Isolation_TOV_FREQ,Isolation_SF_FREQ,Isolation_AND1_FREQ,Isolation_SCORE_FREQ,Isolation_EFG_PCT,Isolation_POSS,Isolation_PTS,Isolation_FGM,Isolation_FGA,Transition_PERCENTILE,Transition_GP,Transition_FREQ,Transition_PPP,Transition_FG_PCT,Transition_FT_FREQ,Transition_TOV_FREQ,Transition_SF_FREQ,Transition_AND1_FREQ,Transition_SCORE_FREQ,Transition_EFG_PCT,Transition_POSS,Transition_PTS,Transition_FGM,Transition_FGA,PNR_Handler_PERCENTILE,PNR_Handler_GP,PNR_Handler_FREQ,PNR_Handler_PPP,PNR_Handler_FG_PCT,PNR_Handler_FT_FREQ,PNR_Handler_TOV_FREQ,PNR_Handler_SF_FREQ,PNR_Handler_AND1_FREQ,PNR_Handler_SCORE_FREQ,PNR_Handler_EFG_PCT,PNR_Handler_POSS,PNR_Handler_PTS,PNR_Handler_FGM,PNR_Handler_FGA,PNR_Roll_PERCENTILE,PNR_Roll_GP,PNR_Roll_FREQ,PNR_Roll_PPP,PNR_Roll_FG_PCT,PNR_Roll_FT_FREQ,PNR_Roll_TOV_FREQ,PNR_Roll_SF_FREQ,PNR_Roll_AND1_FREQ,PNR_Roll_SCORE_FREQ,PNR_Roll_EFG_PCT,PNR_Roll_POSS,PNR_Roll_PTS,PNR_Roll_FGM,PNR_Roll_FGA,Post_Up_PERCENTILE,Post_Up_GP,Post_Up_FREQ,Post_Up_PPP,Post_Up_FG_PCT,Post_Up_FT_FREQ,Post_Up_TOV_FREQ,Post_Up_SF_FREQ,Post_Up_AND1_FREQ,Post_Up_SCORE_FREQ,Post_Up_EFG_PCT,Post_Up_POSS,Post_Up_PTS,Post_Up_FGM,Post_Up_FGA,Spot_Up_PERCENTILE,Spot_Up_GP,Spot_Up_FREQ,Spot_Up_PPP,Spot_Up_FG_PCT,Spot_Up_FT_FREQ,Spot_Up_TOV_FREQ,Spot_Up_SF_FREQ,Spot_Up_AND1_FREQ,Spot_Up_SCORE_FREQ,Spot_Up_EFG_PCT,Spot_Up_POSS,Spot_Up_PTS,Spot_Up_FGM,Spot_Up_FGA,Putbacks_PERCENTILE,Putbacks_GP,Putbacks_FREQ,Putbacks_PPP,Putbacks_FG_PCT,Putbacks_FT_FREQ,Putbacks_TOV_FREQ,Putbacks_SF_FREQ,Putbacks_AND1_FREQ,Putbacks_SCORE_FREQ,Putbacks_EFG_PCT,Putbacks_POSS,Putbacks_PTS,Putbacks_FGM,Putbacks_FGA,Cut_PERCENTILE,Cut_GP,Cut_FREQ,Cut_PPP,Cut_FG_PCT,Cut_FT_FREQ,Cut_TOV_FREQ,Cut_SF_FREQ,Cut_AND1_FREQ,Cut_SCORE_FREQ,Cut_EFG_PCT,Cut_POSS,Cut_PTS,Cut_FGM,Cut_FGA
10,203076,2015-16,0.237,61,0.087,0.677,0.349,0.081,0.089,0.081,0.024,0.347,0.354,0.03278688524590164,0.022950819672131147,0.009836065573770491,0.027868852459016394,0.919,61,0.081,1.357,0.691,0.226,0.096,0.157,0.026,0.687,0.704,0.031147540983606555,0.042622950819672135,0.014754098360655738,0.021311475409836068,,0,,,,,,,,,,,,,,0.63,61,0.247,1.06,0.503,0.134,0.045,0.131,0.02,0.52,0.522,0.09508196721311475,0.09999999999999999,0.039344262295081964,0.08032786885245902,0.363,61,0.184,0.7819999999999999,0.35900000000000004,0.16,0.118,0.111,0.011,0.408,0.35900000000000004,0.07049180327868852,0.05573770491803279,0.018032786885245903,0.05081967213114754,0.52,61,0.13,0.952,0.432,0.086,0.043,0.091,0.043,0.435,0.473,0.04918032786885246,0.047540983606557376,0.019672131147540982,0.04590163934426229,0.933,61,0.064,1.337,0.659,0.12,0.022,0.12,0.033,0.674,0.659,0.02459016393442623,0.03278688524590164,0.014754098360655738,0.021311475409836068,0.74,61,0.075,1.355,0.659,0.224,0.028,0.168,0.047,0.682,0.659,0.029508196721311476,0.039344262295081964,0.014754098360655738,0.022950819672131147
11,203939,2015-16,,0,,,,,,,,,,,,,,0.907,69,0.065,1.346,0.765,0.308,0.115,0.269,0.077,0.692,0.765,0.005797101449275362,0.007246376811594203,0.002898550724637681,0.002898550724637681,,0,,,,,,,,,,,,,,0.338,69,0.234,0.936,0.481,0.096,0.064,0.085,0.021,0.489,0.481,0.020289855072463767,0.01884057971014493,0.008695652173913044,0.017391304347826087,,0,,,,,,,,,,,,,,0.068,69,0.144,0.621,0.327,0.0,0.103,0.0,0.0,0.293,0.346,0.011594202898550725,0.007246376811594203,0.002898550724637681,0.011594202898550725,0.202,69,0.092,0.892,0.444,0.189,0.108,0.189,0.027,0.486,0.444,0.007246376811594203,0.007246376811594203,0.002898550724637681,0.005797101449275362,0.833,69,0.269,1.426,0.701,0.324,0.056,0.315,0.093,0.713,0.701,0.02318840579710145,0.0318840579710145,0.011594202898550725,0.01594202898550725
12,202681,2015-16,0.801,53,0.143,0.948,0.44,0.072,0.065,0.072,0.013,0.444,0.474,0.05471698113207547,0.0509433962264151,0.020754716981132078,0.04716981132075472,0.749,53,0.131,1.214,0.579,0.136,0.093,0.11399999999999999,0.043,0.557,0.627,0.04905660377358491,0.06037735849056604,0.022641509433962263,0.041509433962264156,0.803,53,0.436,0.893,0.45599999999999996,0.058,0.135,0.054,0.017,0.416,0.49,0.16603773584905662,0.1471698113207547,0.062264150943396226,0.13584905660377358,,0,,,,,,,,,,,,,,0.425,53,0.019,0.8000000000000002,0.333,0.10000000000000002,0.0,0.10000000000000002,0.0,0.4000000000000001,0.333,0.007547169811320755,0.005660377358490566,0.0018867924528301887,0.005660377358490566,0.556,53,0.10700000000000001,0.965,0.367,0.026,0.018,0.026,0.0,0.37700000000000006,0.477,0.041509433962264156,0.03962264150943397,0.01509433962264151,0.03962264150943397,0.037,53,0.014,0.667,0.286,0.20000000000000004,0.333,0.133,0.0,0.333,0.357,0.005660377358490566,0.0037735849056603774,0.0,0.0018867924528301887,0.923,53,0.013,1.5,0.9,0.21400000000000002,0.21400000000000002,0.21400000000000002,0.143,0.714,0.9,0.005660377358490566,0.007547169811320755,0.0037735849056603774,0.0037735849056603774
13,203915,2015-16,0.614,12,0.18400000000000002,0.8569999999999999,0.36400000000000005,0.214,0.0,0.214,0.0,0.5,0.36400000000000005,0.09999999999999999,0.08333333333333333,0.024999999999999998,0.075,0.007,12,0.132,0.5,0.286,0.20000000000000004,0.10000000000000002,0.10000000000000002,0.0,0.3,0.286,0.06666666666666667,0.03333333333333333,0.016666666666666666,0.049999999999999996,0.41,12,0.461,0.743,0.321,0.20000000000000004,0.057,0.143,0.057,0.371,0.339,0.24166666666666667,0.18333333333333335,0.06666666666666667,0.19166666666666665,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
14,202691,2015-16,0.481,80,0.05,0.8019999999999999,0.409,0.074,0.11100000000000002,0.074,0.0,0.4069999999999999,0.42400000000000004,0.0125,0.01,0.00375,0.01,0.795,80,0.175,1.24,0.54,0.067,0.10600000000000001,0.06,0.011,0.509,0.675,0.04375,0.05500000000000001,0.02,0.0375,0.869,80,0.071,0.93,0.433,0.096,0.139,0.10400000000000001,0.026000000000000002,0.409,0.5,0.017499999999999998,0.01625,0.00625,0.013750000000000002,0.087,80,0.009,0.714,0.308,0.0,0.071,0.0,0.0,0.286,0.385,0.0025,0.00125,0.00125,0.0025,0.40800000000000003,80,0.037,0.797,0.396,0.051000000000000004,0.051000000000000004,0.034,0.0,0.4069999999999999,0.396,0.008749999999999999,0.0075,0.00375,0.008749999999999999,0.9280000000000002,80,0.17,1.178,0.43499999999999994,0.033,0.029000000000000005,0.029000000000000005,0.007000000000000001,0.433,0.594,0.042499999999999996,0.05,0.017499999999999998,0.041249999999999995,0.804,80,0.012,1.211,0.556,0.053000000000000005,0.053000000000000005,0.053000000000000005,0.053000000000000005,0.526,0.611,0.0025,0.00375,0.00125,0.0025,0.537,80,0.084,1.221,0.598,0.132,0.059,0.125,0.051000000000000004,0.596,0.598,0.021249999999999998,0.026250000000000002,0.01125,0.01875
15,201566,2015-16,0.361,80,0.125,0.744,0.354,0.083,0.118,0.083,0.012,0.354,0.388,0.04,0.03,0.01125,0.0325,0.582,80,0.233,1.145,0.59,0.229,0.152,0.181,0.048,0.571,0.61,0.07375000000000001,0.08499999999999999,0.028749999999999998,0.05,0.707,80,0.354,0.85,0.43600000000000005,0.127,0.199,0.10700000000000001,0.022,0.406,0.477,0.1125,0.09625,0.03375,0.07875,,0,,,,,,,,,,,,,,0.8030000000000002,80,0.093,0.953,0.453,0.179,0.11100000000000002,0.158,0.011,0.484,0.453,0.03,0.028749999999999998,0.01,0.021249999999999998,0.312,80,0.069,0.844,0.371,0.05,0.142,0.043,0.014000000000000002,0.34,0.4699999999999999,0.0225,0.01875,0.00625,0.017499999999999998,0.185,80,0.03,0.852,0.367,0.148,0.049,0.11500000000000002,0.0,0.44299999999999995,0.378,0.01,0.008749999999999999,0.0025,0.0075,0.559,80,0.019,1.237,0.704,0.158,0.158,0.158,0.026000000000000002,0.632,0.704,0.00625,0.0075,0.0025,0.00375
16,201599,2015-16,,0,,,,,,,,,,,,,,0.706,77,0.075,1.194,0.761,0.224,0.134,0.179,0.045,0.627,0.761,0.011688311688311689,0.012987012987012988,0.006493506493506494,0.007792207792207792,,0,,,,,,,,,,,,,,0.9729999999999999,77,0.203,1.403,0.821,0.26,0.061,0.24899999999999997,0.061,0.746,0.821,0.03116883116883117,0.04285714285714286,0.01818181818181818,0.02207792207792208,0.359,77,0.072,0.781,0.46499999999999997,0.234,0.125,0.219,0.031,0.438,0.46499999999999997,0.01038961038961039,0.007792207792207792,0.003896103896103896,0.007792207792207792,,0,,,,,,,,,,,,,,0.337,77,0.174,0.961,0.5,0.168,0.039,0.161,0.026,0.516,0.5,0.025974025974025976,0.024675324675324673,0.01038961038961039,0.02077922077922078,0.9009999999999999,77,0.208,1.481,0.814,0.276,0.043,0.265,0.103,0.778,0.814,0.03116883116883117,0.046753246753246755,0.01948051948051948,0.024675324675324673
17,203999,2015-16,0.073,80,0.035,0.5,0.167,0.10700000000000001,0.036,0.036,0.0,0.25,0.188,0.005,0.0025,0.00125,0.00375,0.23899999999999996,80,0.059,0.9789999999999999,0.5,0.191,0.213,0.191,0.043,0.4680000000000001,0.533,0.0075,0.0075,0.0025,0.005,,0,,,,,,,,,,,,,,0.479,80,0.195,0.994,0.489,0.13,0.065,0.123,0.05800000000000001,0.487,0.489,0.02375,0.02375,0.01,0.021249999999999998,0.776,80,0.198,0.9360000000000002,0.46699999999999997,0.153,0.121,0.11500000000000002,0.038,0.465,0.46699999999999997,0.025,0.0225,0.008749999999999999,0.01875,0.643,80,0.10700000000000001,1.0,0.39,0.012,0.082,0.012,0.0,0.365,0.539,0.013750000000000002,0.013750000000000002,0.005,0.0125,0.788,80,0.137,1.204,0.622,0.13,0.065,0.093,0.028000000000000004,0.602,0.622,0.017499999999999998,0.02,0.008749999999999999,0.013750000000000002,0.562,80,0.154,1.238,0.653,0.10700000000000001,0.098,0.10700000000000001,0.033,0.607,0.653,0.01875,0.02375,0.01,0.01625
18,203932,2015-16,0.144,78,0.041,0.6,0.308,0.033,0.1,0.033,0.0,0.3,0.308,0.005128205128205128,0.002564102564102564,0.001282051282051282,0.003846153846153846,0.43899999999999995,78,0.174,1.079,0.558,0.244,0.126,0.21300000000000002,0.047,0.543,0.581,0.020512820512820513,0.023076923076923078,0.007692307692307692,0.014102564102564105,0.9439999999999998,78,0.051,1.0,0.517,0.108,0.108,0.081,0.0,0.514,0.517,0.00641025641025641,0.00641025641025641,0.002564102564102564,0.005128205128205128,0.507,78,0.07,1.0,0.409,0.157,0.02,0.157,0.039,0.45100000000000007,0.5,0.008974358974358974,0.008974358974358974,0.002564102564102564,0.007692307692307692,0.24699999999999997,78,0.043,0.71,0.364,0.161,0.161,0.129,0.032,0.387,0.364,0.005128205128205128,0.003846153846153846,0.001282051282051282,0.003846153846153846,0.326,78,0.24699999999999997,0.85,0.338,0.078,0.056,0.072,0.022,0.356,0.41900000000000004,0.029487179487179487,0.02564102564102564,0.008974358974358974,0.026923076923076925,0.899,78,0.146,1.292,0.656,0.104,0.038,0.104,0.019,0.66,0.661,0.017948717948717947,0.023076923076923078,0.010256410256410256,0.015384615384615384,0.653,78,0.122,1.292,0.649,0.191,0.022,0.18,0.045,0.674,0.649,0.014102564102564105,0.019230769230769232,0.007692307692307692,0.011538461538461539
19,1626172,2015-16,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
