PLAYER_ID,SEASON,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,PTS_PER_PAINT_TOUCH,touches_per_min,time_poss_per_min,front_ct_touches_per_min,paint_touch_share,post_touch_share,elbow_touch_share,DRIVE_FG_PCT,drives_per_min,drive_pts_per_drive,drive_ast_rate,drive_tov_rate,drive_pf_rate,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,dist_miles_per_48min,dist_miles_off_per_48min,dist_miles_def_per_48min,AST_TO_PASS_PCT,passes_per_min,ast_per_pass,secondary_ast_rate,potential_ast_rate,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT,catch_fga_per_min,catch_fg3a_per_min,PULL_UP_FG_PCT,PULL_UP_FG3_PCT,PULL_UP_EFG_PCT,pullup_fga_per_min
1626253,2015-16,1.79,0.81,0.26,0.59,0.98,0.03,0.62,0.07,0.0,0.02,0.0,0.02,0.17,0.0,0.17,0.33,4.41,4.63,4.19,3.641,1.655,1.655,0.07,0.67,0.07,0.01,0.13,0.33,0.32,0.47,0.15,0.13,0.29,0.0,0.29,0.02
203463,2015-16,1.85,1.19,0.32,0.69,1.16,0.04,0.75,0.05,0.0,0.03,0.37,0.13,0.4,0.09,0.11,0.07,4.68,5.07,4.32,3.623,2.038,1.811,0.08,0.72,0.08,0.01,0.13,0.37,0.37,0.52,0.14,0.11,0.38,0.41,0.42,0.05
202687,2015-16,1.55,0.27,0.2,0.74,1.27,0.03,0.6,0.19,0.01,0.06,0.0,0.0,0.14,0.0,0.0,0.29,4.1,4.28,3.9,3.258,1.738,1.52,0.02,1.0,0.02,0.0,0.04,0.4,0.0,0.4,0.02,0.0,0.29,0.0,0.29,0.01
201933,2015-16,2.36,1.3,0.25,0.85,2.52,0.1,1.57,0.07,0.08,0.09,0.55,0.1,0.7,0.07,0.04,0.15,3.82,4.08,3.56,3.018,1.581,1.437,0.08,1.76,0.08,0.01,0.16,0.42,0.4,0.43,0.19,0.01,0.32,0.25,0.33,0.1
1626171,2015-16,1.81,0.66,0.22,0.84,1.81,0.05,1.03,0.1,0.07,0.04,0.28,0.05,0.4,0.02,0.08,0.02,4.41,4.76,4.07,3.506,1.888,1.618,0.04,1.3,0.04,0.0,0.08,0.42,0.33,0.48,0.12,0.04,0.21,0.0,0.21,0.06
2564,2015-16,2.07,1.03,0.17,0.66,2.02,0.07,1.29,0.06,0.11,0.06,0.52,0.1,0.5,0.13,0.09,0.06,4.26,4.61,3.89,3.429,1.846,1.582,0.08,1.61,0.08,0.01,0.15,0.37,0.36,0.5,0.07,0.04,0.32,0.4,0.34,0.03
203078,2015-16,3.06,2.65,0.34,0.7,1.65,0.08,1.19,0.03,0.01,0.03,0.52,0.24,0.61,0.08,0.06,0.05,4.34,4.73,3.98,3.395,1.852,1.698,0.09,1.04,0.09,0.02,0.2,0.39,0.39,0.55,0.13,0.11,0.39,0.4,0.44,0.18
201148,2015-16,1.64,0.39,0.29,0.84,1.33,0.04,0.82,0.24,0.06,0.17,0.75,0.02,1.2,0.0,0.2,0.0,4.02,4.27,3.77,3.254,1.627,1.356,0.03,0.96,0.03,0.0,0.1,0.5,0.0,0.5,0.03,0.0,0.0,0.0,0.0,0.01
201943,2015-16,5.39,5.69,0.15,0.56,2.5,0.22,0.75,0.01,0.0,0.01,0.36,0.24,0.35,0.1,0.05,0.06,4.43,4.89,3.99,3.448,1.856,1.591,0.1,1.95,0.1,0.01,0.22,0.41,0.41,0.61,0.09,0.08,0.31,0.26,0.38,0.18
202688,2015-16,4.37,4.45,0.24,0.76,2.31,0.17,0.99,0.01,0.0,0.01,0.44,0.27,0.48,0.09,0.08,0.06,4.36,4.73,3.99,3.467,1.867,1.6,0.09,1.59,0.09,0.01,0.2,0.34,0.37,0.51,0.09,0.08,0.36,0.32,0.43,0.23
201575,2015-16,1.83,1.09,0.23,0.63,1.27,0.04,0.88,0.03,0.0,0.01,0.38,0.06,0.48,0.03,0.15,0.07,4.51,4.98,4.09,3.616,1.973,1.644,0.06,0.95,0.06,0.01,0.1,0.42,0.42,0.62,0.14,0.13,0.36,0.39,0.43,0.05
1627362,2015-16,4.58,4.46,0.08,0.4,2.37,0.18,0.86,0.01,0.0,0.02,0.35,0.22,0.32,0.08,0.11,0.0,4.53,4.66,4.38,3.585,1.992,1.593,0.06,1.99,0.06,0.01,0.14,0.0,0.0,0.0,0.02,0.02,0.42,0.0,0.42,0.14
201572,2015-16,2.0,0.73,0.39,0.86,1.55,0.05,1.09,0.17,0.21,0.14,0.5,0.06,0.88,0.05,0.07,0.14,3.99,4.12,3.86,3.134,1.709,1.567,0.07,0.9,0.07,0.01,0.15,0.45,0.15,0.45,0.11,0.01,0.38,0.0,0.38,0.06
203468,2015-16,4.55,4.33,0.3,0.54,2.0,0.15,1.0,0.01,0.0,0.01,0.44,0.33,0.5,0.08,0.06,0.04,4.49,5.03,3.95,3.597,2.075,1.522,0.09,1.31,0.09,0.01,0.21,0.43,0.44,0.63,0.12,0.11,0.46,0.4,0.51,0.24
101139,2015-16,1.79,0.97,0.37,0.69,1.4,0.04,0.94,0.02,0.0,0.03,0.42,0.09,0.65,0.05,0.04,0.12,4.04,4.33,3.74,3.144,1.677,1.467,0.05,0.85,0.05,0.01,0.12,0.38,0.38,0.56,0.23,0.21,0.4,0.33,0.47,0.1
1626166,2015-16,5.47,5.14,0.19,0.29,2.14,0.2,0.81,0.01,0.0,0.0,0.43,0.3,0.39,0.13,0.04,0.03,4.48,4.83,4.11,3.541,1.967,1.574,0.1,1.58,0.1,0.01,0.19,0.35,0.36,0.52,0.11,0.11,0.42,0.25,0.46,0.17
2546,2015-16,3.22,1.98,0.33,0.76,1.9,0.1,1.32,0.05,0.13,0.07,0.48,0.09,0.77,0.08,0.05,0.15,3.85,4.06,3.63,3.009,1.641,1.368,0.1,1.2,0.1,0.01,0.2,0.41,0.38,0.52,0.13,0.07,0.42,0.29,0.45,0.22
101112,2015-16,1.39,0.27,0.21,0.74,1.74,0.04,0.99,0.04,0.02,0.02,0.27,0.02,0.29,0.07,0.04,0.07,4.0,4.38,3.63,3.088,1.684,1.404,0.04,1.39,0.04,0.0,0.08,0.4,0.39,0.57,0.21,0.19,0.43,0.25,0.45,0.02
201978,2015-16,1.98,0.92,0.24,1.06,1.24,0.04,0.94,0.07,0.0,0.03,0.39,0.08,0.6,0.04,0.06,0.15,4.34,4.72,3.98,3.404,2.043,1.702,0.08,0.87,0.08,0.01,0.17,0.28,0.27,0.4,0.11,0.09,0.27,0.5,0.3,0.02
101108,2015-16,5.91,5.49,0.23,0.54,2.64,0.26,0.9,0.01,0.02,0.01,0.48,0.34,0.47,0.14,0.05,0.04,3.96,4.27,3.67,3.229,1.615,1.468,0.16,1.91,0.16,0.01,0.31,0.46,0.44,0.65,0.04,0.04,0.44,0.33,0.49,0.3
203991,2015-16,1.43,0.34,0.25,0.77,1.48,0.04,0.7,0.24,0.02,0.09,0.39,0.02,0.58,0.03,0.06,0.13,4.33,4.64,4.06,3.518,1.759,1.759,0.03,1.08,0.03,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201147,2015-16,1.89,1.15,0.3,0.59,1.17,0.04,0.85,0.04,0.0,0.02,0.36,0.13,0.46,0.06,0.08,0.06,4.4,4.67,4.15,3.529,1.882,1.647,0.09,0.72,0.09,0.01,0.18,0.3,0.29,0.43,0.13,0.12,0.24,0.12,0.26,0.04
202709,2015-16,5.41,5.78,0.14,0.25,2.26,0.2,0.97,0.01,0.0,0.01,0.46,0.39,0.45,0.1,0.05,0.06,4.47,4.74,4.18,3.576,2.071,1.506,0.07,1.79,0.07,0.01,0.15,0.35,0.33,0.5,0.05,0.04,0.38,0.0,0.38,0.08
201584,2015-16,2.49,1.74,0.26,0.86,1.24,0.05,0.89,0.01,0.0,0.02,0.44,0.11,0.56,0.06,0.06,0.06,4.22,4.38,4.05,3.405,1.784,1.622,0.07,0.89,0.07,0.01,0.15,0.4,0.4,0.55,0.11,0.09,0.45,0.11,0.45,0.08
1626156,2015-16,4.94,4.38,0.21,0.72,2.22,0.18,0.85,0.02,0.01,0.01,0.45,0.19,0.54,0.08,0.06,0.06,4.38,4.69,4.05,3.574,1.872,1.532,0.07,1.6,0.07,0.01,0.16,0.38,0.36,0.55,0.11,0.1,0.36,0.33,0.41,0.19
201571,2015-16,5.84,6.31,0.19,0.91,2.09,0.2,0.75,0.0,0.0,0.0,0.45,0.33,0.36,0.15,0.07,0.07,4.11,4.44,3.76,3.284,1.768,1.516,0.11,1.58,0.11,0.01,0.22,0.43,0.44,0.65,0.07,0.07,0.42,0.39,0.54,0.12
203081,2015-16,5.9,5.69,0.28,0.48,2.49,0.24,0.8,0.01,0.0,0.01,0.44,0.38,0.59,0.09,0.06,0.1,4.19,4.65,3.72,3.361,1.882,1.479,0.11,1.69,0.11,0.01,0.23,0.41,0.42,0.6,0.1,0.09,0.38,0.35,0.47,0.25
201568,2015-16,3.02,1.72,0.36,1.05,1.54,0.08,1.1,0.05,0.06,0.02,0.35,0.19,0.6,0.08,0.08,0.2,3.96,4.29,3.62,3.182,1.798,1.383,0.08,0.96,0.08,0.01,0.16,0.4,0.41,0.56,0.12,0.09,0.32,0.24,0.36,0.1
201980,2015-16,1.91,0.95,0.17,0.69,1.62,0.05,1.03,0.03,0.0,0.01,0.33,0.09,0.24,0.11,0.09,0.03,4.6,4.88,4.29,3.678,2.023,1.655,0.05,1.27,0.05,0.01,0.1,0.35,0.35,0.51,0.16,0.15,0.29,0.2,0.33,0.05
201589,2015-16,1.43,0.38,0.22,0.7,1.54,0.04,0.96,0.08,0.03,0.05,0.07,0.02,0.29,0.0,0.11,0.14,4.05,4.35,3.76,3.318,1.77,1.548,0.06,1.13,0.06,0.0,0.1,0.44,0.38,0.51,0.19,0.07,0.46,1.0,0.48,0.03
201954,2015-16,4.48,4.15,0.23,0.63,2.01,0.15,0.89,0.02,0.0,0.01,0.46,0.22,0.42,0.11,0.06,0.07,4.24,4.48,4.0,3.36,1.76,1.6,0.1,1.5,0.1,0.01,0.21,0.44,0.44,0.63,0.07,0.06,0.45,0.34,0.49,0.13
101135,2015-16,1.65,0.67,0.24,0.91,2.02,0.06,1.27,0.14,0.07,0.08,0.41,0.05,0.71,0.02,0.07,0.12,4.23,4.46,4.0,3.491,1.745,1.745,0.06,1.49,0.06,0.0,0.13,0.37,0.0,0.37,0.02,0.0,0.56,0.0,0.56,0.01
2561,2015-16,1.59,0.46,0.24,0.85,1.65,0.04,1.09,0.1,0.09,0.11,0.36,0.03,0.66,0.12,0.0,0.1,3.83,4.03,3.63,2.933,1.6,1.333,0.08,1.24,0.08,0.01,0.16,0.52,0.6,0.53,0.13,0.01,0.4,0.0,0.4,0.02
201599,2015-16,1.32,0.19,0.24,0.97,1.58,0.03,0.7,0.18,0.03,0.05,0.62,0.01,0.82,0.06,0.12,0.18,3.86,4.05,3.68,3.134,1.567,1.567,0.03,1.25,0.03,0.0,0.06,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
201942,2015-16,3.88,3.32,0.37,0.72,1.78,0.11,1.35,0.02,0.03,0.02,0.49,0.47,0.6,0.08,0.05,0.1,4.14,4.48,3.76,3.343,1.872,1.471,0.11,1.07,0.11,0.01,0.23,0.35,0.43,0.46,0.07,0.03,0.4,0.16,0.4,0.2
202326,2015-16,2.23,1.1,0.38,0.91,2.06,0.08,1.38,0.11,0.13,0.05,0.42,0.27,0.65,0.05,0.09,0.14,3.66,3.86,3.47,2.905,1.522,1.383,0.08,1.19,0.08,0.01,0.16,0.36,0.34,0.47,0.13,0.08,0.29,0.27,0.31,0.06
201960,2015-16,2.15,1.2,0.25,0.7,1.47,0.05,1.0,0.06,0.0,0.02,0.33,0.12,0.42,0.03,0.04,0.03,4.09,4.09,4.1,3.338,1.748,1.43,0.03,1.03,0.03,0.01,0.08,0.38,0.4,0.57,0.14,0.14,0.4,0.36,0.44,0.06
203471,2015-16,5.02,4.49,0.2,0.5,2.69,0.23,1.15,0.01,0.0,0.01,0.45,0.45,0.47,0.09,0.09,0.07,4.46,4.87,4.08,3.547,1.892,1.655,0.11,1.97,0.11,0.02,0.23,0.39,0.38,0.55,0.1,0.08,0.36,0.25,0.41,0.17
101114,2015-16,4.42,4.03,0.16,0.45,2.75,0.2,1.11,0.01,0.02,0.01,0.45,0.31,0.4,0.1,0.06,0.05,4.28,4.75,3.8,3.407,1.926,1.481,0.08,2.19,0.08,0.01,0.18,0.4,0.39,0.56,0.1,0.09,0.37,0.26,0.42,0.13
202324,2015-16,1.66,0.44,0.24,0.91,2.1,0.06,1.45,0.1,0.09,0.11,0.38,0.02,0.57,0.1,0.1,0.08,4.07,4.26,3.85,3.3,1.8,1.5,0.03,1.54,0.03,0.0,0.07,0.38,0.0,0.38,0.12,0.0,0.36,0.0,0.36,0.04
201565,2015-16,4.73,4.23,0.22,0.47,2.38,0.19,0.8,0.02,0.0,0.01,0.47,0.43,0.53,0.09,0.06,0.04,4.28,4.65,3.93,3.472,1.811,1.509,0.09,1.71,0.09,0.01,0.18,0.34,0.34,0.49,0.05,0.05,0.4,0.2,0.41,0.2
202682,2015-16,2.48,1.33,0.3,1.04,1.76,0.07,1.23,0.07,0.04,0.06,0.41,0.09,0.81,0.03,0.07,0.24,4.08,4.36,3.78,3.218,1.877,1.341,0.04,1.19,0.04,0.01,0.1,0.34,0.3,0.45,0.12,0.09,0.36,0.23,0.38,0.08
1626164,2015-16,3.52,2.81,0.32,0.81,1.56,0.09,1.07,0.03,0.02,0.03,0.44,0.17,0.57,0.08,0.05,0.09,4.26,4.51,4.0,3.466,1.733,1.56,0.1,0.96,0.1,0.01,0.24,0.42,0.41,0.57,0.12,0.09,0.33,0.24,0.36,0.14
2734,2015-16,2.53,2.07,0.24,0.81,1.62,0.07,1.03,0.02,0.0,0.03,0.46,0.21,0.36,0.13,0.07,0.06,4.16,4.44,3.86,3.36,1.92,1.44,0.08,1.18,0.08,0.01,0.16,0.37,0.36,0.55,0.11,0.11,0.32,0.18,0.35,0.06
203473,2015-16,1.51,0.38,0.29,0.94,1.26,0.03,0.66,0.22,0.03,0.08,0.0,0.01,0.4,0.0,0.0,0.2,4.2,4.5,3.92,3.148,1.574,1.574,0.02,0.91,0.02,0.0,0.07,0.32,0.0,0.32,0.04,0.0,0.57,0.0,0.57,0.01
203079,2015-16,3.38,2.74,0.33,0.36,1.09,0.06,0.78,0.02,0.01,0.01,0.43,0.23,0.43,0.09,0.08,0.07,3.97,4.2,3.74,3.13,1.739,1.565,0.11,0.64,0.11,0.01,0.25,0.4,0.39,0.57,0.1,0.09,0.32,0.26,0.35,0.11
1717,2015-16,1.59,0.42,0.33,0.83,1.78,0.05,1.2,0.03,0.14,0.05,0.47,0.02,0.59,0.15,0.08,0.13,3.74,3.91,3.55,3.048,1.524,1.371,0.05,1.18,0.05,0.01,0.1,0.42,0.37,0.52,0.25,0.14,0.42,0.3,0.42,0.12
202700,2015-16,1.43,0.54,0.22,0.69,1.89,0.05,1.14,0.11,0.07,0.07,0.43,0.05,0.69,0.04,0.08,0.12,4.49,4.8,4.21,3.568,1.946,1.622,0.06,1.36,0.06,0.0,0.11,0.35,0.28,0.46,0.13,0.1,0.17,1.0,0.25,0.01
203926,2015-16,1.47,0.63,0.39,1.06,1.05,0.03,0.86,0.04,0.02,0.02,0.39,0.07,0.69,0.02,0.07,0.07,4.54,4.89,4.21,3.548,1.878,1.67,0.05,0.63,0.05,0.01,0.1,0.41,0.44,0.6,0.15,0.13,0.46,0.38,0.48,0.07
203110,2015-16,2.14,1.22,0.17,0.8,2.36,0.08,1.29,0.05,0.07,0.03,0.46,0.11,0.57,0.11,0.06,0.1,3.92,4.41,3.49,3.182,1.66,1.522,0.11,1.87,0.11,0.01,0.21,0.4,0.4,0.58,0.09,0.09,0.32,0.3,0.35,0.01
