GROUP_SET,GROUP_ID,GROUP_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SUM_TIME_PLAYED,TEAM_ID,SEASON
Lineups,201575-201939-202691-203110-203949,B. Rush - S. Curry - K. Thompson - D. Green - J. McAdoo,5,4,1,0.8,10.0,126.5,119.0,122.2,123.8,4.3,-4.8,0.545,3.0,20.0,,,,0.095,0.605,0.602,102.8,105.18,87.65,21,0.544,69,74,376,417,82,122,408,353,224,25,144,51,47,33,295,129,148,209,175,28750,1610612744,2015-16
Lineups,2738-201939-202691-203110-203546,A. Iguodala - S. Curry - K. Thompson - D. Green - I. Clark,8,8,0,1.0,9.0,110.3,109.1,137.4,108.7,-27.1,0.4,0.5,1.0,13.8,0.333,,,0.182,0.605,0.578,102.8,115.76,96.46,22,0.39,43,33,1,1,86,154,376,175,229,134,247,15,47,33,401,129,168,112,243,27990,1610612744,2015-16
Lineups,2738-201939-202691-203110-203949,A. Iguodala - S. Curry - K. Thompson - D. Green - J. McAdoo,4,4,0,1.0,7.0,80.8,81.3,70.3,75.0,10.6,6.3,1.0,2.0,18.2,0.222,0.909,0.6,0.125,0.375,0.431,108.2,104.42,87.02,16,0.679,86,74,1,1,98,258,235,162,1,66,176,37,1,4,318,257,269,217,119,22065,1610612744,2015-16
Lineups,201574-201939-202691-203110-203546,J. Thompson - S. Curry - K. Thompson - D. Green - I. Clark,2,2,0,1.0,7.0,118.8,111.8,120.2,125.0,-1.4,-13.2,1.0,4.0,32.0,,,,0.118,0.679,0.679,120.2,121.53,101.28,17,0.517,153,142,1,1,113,149,410,370,1,5,40,51,47,33,312,92,108,79,186,19550,1610612744,2015-16
Lineups,2571-2733-201939-203110-203949,L. Barbosa - S. Livingston - S. Curry - D. Green - J. McAdoo,2,1,1,0.5,7.0,147.1,133.3,87.2,92.3,59.8,41.0,0.667,2.0,25.0,,,,0.167,0.875,0.901,88.5,89.78,74.81,12,0.788,153,223,376,460,110,70,271,95,168,66,62,51,47,33,372,51,57,335,83,20050,1610612744,2015-16
Lineups,2738-201939-203105-203110-203546,A. Iguodala - S. Curry - F. Ezeli - D. Green - I. Clark,2,2,0,1.0,5.0,112.8,108.3,38.5,38.5,74.4,69.9,0.667,2.0,11.8,,,,0.083,0.35,0.481,112.1,114.29,95.24,12,1.333,153,142,1,1,127,162,182,56,168,66,263,51,47,33,282,270,250,128,23,15750,1610612744,2015-16
Lineups,201566-201935-1626181-1628464-1641738,R. Westbrook - J. Harden - N. Powell - D. Theis - K. Brown,7,5,2,0.714,34.0,130.5,132.9,97.7,98.6,32.8,34.3,0.528,2.71,19.8,0.241,0.651,0.486,0.1,0.631,0.662,101.2,99.84,83.2,70,0.66,51,40,454,231,23,106,277,88,181,44,130,196,217,218,334,124,138,254,115,101680,1610612746,2023-24
Lineups,201566-202695-1626181-1628464-1641738,R. Westbrook - K. Leonard - N. Powell - D. Theis - K. Brown,4,4,0,1.0,15.0,111.6,108.3,102.5,102.8,9.0,5.6,0.75,3.0,17.3,0.333,0.769,0.5,0.083,0.455,0.528,110.6,112.13,93.45,36,0.503,76,51,1,1,58,185,331,152,77,24,158,112,138,152,317,248,224,109,182,46230,1610612746,2023-24
Lineups,201935-202331-1626181-1628464-1641738,J. Harden - P. George - N. Powell - D. Theis - K. Brown,4,4,0,1.0,12.0,156.0,163.6,96.2,112.5,59.8,51.1,0.667,8.0,25.0,0.25,0.533,0.435,0.045,0.725,0.78,103.6,93.16,77.64,22,0.701,76,51,1,1,71,51,358,59,109,1,52,171,249,251,300,85,76,319,95,35550,1610612746,2023-24
Lineups,201566-202331-202695-1627826-1641738,R. Westbrook - P. George - K. Leonard - I. Zubac - K. Brown,2,2,0,1.0,6.0,182.0,176.9,107.1,100.0,74.8,76.9,0.625,5.0,25.0,0.667,0.8,0.75,0.077,0.818,0.843,112.2,117.89,98.25,13,0.753,136,90,1,1,123,37,278,43,144,6,52,30,122,46,314,64,64,76,76,17100,1610612746,2023-24
