,PLAYER_ID,PLAYER,Height,Weight,Position,Draft Year
109,201566,Russell Westbrook,6-4,200,Guard,2008
110,1641816,Hunter Tyson,6-8,215,Forward,2023
111,201599,DeAndre Jordan,6-11,265,Center,2008
112,1631212,Peyton Watson,6-8,200,Guard,2022
113,203967,Dario Šarić,6-10,225,Forward-Center,2014
114,1641790,PJ Hall,6-8,245,Center,Undrafted
115,1641747,DaRon Holmes II,6-9,225,Forward,2024
116,203999,Nikola Jokić,6-11,284,Center,2014
117,1642461,Spencer Jones,6-7,225,Forward,Undrafted
118,1630192,Zeke Nnaji,6-10,240,Forward-Center,2020
119,1641725,Trey Alexander,6-5,185,Guard,Undrafted
120,1629618,Jalen Pickett,6-2,202,Guard,2023
121,1627750,Jamal Murray,6-4,215,Guard,2016
122,1628427,Vlatko Čančar,6-8,236,Forward,2017
123,203932,Aaron Gordon,6-8,235,Forward,2014
124,1627780,Gary Payton II,6-2,195,Guard,Undrafted
125,1630228,Jonathan Kuminga,6-7,225,Forward,2021
126,1642379,Taran Armstrong,6-5,190,Guard,Undrafted
127,1641764,Brandin Podziemski,6-4,205,Guard,2023
128,1630541,Moses Moody,6-5,211,Guard,2021
129,1626172,Kevon Looney,6-9,222,Forward,2015
130,1627741,Buddy Hield,6-4,220,Guard,2016
131,202710,Jimmy Butler III,6-6,230,Forward,2011
132,1630296,Braxton Key,6-8,225,Forward,Undrafted
133,1630611,Gui Santos,6-7,185,Forward,2022
134,1642366,Quinten Post,7-0,238,Center,2024
135,203110,Draymond Green,6-6,230,Forward,2012
136,201939,Stephen Curry,6-2,185,Guard,2009
137,1628995,Kevin Knox II,6-8,215,Forward,2018
138,1631218,Trayce Jackson-Davis,6-9,245,Forward,2023
139,1642050,Jackson Rowe,6-6,210,Forward,Undrafted
140,1630311,Pat Spencer,6-2,205,Guard,Undrafted
141,1628988,Aaron Holiday,6-0,185,Guard,2018
142,1641708,Amen Thompson,6-7,200,Guard-Forward,2023
143,1629111,Jock Landale,6-11,255,Center,Undrafted
144,1642368,N'Faly Dante,6-11,230,Center,Undrafted
145,1630224,Jalen Green,6-4,186,Guard,2021
146,1627832,Fred VanVleet,6-0,197,Guard,Undrafted
147,1641715,Cam Whitmore,6-6,230,Forward,2023
148,1630256,Jae'Sean Tate,6-4,230,Forward,Undrafted
149,1628415,Dillon Brooks,6-7,225,Guard-Forward,2017
150,1631095,Jabari Smith Jr.,6-11,220,Forward,2022
151,203500,Steven Adams,6-11,265,Center,2013
152,1642263,Reed Sheppard,6-2,185,Guard,2024
153,1631106,Tari Eason,6-8,215,Forward,2022
154,1631466,Nate Williams,6-5,205,Guard,Undrafted
155,1630578,Alperen Sengun,6-11,243,Center,2021
156,201145,Jeff Green,6-8,235,Forward,2007
157,1631223,David Roddy,6-4,255,Forward,2022
158,1629098,Jack McVeigh,6-8,215,Guard-Forward,Undrafted
159,201935,James Harden,6-5,220,Guard,2009
160,202695,Kawhi Leonard,6-6,225,Forward,2011
161,1641754,Seth Lundy,6-4,220,Guard-Forward,2023
162,1629599,Amir Coffey,6-7,210,Guard-Forward,Undrafted
163,1627739,Kris Dunn,6-3,205,Guard,2016
164,1642280,Trentyn Flowers,6-9,185,Forward,Undrafted
165,203992,Bogdan Bogdanović,6-5,225,Guard,2014
166,1641757,Jordan Miller,6-5,194,Guard,2023
167,1642353,Cam Christie,6-5,190,Guard,2024
168,1629234,Drew Eubanks,6-10,245,Forward-Center,Undrafted
169,1641738,Kobe Brown,6-7,250,Forward,2023
170,1631116,Patrick Baldwin Jr.,6-9,220,Forward,2022
171,1626181,Norman Powell,6-3,215,Guard,2015
172,1627732,Ben Simmons,6-10,240,Guard-Forward,2016
173,201587,Nicolas Batum,6-7,230,Guard-Forward,2008
174,1627826,Ivica Zubac,7-0,240,Center,2016
175,1627884,Derrick Jones Jr.,6-6,210,Forward,Undrafted
176,201988,Patty Mills,6-2,180,Guard,2009
177,1629020,Jarred Vanderbilt,6-8,214,Forward,2018
178,1642261,Dalton Knecht,6-6,215,Forward,2024
179,1629216,Gabe Vincent,6-2,200,Guard,Undrafted
180,1642355,Bronny James,6-2,210,Guard,2024
181,1631132,Christian Koloko,6-11,225,Center,2022
182,1629637,Jaxson Hayes,7-0,220,Center-Forward,2019
183,1628467,Maxi Kleber,6-10,240,Forward,Undrafted
184,1630559,Austin Reaves,6-5,197,Guard,Undrafted
185,1627827,Dorian Finney-Smith,6-7,220,Forward,Undrafted
186,1629003,Shake Milton,6-5,205,Guard,2018
187,2544,LeBron James,6-9,250,Forward,2003
188,203458,Alex Len,7-0,250,Center,2013
189,1629060,Rui Hachimura,6-8,230,Forward,2019
190,1630692,Jordan Goodwin,6-3,215,Guard,Undrafted
191,1641998,Trey Jemison III,6-10,270,Center,Undrafted
192,1629029,Luka Dončić,6-8,230,Forward-Guard,2018
193,202693,Markieff Morris,6-9,245,Forward,2011
194,1641815,Isaiah Stevens,5-11,185,Guard,Undrafted
