star_player,LINEUP_ARCHETYPE,player1_archetype,player2_archetype,player3_archetype,player4_archetype,pct_pts_3pt,pct_pts_paint,pct_pts_fb,pct_pts_2pt_mr,pct_ast_fgm,pct_uast_fgm,efg_pct,ts_pct,min_sum
Anthony Edwards,All Around Guard-Rim Runner/Protector-Wing Shot Creator-Wing Shot Creator,All Around Guard,Rim Runner/Protector,Wing Shot Creator,Wing Shot Creator,0.35386855791962174,0.44882978723404254,0.1075966903073286,0.05654420803782506,0.6223990543735225,0.3776009456264775,0.5701309692671395,0.5995763593380615,2115.0
Anthony Edwards,Pure Point Guard-Rim Runner/Protector-Shot Creator Guard-Wing Shot Creator,Pure Point Guard,Rim Runner/Protector,Shot Creator Guard,Wing Shot Creator,0.36742994241842614,0.4303992322456814,0.12931285988483684,0.07006142034548944,0.5884817658349327,0.41151823416506716,0.5671708253358924,0.5936468330134357,521.0
Anthony Edwards,All Around Guard-Movement Shooter-Rim Runner/Protector-Wing Shot Creator,All Around Guard,Movement Shooter,Rim Runner/Protector,Wing Shot Creator,0.3793294797687862,0.42952986512524094,0.12410982658959537,0.053414258188824656,0.606655105973025,0.393344894026975,0.5997572254335262,0.6295761078998073,519.0
Anthony Edwards,3&D-All Around Big-Movement Shooter-Pure Point Guard,3&D,All Around Big,Movement Shooter,Pure Point Guard,0.3656456310679612,0.4302742718446603,0.11918932038834952,0.04419417475728156,0.6307645631067963,0.36923543689320387,0.5033106796116505,0.5418567961165048,412.0
Anthony Edwards,All Around Big-All Around Guard-Rim Runner/Protector-Wing Shot Creator,All Around Big,All Around Guard,Rim Runner/Protector,Wing Shot Creator,0.3395309973045822,0.45787331536388143,0.11534231805929919,0.07093800539083558,0.6228059299191375,0.37719407008086253,0.553466307277628,0.5706873315363881,371.0
Anthony Edwards,Movement Shooter-Rim Runner/Protector-Wing Shot Creator-Wing Shot Creator,Movement Shooter,Rim Runner/Protector,Wing Shot Creator,Wing Shot Creator,0.3718579234972678,0.4529781420765027,0.08562568306010929,0.025387978142076502,0.5483306010928961,0.45166939890710384,0.5569098360655738,0.5859316939890711,366.0
Anthony Edwards,All Around Guard-Movement Shooter-Wing Shot Creator-Wing Shot Creator,All Around Guard,Movement Shooter,Wing Shot Creator,Wing Shot Creator,0.39975290697674415,0.39821802325581396,0.12461337209302324,0.03786046511627907,0.6286511627906977,0.37140406976744184,0.5939593023255814,0.6262267441860465,344.0
Anthony Edwards,All Around Big-Movement Shooter-Pure Point Guard-Rim Runner/Protector,All Around Big,Movement Shooter,Pure Point Guard,Rim Runner/Protector,0.379739263803681,0.43706134969325156,0.09318711656441718,0.06521779141104295,0.7093865030674846,0.2906134969325153,0.5558282208588957,0.5784509202453988,326.0
Anthony Edwards,All Around Big-Rim Runner/Protector-Shot Creator Guard-Wing Shot Creator,All Around Big,Rim Runner/Protector,Shot Creator Guard,Wing Shot Creator,0.27386928104575164,0.48693790849673196,0.12389869281045753,0.09454248366013072,0.6257941176470587,0.37420588235294117,0.5472679738562092,0.5785196078431373,306.0
Anthony Edwards,Rim Runner/Protector-Shot Creator Guard-Wing Shot Creator-Wing Shot Creator,Rim Runner/Protector,Shot Creator Guard,Wing Shot Creator,Wing Shot Creator,0.307,0.469,0.147,0.076,0.595,0.405,0.596,0.6260000000000001,253.0
Anthony Edwards,All Around Big-Movement Shooter-Movement Shooter-Pure Point Guard,All Around Big,Movement Shooter,Movement Shooter,Pure Point Guard,0.3969058295964125,0.4341883408071749,0.11553363228699552,0.03449327354260089,0.6448565022421524,0.35514349775784754,0.566627802690583,0.5987757847533633,223.0
Anthony Edwards,All Around Guard-Wing Shot Creator-Wing Shot Creator-Wing Shot Creator,All Around Guard,Wing Shot Creator,Wing Shot Creator,Wing Shot Creator,0.3657293577981651,0.4026743119266055,0.1333899082568807,0.038041284403669724,0.6213669724770641,0.37863302752293576,0.5378761467889909,0.5885412844036697,218.0
Anthony Edwards,3&D-Rim Runner/Protector-Shot Creator Guard-Wing Shot Creator,3&D,Rim Runner/Protector,Shot Creator Guard,Wing Shot Creator,0.38850520833333335,0.37418750000000006,0.12291666666666667,0.08645833333333332,0.5856875,0.41448958333333336,0.5293645833333334,0.5684322916666665,192.0
Anthony Edwards,Movement Shooter-Rim Runner/Protector-Shot Creator Guard-Wing Shot Creator,Movement Shooter,Rim Runner/Protector,Shot Creator Guard,Wing Shot Creator,0.4218783068783068,0.40068783068783065,0.1129153439153439,0.032873015873015866,0.6187407407407407,0.3812592592592593,0.5857089947089946,0.6192645502645503,189.0
Anthony Edwards,Movement Shooter-Pure Point Guard-Rim Runner/Protector-Wing Shot Creator,Movement Shooter,Pure Point Guard,Rim Runner/Protector,Wing Shot Creator,0.4170327868852459,0.38571584699453554,0.1155792349726776,0.036426229508196725,0.5886830601092896,0.4118469945355191,0.554360655737705,0.592032786885246,183.0
Anthony Edwards,All Around Big-Movement Shooter-Post Scorer-Wing Shot Creator,All Around Big,Movement Shooter,Post Scorer,Wing Shot Creator,0.3796815642458101,0.39593296089385477,0.13907821229050277,0.04358100558659218,0.6575977653631285,0.3424022346368715,0.5398603351955308,0.581245810055866,179.0
Anthony Edwards,All Around Guard-Post Scorer-Rim Runner/Protector-Wing Shot Creator,All Around Guard,Post Scorer,Rim Runner/Protector,Wing Shot Creator,0.26679213483146064,0.4666573033707864,0.13202247191011235,0.09743820224719102,0.6398707865168539,0.360129213483146,0.4805337078651685,0.5205505617977528,178.0
Anthony Edwards,3&D-Movement Shooter-Shot Creator Guard-Wing Shot Creator,3&D,Movement Shooter,Shot Creator Guard,Wing Shot Creator,0.3739378531073446,0.442542372881356,0.10409604519774011,0.04365536723163842,0.5897909604519774,0.41020903954802257,0.5521186440677965,0.5876892655367231,177.0
Anthony Edwards,3&D-Movement Shooter-Pure Point Guard-Wing Shot Creator,3&D,Movement Shooter,Pure Point Guard,Wing Shot Creator,0.41898089171974523,0.3758089171974522,0.14501910828025477,0.0334203821656051,0.6273312101910827,0.3726687898089172,0.5362611464968153,0.5758980891719745,157.0
Anthony Edwards,All Around Big-Shot Creator Guard-Wing Shot Creator-Wing Shot Creator,All Around Big,Shot Creator Guard,Wing Shot Creator,Wing Shot Creator,0.37544444444444447,0.4390763888888889,0.09940972222222223,0.05503472222222222,0.6914861111111112,0.3085138888888889,0.5904930555555556,0.6211319444444444,144.0
Anthony Edwards,All Around Big-All Around Guard-Movement Shooter-Pure Point Guard,All Around Big,All Around Guard,Movement Shooter,Pure Point Guard,0.2992253521126761,0.4886267605633802,0.1820985915492958,0.04946478873239437,0.6077676056338029,0.3922323943661972,0.5306830985915493,0.5679507042253522,142.0
Anthony Edwards,3&D-All Around Big-Movement Shooter-Shot Creator Guard,3&D,All Around Big,Movement Shooter,Shot Creator Guard,0.4028260869565217,0.4371884057971015,0.09739130434782609,0.021746376811594203,0.6161449275362318,0.3838550724637681,0.5927391304347825,0.6299782608695652,138.0
Anthony Edwards,All Around Big-All Around Guard-Movement Shooter-Wing Shot Creator,All Around Big,All Around Guard,Movement Shooter,Wing Shot Creator,0.3062740740740741,0.4421555555555556,0.12862962962962965,0.04595555555555555,0.6593851851851851,0.34061481481481487,0.5809703703703702,0.638111111111111,135.0
Anthony Edwards,All Around Guard-All Around Guard-Rim Runner/Protector-Wing Shot Creator,All Around Guard,All Around Guard,Rim Runner/Protector,Wing Shot Creator,0.3594227642276423,0.38130894308943086,0.1318048780487805,0.04283739837398374,0.5013089430894309,0.44178048780487805,0.48052845528455285,0.5277642276422765,123.0
Anthony Edwards,All Around Guard-Rim Runner/Protector-Shot Creator Guard-Wing Shot Creator,All Around Guard,Rim Runner/Protector,Shot Creator Guard,Wing Shot Creator,0.2888053097345133,0.4919557522123894,0.11053982300884956,0.10734513274336284,0.5949557522123894,0.40504424778761067,0.552849557522124,0.5724690265486725,113.0
Anthony Edwards,All Around Big-Movement Shooter-Pure Point Guard-Shot Creator Guard,All Around Big,Movement Shooter,Pure Point Guard,Shot Creator Guard,0.3484234234234235,0.48736036036036035,0.12228828828828829,0.0363063063063063,0.6409189189189188,0.3590810810810811,0.5612792792792792,0.5868738738738739,111.0
Anthony Edwards,3&D-Movement Shooter-Rim Runner/Protector-Shot Creator Guard,3&D,Movement Shooter,Rim Runner/Protector,Shot Creator Guard,0.4472,0.35881,0.09243,0.059800000000000006,0.54892,0.45108000000000004,0.49723,0.52857,100.0
Anthony Edwards,All Around Big-All Around Guard-Post Scorer-Wing Shot Creator,All Around Big,All Around Guard,Post Scorer,Wing Shot Creator,0.22198,0.4725600000000001,0.0707,0.053450000000000004,0.61305,0.38695,0.48351000000000005,0.55103,100.0
Anthony Edwards,All Around Big-Movement Shooter-Post Scorer-Rim Runner/Protector,All Around Big,Movement Shooter,Post Scorer,Rim Runner/Protector,0.299,0.446,0.06,0.048,0.632,0.36800000000000005,0.592,0.631,99.0
Anthony Edwards,3&D-All Around Big-Pure Point Guard-Rim Runner/Protector,3&D,All Around Big,Pure Point Guard,Rim Runner/Protector,0.24521276595744684,0.49707446808510647,0.09011702127659575,0.06187234042553192,0.5711382978723404,0.4288617021276596,0.5222127659574469,0.5587765957446809,94.0
Anthony Edwards,All Around Big-All Around Guard-Wing Shot Creator-Wing Shot Creator,All Around Big,All Around Guard,Wing Shot Creator,Wing Shot Creator,0.4455824175824176,0.35648351648351656,0.14732967032967034,0.06762637362637361,0.7252307692307691,0.27476923076923077,0.6368021978021978,0.655065934065934,91.0
Anthony Edwards,All Around Big-Pure Point Guard-Rim Runner/Protector-Shot Creator Guard,All Around Big,Pure Point Guard,Rim Runner/Protector,Shot Creator Guard,0.35539325842696634,0.44957303370786517,0.13979775280898873,0.04325842696629214,0.6179101123595505,0.38208988764044943,0.5621123595505618,0.5904943820224718,89.0
Anthony Edwards,Movement Shooter-Pure Point Guard-Rim Runner/Protector-Stretch Big,Movement Shooter,Pure Point Guard,Rim Runner/Protector,Stretch Big,0.44657303370786516,0.43798876404494386,0.06425842696629212,0.0358314606741573,0.5880337078651685,0.41196629213483144,0.5181573033707865,0.5363820224719101,89.0
Anthony Edwards,All Around Big-All Around Guard-Movement Shooter-Post Scorer,All Around Big,All Around Guard,Movement Shooter,Post Scorer,0.4053333333333334,0.38210344827586207,0.13637931034482756,0.04824137931034483,0.7006666666666667,0.2993333333333333,0.5346781609195402,0.5809770114942528,87.0
Anthony Edwards,3&D-Pure Point Guard-Shot Creator Guard-Wing Shot Creator,3&D,Pure Point Guard,Shot Creator Guard,Wing Shot Creator,0.3032558139534884,0.3856976744186047,0.10917441860465116,0.06186046511627907,0.6647325581395349,0.3352674418604651,0.536593023255814,0.6027441860465115,86.0
Anthony Edwards,3&D-Movement Shooter-Pure Point Guard-Rim Runner/Protector,3&D,Movement Shooter,Pure Point Guard,Rim Runner/Protector,0.3575882352941177,0.46375294117647053,0.11225882352941176,0.017176470588235293,0.6045647058823529,0.3954352941176471,0.5436235294117647,0.5813058823529412,85.0
Anthony Edwards,Movement Shooter-Wing Shot Creator-Wing Shot Creator-Wing Shot Creator,Movement Shooter,Wing Shot Creator,Wing Shot Creator,Wing Shot Creator,0.402,0.369,0.134,0.067,0.603,0.397,0.532,0.575,78.0
Anthony Edwards,All Around Big-All Around Guard-Shot Creator Guard-Wing Shot Creator,All Around Big,All Around Guard,Shot Creator Guard,Wing Shot Creator,0.38167532467532467,0.4215194805194805,0.06832467532467532,0.043337662337662335,0.500051948051948,0.499948051948052,0.5986753246753248,0.6306623376623376,77.0
Anthony Edwards,3&D-Movement Shooter-Wing Shot Creator-Wing Shot Creator,3&D,Movement Shooter,Wing Shot Creator,Wing Shot Creator,0.30084057971014494,0.4236956521739131,0.0840144927536232,0.07275362318840581,0.46666666666666673,0.5333333333333333,0.510855072463768,0.5553623188405796,69.0
Anthony Edwards,Movement Shooter-Movement Shooter-Pure Point Guard-Rim Runner/Protector,Movement Shooter,Movement Shooter,Pure Point Guard,Rim Runner/Protector,0.39065217391304347,0.40292753623188404,0.0637536231884058,0.08584057971014493,0.6347971014492754,0.36520289855072463,0.4558115942028986,0.48378260869565215,69.0
Anthony Edwards,3&D-All Around Guard-Movement Shooter-Wing Shot Creator,3&D,All Around Guard,Movement Shooter,Wing Shot Creator,0.39554545454545453,0.3826515151515151,0.12665151515151515,0.034378787878787884,0.6753484848484849,0.29434848484848486,0.5884545454545453,0.6308333333333334,66.0
