star_player,LINEUP_ARCHETYPE,player1_archetype,player2_archetype,player3_archetype,player4_archetype,offensive_rating,defensive_rating,net_rating,min_sum
Anthony Edwards,All Around Big-Movement Shooter-Pure Point Guard-Shot Creator Guard,All Around Big,Movement Shooter,Pure Point Guard,Shot Creator Guard,111.34594594594594,127.65945945945946,-16.306306306306308,111.0
Anthony Edwards,All Around Big-All Around Guard-Post Scorer-Wing Shot Creator,All Around Big,All Around Guard,Post Scorer,Wing Shot Creator,109.18,96.96700000000001,12.219000000000001,100.0
Anthony Edwards,All Around Big-Movement Shooter-Post Scorer-Rim Runner/Protector,All Around Big,Movement Shooter,Post Scorer,Rim Runner/Protector,117.29999999999998,86.4,30.9,99.0
Anthony Edwards,3&D-Movement Shooter-Rim Runner/Protector-Shot Creator Guard,3&D,Movement Shooter,Rim Runner/Protector,Shot Creator Guard,106.66494845360825,112.97525773195876,-6.283505154639175,97.0
Anthony Edwards,3&D-All Around Big-Pure Point Guard-Rim Runner/Protector,3&D,All Around Big,Pure Point Guard,Rim Runner/Protector,111.30425531914894,98.58829787234043,12.78404255319149,94.0
Anthony Edwards,All Around Big-All Around Guard-Wing Shot Creator-Wing Shot Creator,All Around Big,All Around Guard,Wing Shot Creator,Wing Shot Creator,123.20659340659341,119.38901098901098,3.8076923076923084,91.0
Anthony Edwards,All Around Big-Pure Point Guard-Rim Runner/Protector-Shot Creator Guard,All Around Big,Pure Point Guard,Rim Runner/Protector,Shot Creator Guard,117.62134831460675,88.44943820224718,29.10112359550562,89.0
Anthony Edwards,Movement Shooter-Pure Point Guard-Rim Runner/Protector-Stretch Big,Movement Shooter,Pure Point Guard,Rim Runner/Protector,Stretch Big,109.06292134831459,101.0123595505618,8.05056179775281,89.0
Anthony Edwards,All Around Big-All Around Guard-Movement Shooter-Post Scorer,All Around Big,All Around Guard,Movement Shooter,Post Scorer,108.60000000000001,97.9816091954023,10.564367816091954,87.0
Anthony Edwards,3&D-Pure Point Guard-Shot Creator Guard-Wing Shot Creator,3&D,Pure Point Guard,Shot Creator Guard,Wing Shot Creator,117.77831325301206,112.2566265060241,5.5216867469879505,83.0
Anthony Edwards,3&D-Movement Shooter-Pure Point Guard-Rim Runner/Protector,3&D,Movement Shooter,Pure Point Guard,Rim Runner/Protector,112.42073170731707,88.06219512195122,24.358536585365854,82.0
Anthony Edwards,Movement Shooter-Wing Shot Creator-Wing Shot Creator-Wing Shot Creator,Movement Shooter,Wing Shot Creator,Wing Shot Creator,Wing Shot Creator,109.1,112.7,-3.5,78.0
Anthony Edwards,All Around Big-All Around Guard-Shot Creator Guard-Wing Shot Creator,All Around Big,All Around Guard,Shot Creator Guard,Wing Shot Creator,114.92297297297296,138.4283783783784,-23.51891891891892,74.0
Anthony Edwards,Movement Shooter-Movement Shooter-Pure Point Guard-Rim Runner/Protector,Movement Shooter,Movement Shooter,Pure Point Guard,Rim Runner/Protector,94.9550724637681,117.71739130434783,-22.76231884057971,69.0
Anthony Edwards,All Around Big-All Around Guard-Pure Point Guard-Wing Shot Creator,All Around Big,All Around Guard,Pure Point Guard,Wing Shot Creator,111.29848484848485,101.12878787878788,10.169696969696968,66.0
Anthony Edwards,3&D-Movement Shooter-Wing Shot Creator-Wing Shot Creator,3&D,Movement Shooter,Wing Shot Creator,Wing Shot Creator,111.09999999999998,102.44153846153846,8.68153846153846,65.0
Anthony Edwards,3&D-Pure Point Guard-Rim Runner/Protector-Wing Shot Creator,3&D,Pure Point Guard,Rim Runner/Protector,Wing Shot Creator,110.446875,93.721875,16.825,64.0
Anthony Edwards,All Around Big-Movement Shooter-Rim Runner/Protector-Wing Shot Creator,All Around Big,Movement Shooter,Rim Runner/Protector,Wing Shot Creator,93.6,88.3,5.3,64.0
