PLAYER_ID,SEASON,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
2588,2015-16,1.0,1.61,3.78,0.425,0.437,-0.012
2590,2015-16,1.0,2.53,5.89,0.429,0.436,-0.007
2592,2015-16,1.0,1.49,3.08,0.483,0.451,0.033
2592,2016-17,1.0,1.67,3.39,0.492,0.448,0.043
2594,2015-16,1.0,4.55,10.56,0.431,0.44,-0.009
2594,2016-17,1.0,4.24,8.66,0.49,0.446,0.043
2594,2017-18,1.0,3.96,8.36,0.474,0.446,0.028
2594,2018-19,1.0,3.06,6.68,0.458,0.442,0.016
2594,2019-20,1.0,2.41,5.79,0.417,0.445,-0.028
2730,2015-16,1.0,5.74,12.09,0.475,0.467,0.008
2730,2016-17,1.0,4.31,9.89,0.436,0.482,-0.046
2730,2017-18,1.0,7.35,15.6,0.471,0.481,-0.01
2730,2018-19,1.0,5.0,10.89,0.459,0.493,-0.034
2730,2019-20,1.0,4.57,9.59,0.476,0.474,0.001
2730,2020-21,1.0,3.91,8.48,0.462,0.494,-0.033
2730,2021-22,1.0,4.45,8.79,0.506,0.49,0.016
2733,2015-16,1.0,3.04,6.84,0.444,0.435,0.009
2733,2016-17,1.0,2.14,4.97,0.431,0.437,-0.006
2733,2017-18,1.0,2.47,5.74,0.43,0.445,-0.015
2733,2018-19,1.0,2.16,5.19,0.416,0.443,-0.028
2734,2015-16,1.0,2.72,5.88,0.463,0.434,0.029
2734,2016-17,1.0,2.13,4.83,0.441,0.447,-0.006
2734,2017-18,1.0,2.82,6.0,0.469,0.448,0.022
2734,2018-19,1.0,2.19,4.63,0.474,0.448,0.026
2738,2015-16,1.0,3.37,7.45,0.452,0.446,0.007
2738,2016-17,1.0,3.17,7.58,0.418,0.446,-0.027
2738,2017-18,1.0,3.75,8.86,0.423,0.453,-0.03
2738,2018-19,1.0,3.48,7.94,0.438,0.458,-0.02
2738,2019-20,1.0,2.95,7.9,0.373,0.46,-0.087
2738,2020-21,1.0,3.54,8.07,0.439,0.461,-0.022
2738,2021-22,1.0,2.77,7.26,0.382,0.454,-0.072
2738,2022-23,1.0,3.0,6.38,0.471,0.456,0.015
2743,2015-16,1.0,3.28,6.72,0.489,0.467,0.022
2743,2016-17,1.0,2.37,5.25,0.451,0.466,-0.015
2746,2015-16,1.0,3.24,7.51,0.431,0.466,-0.035
2746,2017-18,1.0,1.5,3.0,0.5,0.491,0.009
2747,2015-16,1.0,3.27,7.47,0.438,0.441,-0.003
2747,2016-17,1.0,3.68,8.32,0.443,0.444,-0.002
2747,2017-18,1.0,5.03,9.81,0.512,0.457,0.055
2747,2018-19,1.0,3.89,7.0,0.556,0.451,0.104
2747,2019-20,1.0,2.17,5.83,0.371,0.431,-0.059
2749,2015-16,1.0,3.67,8.03,0.457,0.437,0.02
2749,2016-17,1.0,4.12,8.76,0.471,0.445,0.026
2749,2017-18,1.0,2.96,7.04,0.42,0.44,-0.02
2755,2015-16,1.0,2.67,5.28,0.505,0.433,0.072
2760,2015-16,1.0,2.61,5.22,0.5,0.453,0.047
2760,2016-17,1.0,2.0,4.0,0.5,0.43,0.07
2760,2020-21,1.0,2.8,5.8,0.483,0.51,-0.027
2772,2015-16,1.0,4.09,9.11,0.449,0.449,-0.001
2772,2016-17,1.0,4.24,9.18,0.462,0.456,0.006
2772,2017-18,1.0,4.8,9.62,0.499,0.461,0.039
2772,2018-19,1.0,5.32,10.04,0.53,0.461,0.069
2772,2019-20,1.0,4.15,9.08,0.458,0.468,-0.01
2772,2020-21,1.0,5.29,12.0,0.44,0.464,-0.023
2772,2021-22,1.0,3.38,6.79,0.497,0.468,0.029
101106,2015-16,1.0,4.39,9.99,0.439,0.472,-0.033
101106,2016-17,1.0,3.74,7.93,0.472,0.483,-0.011
101106,2017-18,1.0,2.26,4.96,0.456,0.482,-0.026
101106,2018-19,1.0,3.73,8.36,0.446,0.47,-0.024
101107,2015-16,1.0,4.77,10.57,0.451,0.452,-0.002
101107,2016-17,1.0,5.0,11.21,0.446,0.463,-0.017
101107,2017-18,1.0,4.32,9.53,0.454,0.467,-0.013
101107,2018-19,1.0,5.34,11.38,0.469,0.464,0.005
101107,2019-20,1.0,3.33,7.53,0.443,0.459,-0.016
101108,2015-16,1.0,4.5,9.65,0.466,0.444,0.023
101108,2016-17,1.0,4.8,10.16,0.473,0.45,0.022
101108,2017-18,1.0,5.21,11.42,0.456,0.457,-0.001
101108,2018-19,1.0,5.25,10.96,0.478,0.454,0.025
