PLAYER_ID,SEASON,TEAM_ID,"('0 Contesting Rebounders', 'DREB')","('0 Contesting Rebounders', 'OREB')","('0 Contesting Rebounders', 'REB')","('0 Contesting Rebounders', 'REB_FREQ')","('0-3 Feet', 'DREB')","('0-3 Feet', 'OREB')","('0-3 Feet', 'REB')","('0-3 Feet', 'REB_FREQ')","('1 Contesting Rebounder', 'DREB')","('1 Contesting Rebounder', 'OREB')","('1 Contesting Rebounder', 'REB')","('1 Contesting Rebounder', 'REB_FREQ')","('10+ Feet', 'DREB')","('10+ Feet', 'OREB')","('10+ Feet', 'REB')","('10+ Feet', 'REB_FREQ')","('2+ Contesting Rebounders', 'DREB')","('2+ Contesting Rebounders', 'OREB')","('2+ Contesting Rebounders', 'REB')","('2+ Contesting Rebounders', 'REB_FREQ')","('3-6 Feet', 'DREB')","('3-6 Feet', 'OREB')","('3-6 Feet', 'REB')","('3-6 Feet', 'REB_FREQ')","('6-10 Feet', 'DREB')","('6-10 Feet', 'OREB')","('6-10 Feet', 'REB')","('6-10 Feet', 'REB_FREQ')","('OVERALL', 'DREB')","('OVERALL', 'OREB')","('OVERALL', 'REB')","('OVERALL', 'REB_CONTESTED')","('OVERALL', 'REB_UNCONTESTED')"
1495,2015-16,1610612759.0,208.0,41.0,249.0,0.568,105.0,30.0,135.0,0.308,109.0,52.0,161.0,0.368,20.0,23.0,43.0,0.098,12.0,16.0,28.0,0.064,162.0,37.0,199.0,0.454,42.0,19.0,61.0,0.139,329,109,438,189,249
1717,2015-16,1610612742.0,299.0,16.0,315.0,0.645,136.0,15.0,151.0,0.309,120.0,26.0,146.0,0.299,23.0,20.0,43.0,0.088,18.0,9.0,27.0,0.055,211.0,8.0,219.0,0.449,67.0,8.0,75.0,0.154,437,51,488,173,315
1717,2016-17,1610612742.0,211.0,11.0,222.0,0.647,93.0,5.0,98.0,0.286,107.0,9.0,116.0,0.338,10.0,6.0,16.0,0.047,4.0,1.0,5.0,0.015,163.0,4.0,167.0,0.487,56.0,6.0,62.0,0.181,322,21,343,121,222
1717,2017-18,1610612742.0,279.0,6.0,285.0,0.655,144.0,5.0,149.0,0.343,124.0,11.0,135.0,0.31,13.0,6.0,19.0,0.044,12.0,3.0,15.0,0.034,208.0,5.0,213.0,0.49,50.0,4.0,54.0,0.124,415,20,435,150,285
1717,2018-19,1610612742.0,110.0,3.0,113.0,0.715,39.0,2.0,41.0,0.259,42.0,2.0,44.0,0.278,5.0,0.0,5.0,0.032,1.0,0.0,1.0,0.006,78.0,0.0,78.0,0.494,31.0,3.0,34.0,0.215,153,5,158,45,113
1889,2015-16,0.0,31.0,5.0,36.0,1.412,5.0,6.0,11.0,0.43,7.0,5.0,12.0,0.472,18.0,1.0,19.0,0.754,1.0,2.0,3.0,0.11599999999999999,7.0,2.0,9.0,0.356,9.0,3.0,12.0,0.458,39,12,51,15,36
1891,2015-16,1610612745.0,56.0,12.0,68.0,0.872,1.0,0.0,1.0,0.013,8.0,2.0,10.0,0.128,36.0,10.0,46.0,0.59,0.0,0.0,0.0,0.0,10.0,2.0,12.0,0.154,17.0,2.0,19.0,0.244,64,14,78,10,68
1891,2016-17,1610612749.0,84.0,13.0,97.0,0.924,2.0,1.0,3.0,0.029,7.0,1.0,8.0,0.076,43.0,12.0,55.0,0.524,0.0,0.0,0.0,0.0,12.0,1.0,13.0,0.124,34.0,0.0,34.0,0.324,91,14,105,8,97
1891,2017-18,1610612749.0,37.0,5.0,42.0,0.875,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.125,24.0,4.0,28.0,0.583,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.125,13.0,1.0,14.0,0.292,43,5,48,6,42
1938,2015-16,1610612759.0,94.0,12.0,106.0,0.731,10.0,4.0,14.0,0.097,23.0,13.0,36.0,0.248,35.0,9.0,44.0,0.303,2.0,1.0,3.0,0.021,34.0,5.0,39.0,0.269,40.0,8.0,48.0,0.331,119,26,145,39,106
1938,2016-17,1610612759.0,104.0,13.0,117.0,0.765,20.0,1.0,21.0,0.137,20.0,14.0,34.0,0.222,33.0,8.0,41.0,0.268,1.0,1.0,2.0,0.013,29.0,6.0,35.0,0.229,43.0,13.0,56.0,0.366,125,28,153,36,117
1938,2017-18,1610612759.0,94.0,11.0,105.0,0.75,15.0,3.0,18.0,0.129,27.0,7.0,34.0,0.243,27.0,6.0,33.0,0.236,0.0,1.0,1.0,0.007,31.0,7.0,38.0,0.271,48.0,3.0,51.0,0.364,121,19,140,35,105
2034,2015-16,1610612743.0,41.0,4.0,45.0,0.865,8.0,0.0,8.0,0.154,5.0,1.0,6.0,0.115,5.0,3.0,8.0,0.154,1.0,0.0,1.0,0.019,24.0,1.0,25.0,0.481,10.0,1.0,11.0,0.212,47,5,52,7,45
2034,2016-17,1610612743.0,30.0,2.0,32.0,0.865,14.0,0.0,14.0,0.378,3.0,0.0,3.0,0.081,4.0,2.0,6.0,0.162,2.0,0.0,2.0,0.054,13.0,0.0,13.0,0.351,4.0,0.0,4.0,0.108,35,2,37,5,32
2037,2015-16,1610612746.0,111.0,13.0,124.0,0.861,8.0,1.0,9.0,0.063,14.0,5.0,19.0,0.132,60.0,7.0,67.0,0.465,0.0,1.0,1.0,0.007,23.0,7.0,30.0,0.208,34.0,4.0,38.0,0.264,125,19,144,20,124
2037,2016-17,1610612746.0,98.0,9.0,107.0,0.823,4.0,4.0,8.0,0.062,15.0,6.0,21.0,0.162,63.0,8.0,71.0,0.546,1.0,1.0,2.0,0.015,19.0,3.0,22.0,0.169,28.0,1.0,29.0,0.223,114,16,130,23,107
2037,2017-18,1610612750.0,75.0,15.0,90.0,0.928,4.0,2.0,6.0,0.062,2.0,2.0,4.0,0.041,47.0,16.0,63.0,0.649,0.0,3.0,3.0,0.031,4.0,1.0,5.0,0.052,22.0,1.0,23.0,0.237,77,20,97,7,90
2037,2018-19,1610612756.0,70.0,7.0,77.0,0.906,3.0,0.0,3.0,0.035,7.0,1.0,8.0,0.094,42.0,7.0,49.0,0.576,0.0,0.0,0.0,0.0,11.0,1.0,12.0,0.141,21.0,0.0,21.0,0.247,77,8,85,8,77
2199,2015-16,1610612756.0,290.0,56.0,346.0,0.607,139.0,68.0,207.0,0.363,106.0,90.0,196.0,0.344,15.0,24.0,39.0,0.068,4.0,24.0,28.0,0.049,193.0,51.0,244.0,0.428,53.0,27.0,80.0,0.14,400,170,570,224,346
2199,2016-17,1610612756.0,253.0,41.0,294.0,0.589,138.0,50.0,188.0,0.377,105.0,67.0,172.0,0.345,13.0,14.0,27.0,0.054,6.0,27.0,33.0,0.066,185.0,40.0,225.0,0.451,27.0,31.0,58.0,0.116,364,135,499,205,294
2199,2017-18,1610612756.0,204.0,46.0,250.0,0.6,100.0,56.0,156.0,0.374,78.0,71.0,149.0,0.357,11.0,15.0,26.0,0.062,2.0,16.0,18.0,0.043,144.0,41.0,185.0,0.444,29.0,21.0,50.0,0.12,284,133,417,167,250
2199,2018-19,0.0,143.0,33.0,176.0,1.161,69.0,44.0,113.0,0.751,64.0,44.0,108.0,0.6659999999999999,10.0,11.0,21.0,0.14400000000000002,7.0,16.0,23.0,0.174,102.0,21.0,123.0,0.8540000000000001,33.0,17.0,50.0,0.252,214,93,307,131,176
2199,2019-20,1610612745.0,25.0,9.0,34.0,0.523,10.0,6.0,16.0,0.246,14.0,12.0,26.0,0.4,1.0,6.0,7.0,0.108,1.0,4.0,5.0,0.077,19.0,7.0,26.0,0.4,10.0,6.0,16.0,0.246,40,25,65,31,34
2200,2015-16,1610612741.0,415.0,44.0,459.0,0.588,227.0,36.0,263.0,0.337,193.0,81.0,274.0,0.351,30.0,23.0,53.0,0.068,21.0,26.0,47.0,0.06,296.0,65.0,361.0,0.463,76.0,27.0,103.0,0.132,629,151,780,321,459
2200,2016-17,1610612759.0,261.0,33.0,294.0,0.602,134.0,30.0,164.0,0.336,115.0,51.0,166.0,0.34,17.0,20.0,37.0,0.076,8.0,20.0,28.0,0.057,189.0,33.0,222.0,0.455,43.0,21.0,64.0,0.131,384,104,488,194,294
2200,2017-18,1610612759.0,340.0,42.0,382.0,0.619,179.0,61.0,240.0,0.389,144.0,59.0,203.0,0.329,12.0,20.0,32.0,0.052,5.0,27.0,32.0,0.052,230.0,28.0,258.0,0.418,68.0,19.0,87.0,0.141,489,128,617,235,382
2200,2018-19,0.0,78.0,6.0,84.0,1.1219999999999999,38.0,7.0,45.0,0.815,37.0,11.0,48.0,0.839,3.0,5.0,8.0,0.063,0.0,5.0,5.0,0.039,59.0,8.0,67.0,0.896,15.0,2.0,17.0,0.226,115,22,137,53,84
2207,2015-16,0.0,211.0,23.0,234.0,1.615,40.0,7.0,47.0,0.311,34.0,16.0,50.0,0.305,68.0,19.0,87.0,0.664,0.0,9.0,9.0,0.08099999999999999,76.0,14.0,90.0,0.616,61.0,8.0,69.0,0.40900000000000003,245,48,293,59,234
2207,2016-17,1610612762.0,168.0,19.0,187.0,0.773,30.0,6.0,36.0,0.149,39.0,10.0,49.0,0.202,47.0,13.0,60.0,0.248,2.0,4.0,6.0,0.025,72.0,9.0,81.0,0.335,60.0,5.0,65.0,0.269,209,33,242,55,187
2207,2017-18,0.0,134.0,6.0,140.0,1.621,33.0,2.0,35.0,0.42100000000000004,22.0,5.0,27.0,0.34500000000000003,24.0,4.0,28.0,0.308,0.0,3.0,3.0,0.034,61.0,3.0,64.0,0.75,38.0,5.0,43.0,0.521,156,14,170,30,140
2210,2015-16,1610612739.0,91.0,10.0,101.0,0.795,27.0,1.0,28.0,0.22,20.0,4.0,24.0,0.189,13.0,8.0,21.0,0.165,1.0,1.0,2.0,0.016,36.0,3.0,39.0,0.307,36.0,3.0,39.0,0.307,112,15,127,26,101
2210,2016-17,1610612739.0,135.0,16.0,151.0,0.759,40.0,4.0,44.0,0.221,36.0,7.0,43.0,0.216,36.0,14.0,50.0,0.251,1.0,4.0,5.0,0.025,55.0,6.0,61.0,0.307,41.0,3.0,44.0,0.221,172,27,199,48,151
2210,2017-18,1610612743.0,13.0,1.0,14.0,0.824,2.0,2.0,4.0,0.235,2.0,1.0,3.0,0.176,2.0,0.0,2.0,0.118,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.235,7.0,0.0,7.0,0.412,15,2,17,3,14
2225,2015-16,1610612759.0,141.0,13.0,154.0,0.88,9.0,1.0,10.0,0.057,15.0,3.0,18.0,0.103,82.0,14.0,96.0,0.549,2.0,1.0,3.0,0.017,23.0,1.0,24.0,0.137,44.0,1.0,45.0,0.257,158,17,175,21,154
2225,2016-17,1610612759.0,95.0,6.0,101.0,0.91,5.0,1.0,6.0,0.054,8.0,2.0,10.0,0.09,62.0,5.0,67.0,0.604,0.0,0.0,0.0,0.0,14.0,0.0,14.0,0.126,22.0,2.0,24.0,0.216,103,8,111,10,101
2225,2017-18,1610612759.0,79.0,4.0,83.0,0.883,9.0,0.0,9.0,0.096,9.0,1.0,10.0,0.106,44.0,4.0,48.0,0.511,0.0,1.0,1.0,0.011,16.0,2.0,18.0,0.191,19.0,0.0,19.0,0.202,88,6,94,11,83
2225,2018-19,1610612766.0,64.0,10.0,74.0,0.892,1.0,2.0,3.0,0.036,5.0,2.0,7.0,0.084,39.0,7.0,46.0,0.554,0.0,2.0,2.0,0.024,10.0,3.0,13.0,0.157,19.0,2.0,21.0,0.253,69,14,83,9,74
2399,2015-16,1610612741.0,62.0,1.0,63.0,0.75,18.0,3.0,21.0,0.25,15.0,3.0,18.0,0.214,7.0,1.0,8.0,0.095,0.0,3.0,3.0,0.036,29.0,3.0,32.0,0.381,23.0,0.0,23.0,0.274,77,7,84,21,63
2399,2016-17,0.0,79.0,11.0,90.0,1.542,17.0,1.0,18.0,0.308,18.0,3.0,21.0,0.372,17.0,9.0,26.0,0.437,1.0,4.0,5.0,0.086,32.0,6.0,38.0,0.6459999999999999,32.0,2.0,34.0,0.608,98,18,116,26,90
2403,2015-16,1610612764.0,142.0,13.0,155.0,0.603,62.0,12.0,74.0,0.288,58.0,28.0,86.0,0.335,18.0,14.0,32.0,0.125,6.0,10.0,16.0,0.062,98.0,15.0,113.0,0.44,28.0,10.0,38.0,0.148,206,51,257,102,155
2403,2016-17,1610612745.0,108.0,34.0,142.0,0.511,62.0,31.0,93.0,0.335,68.0,43.0,111.0,0.399,13.0,22.0,35.0,0.126,9.0,16.0,25.0,0.09,77.0,25.0,102.0,0.367,33.0,15.0,48.0,0.173,185,93,278,136,142
2403,2017-18,1610612745.0,90.0,18.0,108.0,0.617,44.0,22.0,66.0,0.377,29.0,29.0,58.0,0.331,6.0,11.0,17.0,0.097,2.0,7.0,9.0,0.051,52.0,13.0,65.0,0.371,19.0,8.0,27.0,0.154,121,54,175,67,108
2403,2018-19,1610612745.0,59.0,15.0,74.0,0.602,26.0,11.0,37.0,0.301,30.0,16.0,46.0,0.374,9.0,7.0,16.0,0.13,0.0,3.0,3.0,0.024,33.0,10.0,43.0,0.35,21.0,6.0,27.0,0.22,89,34,123,49,74
2440,2015-16,1610612763.0,268.0,32.0,300.0,0.741,77.0,19.0,96.0,0.237,56.0,31.0,87.0,0.215,39.0,17.0,56.0,0.138,4.0,14.0,18.0,0.044,150.0,29.0,179.0,0.442,61.0,12.0,73.0,0.18,328,77,405,105,300
2440,2016-17,0.0,237.0,30.0,267.0,1.42,74.0,17.0,91.0,0.46099999999999997,70.0,31.0,101.0,0.524,34.0,16.0,50.0,0.28200000000000003,6.0,8.0,14.0,0.055999999999999994,150.0,24.0,174.0,0.894,55.0,12.0,67.0,0.364,313,69,382,115,267
2446,2015-16,1610612759.0,42.0,1.0,43.0,0.768,7.0,1.0,8.0,0.143,11.0,0.0,11.0,0.196,11.0,1.0,12.0,0.214,0.0,2.0,2.0,0.036,22.0,1.0,23.0,0.411,13.0,0.0,13.0,0.232,53,3,56,13,43
2544,2015-16,1610612739.0,354.0,41.0,395.0,0.71,87.0,29.0,116.0,0.209,91.0,45.0,136.0,0.245,75.0,21.0,96.0,0.173,5.0,20.0,25.0,0.045,146.0,35.0,181.0,0.326,141.0,21.0,162.0,0.291,450,106,556,161,395
2544,2016-17,1610612739.0,420.0,39.0,459.0,0.726,131.0,19.0,150.0,0.237,115.0,36.0,151.0,0.239,75.0,25.0,100.0,0.158,8.0,14.0,22.0,0.035,190.0,23.0,213.0,0.337,147.0,22.0,169.0,0.267,543,89,632,173,459
2544,2017-18,1610612739.0,495.0,51.0,546.0,0.774,145.0,29.0,174.0,0.247,113.0,31.0,144.0,0.204,72.0,23.0,95.0,0.135,0.0,15.0,15.0,0.021,242.0,28.0,270.0,0.383,149.0,17.0,166.0,0.235,608,97,705,159,546
2544,2018-19,1610612747.0,329.0,22.0,351.0,0.756,79.0,14.0,93.0,0.2,76.0,27.0,103.0,0.222,72.0,13.0,85.0,0.183,3.0,7.0,10.0,0.022,144.0,18.0,162.0,0.349,113.0,11.0,124.0,0.267,408,56,464,113,351
2544,2019-20,1610612747.0,381.0,25.0,406.0,0.778,74.0,22.0,96.0,0.184,75.0,29.0,104.0,0.199,91.0,15.0,106.0,0.203,2.0,10.0,12.0,0.023,155.0,16.0,171.0,0.328,138.0,11.0,149.0,0.285,458,64,522,116,406
2544,2020-21,1610612747.0,272.0,15.0,287.0,0.834,48.0,10.0,58.0,0.169,42.0,10.0,52.0,0.151,35.0,10.0,45.0,0.131,1.0,4.0,5.0,0.015,133.0,4.0,137.0,0.398,99.0,5.0,104.0,0.302,315,29,344,57,287
2544,2021-22,1610612747.0,308.0,27.0,335.0,0.73,87.0,27.0,114.0,0.248,86.0,20.0,106.0,0.231,55.0,13.0,68.0,0.148,3.0,15.0,18.0,0.039,141.0,17.0,158.0,0.344,114.0,5.0,119.0,0.259,397,62,459,124,335
2544,2022-23,1610612747.0,304.0,26.0,330.0,0.725,71.0,27.0,98.0,0.215,80.0,27.0,107.0,0.235,39.0,14.0,53.0,0.116,7.0,11.0,18.0,0.04,152.0,18.0,170.0,0.374,129.0,5.0,134.0,0.295,391,64,455,125,330
2544,2023-24,1610612747.0,347.0,26.0,373.0,0.764,77.0,19.0,96.0,0.197,77.0,22.0,99.0,0.203,72.0,16.0,88.0,0.18,4.0,12.0,16.0,0.033,145.0,21.0,166.0,0.34,134.0,4.0,138.0,0.283,428,60,488,115,373
2544,2024-25,1610612747.0,365.0,33.0,398.0,0.733,81.0,24.0,105.0,0.193,100.0,32.0,132.0,0.243,54.0,20.0,74.0,0.136,6.0,7.0,13.0,0.024,189.0,15.0,204.0,0.376,147.0,13.0,160.0,0.295,471,72,543,145,398
2546,2015-16,1610612752.0,374.0,26.0,400.0,0.731,80.0,30.0,110.0,0.201,75.0,47.0,122.0,0.223,61.0,17.0,78.0,0.143,7.0,18.0,25.0,0.046,176.0,33.0,209.0,0.382,139.0,11.0,150.0,0.274,456,91,547,147,400
2546,2016-17,1610612752.0,294.0,21.0,315.0,0.722,63.0,21.0,84.0,0.193,74.0,28.0,102.0,0.234,49.0,12.0,61.0,0.14,6.0,13.0,19.0,0.044,163.0,15.0,178.0,0.408,99.0,14.0,113.0,0.259,374,62,436,121,315
2546,2017-18,1610612760.0,303.0,33.0,336.0,0.772,85.0,21.0,106.0,0.244,67.0,22.0,89.0,0.205,25.0,20.0,45.0,0.103,1.0,9.0,10.0,0.023,170.0,15.0,185.0,0.425,91.0,8.0,99.0,0.228,371,64,435,99,336
2546,2018-19,1610612745.0,31.0,3.0,34.0,0.63,13.0,2.0,15.0,0.278,14.0,6.0,20.0,0.37,3.0,3.0,6.0,0.111,0.0,0.0,0.0,0.0,19.0,3.0,22.0,0.407,10.0,1.0,11.0,0.204,45,9,54,20,34
2546,2019-20,1610612757.0,227.0,22.0,249.0,0.692,63.0,26.0,89.0,0.247,60.0,36.0,96.0,0.267,33.0,16.0,49.0,0.136,3.0,12.0,15.0,0.042,120.0,21.0,141.0,0.392,74.0,7.0,81.0,0.225,290,70,360,111,249
2546,2020-21,1610612757.0,146.0,11.0,157.0,0.734,31.0,12.0,43.0,0.201,34.0,18.0,52.0,0.243,28.0,7.0,35.0,0.164,2.0,3.0,5.0,0.023,73.0,8.0,81.0,0.379,50.0,5.0,55.0,0.257,182,32,214,57,157
2546,2021-22,1610612747.0,167.0,30.0,197.0,0.689,62.0,25.0,87.0,0.304,55.0,25.0,80.0,0.28,26.0,18.0,44.0,0.154,2.0,7.0,9.0,0.031,85.0,14.0,99.0,0.346,51.0,5.0,56.0,0.196,224,62,286,89,197
2548,2015-16,1610612748.0,174.0,33.0,207.0,0.688,32.0,33.0,65.0,0.216,46.0,32.0,78.0,0.259,67.0,13.0,80.0,0.266,1.0,15.0,16.0,0.053,70.0,19.0,89.0,0.296,52.0,15.0,67.0,0.223,221,80,301,94,207
2548,2016-17,1610612741.0,165.0,29.0,194.0,0.729,43.0,15.0,58.0,0.218,39.0,27.0,66.0,0.248,35.0,12.0,47.0,0.177,1.0,5.0,6.0,0.023,69.0,17.0,86.0,0.323,58.0,17.0,75.0,0.282,205,61,266,72,194
2548,2017-18,0.0,159.0,22.0,181.0,1.436,41.0,12.0,53.0,0.475,41.0,21.0,62.0,0.5169999999999999,31.0,13.0,44.0,0.348,1.0,6.0,7.0,0.048,75.0,18.0,93.0,0.7230000000000001,54.0,6.0,60.0,0.454,201,49,250,69,181
2548,2018-19,1610612748.0,186.0,31.0,217.0,0.764,33.0,19.0,52.0,0.183,29.0,31.0,60.0,0.211,43.0,21.0,64.0,0.225,1.0,6.0,7.0,0.025,66.0,19.0,85.0,0.299,74.0,9.0,83.0,0.292,216,68,284,67,217
2555,2015-16,1610612760.0,72.0,16.0,88.0,0.518,35.0,19.0,54.0,0.318,29.0,42.0,71.0,0.418,7.0,7.0,14.0,0.082,1.0,10.0,11.0,0.065,36.0,31.0,67.0,0.394,24.0,10.0,34.0,0.2,102,68,170,82,88
2555,2016-17,1610612760.0,14.0,5.0,19.0,0.613,8.0,5.0,13.0,0.419,8.0,4.0,12.0,0.387,4.0,1.0,5.0,0.161,0.0,0.0,0.0,0.0,6.0,2.0,8.0,0.258,4.0,1.0,5.0,0.161,22,9,31,12,19
2555,2017-18,1610612760.0,10.0,2.0,12.0,0.8,4.0,0.0,4.0,0.267,0.0,1.0,1.0,0.067,1.0,0.0,1.0,0.067,0.0,2.0,2.0,0.133,4.0,5.0,9.0,0.6,1.0,0.0,1.0,0.067,10,5,15,3,12
2561,2015-16,1610612759.0,156.0,21.0,177.0,0.577,66.0,17.0,83.0,0.27,74.0,40.0,114.0,0.371,26.0,16.0,42.0,0.137,6.0,10.0,16.0,0.052,103.0,21.0,124.0,0.404,41.0,17.0,58.0,0.189,236,71,307,130,177
2561,2016-17,1610612744.0,82.0,18.0,100.0,0.5,42.0,15.0,57.0,0.285,65.0,23.0,88.0,0.44,10.0,5.0,15.0,0.075,6.0,6.0,12.0,0.06,65.0,16.0,81.0,0.405,36.0,11.0,47.0,0.235,153,47,200,100,100
2561,2017-18,1610612744.0,107.0,21.0,128.0,0.542,50.0,23.0,73.0,0.309,58.0,33.0,91.0,0.386,19.0,7.0,26.0,0.11,8.0,9.0,17.0,0.072,76.0,22.0,98.0,0.415,28.0,10.0,38.0,0.161,173,63,236,108,128
2564,2015-16,1610612759.0,114.0,31.0,145.0,0.628,43.0,16.0,59.0,0.255,55.0,20.0,75.0,0.325,19.0,14.0,33.0,0.143,4.0,7.0,11.0,0.048,72.0,17.0,89.0,0.385,39.0,11.0,50.0,0.216,173,58,231,86,145
2564,2016-17,1610612762.0,86.0,19.0,105.0,0.665,27.0,12.0,39.0,0.247,22.0,20.0,42.0,0.266,14.0,7.0,21.0,0.133,3.0,8.0,11.0,0.07,44.0,15.0,59.0,0.373,26.0,13.0,39.0,0.247,111,47,158,53,105
2571,2015-16,1610612744.0,77.0,20.0,97.0,0.815,9.0,1.0,10.0,0.084,11.0,9.0,20.0,0.168,32.0,20.0,52.0,0.437,0.0,2.0,2.0,0.017,19.0,8.0,27.0,0.227,28.0,2.0,30.0,0.252,88,31,119,22,97
2571,2016-17,1610612756.0,78.0,10.0,88.0,0.88,6.0,0.0,6.0,0.06,5.0,5.0,10.0,0.1,27.0,9.0,36.0,0.36,2.0,0.0,2.0,0.02,23.0,3.0,26.0,0.26,29.0,3.0,32.0,0.32,85,15,100,12,88
2585,2015-16,1610612742.0,299.0,58.0,357.0,0.506,171.0,88.0,259.0,0.367,149.0,138.0,287.0,0.407,14.0,31.0,45.0,0.064,18.0,44.0,62.0,0.088,216.0,80.0,296.0,0.419,65.0,41.0,106.0,0.15,466,240,706,349,357
2585,2016-17,1610612744.0,172.0,47.0,219.0,0.541,88.0,47.0,135.0,0.333,88.0,68.0,156.0,0.385,18.0,21.0,39.0,0.096,9.0,21.0,30.0,0.074,120.0,32.0,152.0,0.375,43.0,36.0,79.0,0.195,269,136,405,186,219
2585,2017-18,1610612744.0,170.0,32.0,202.0,0.639,79.0,25.0,104.0,0.329,54.0,43.0,97.0,0.307,8.0,18.0,26.0,0.082,6.0,11.0,17.0,0.054,108.0,25.0,133.0,0.421,35.0,18.0,53.0,0.168,230,86,316,114,202
2585,2018-19,1610612765.0,104.0,27.0,131.0,0.5,59.0,47.0,106.0,0.405,58.0,46.0,104.0,0.397,7.0,8.0,15.0,0.057,3.0,24.0,27.0,0.103,78.0,31.0,109.0,0.416,21.0,11.0,32.0,0.122,165,97,262,131,131
2588,2015-16,1610612759.0,19.0,2.0,21.0,0.778,5.0,0.0,5.0,0.185,5.0,0.0,5.0,0.185,3.0,2.0,5.0,0.185,0.0,1.0,1.0,0.037,10.0,0.0,10.0,0.37,6.0,1.0,7.0,0.259,24,3,27,6,21
2590,2015-16,1610612739.0,66.0,6.0,72.0,0.96,5.0,0.0,5.0,0.067,3.0,0.0,3.0,0.04,31.0,4.0,35.0,0.467,0.0,0.0,0.0,0.0,8.0,2.0,10.0,0.133,25.0,0.0,25.0,0.333,69,6,75,3,72
2592,2015-16,1610612739.0,36.0,5.0,41.0,0.837,10.0,0.0,10.0,0.204,6.0,2.0,8.0,0.163,11.0,5.0,16.0,0.327,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.184,12.0,2.0,14.0,0.286,42,7,49,8,41
2592,2016-17,1610612739.0,25.0,3.0,28.0,0.757,9.0,0.0,9.0,0.243,9.0,0.0,9.0,0.243,5.0,1.0,6.0,0.162,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.216,12.0,2.0,14.0,0.378,34,3,37,9,28
2594,2015-16,1610612737.0,185.0,11.0,196.0,0.766,35.0,0.0,35.0,0.137,56.0,2.0,58.0,0.227,50.0,10.0,60.0,0.234,2.0,0.0,2.0,0.008,88.0,0.0,88.0,0.344,70.0,3.0,73.0,0.285,243,13,256,60,196
2594,2016-17,0.0,141.0,7.0,148.0,1.603,21.0,0.0,21.0,0.225,30.0,1.0,31.0,0.33399999999999996,39.0,8.0,47.0,0.511,6.0,0.0,6.0,0.064,57.0,0.0,57.0,0.614,60.0,0.0,60.0,0.65,177,8,185,37,148
2594,2017-18,1610612739.0,119.0,7.0,126.0,0.768,19.0,1.0,20.0,0.122,36.0,2.0,38.0,0.232,36.0,6.0,42.0,0.256,0.0,0.0,0.0,0.0,55.0,0.0,55.0,0.335,45.0,2.0,47.0,0.287,155,9,164,38,126
2594,2018-19,0.0,129.0,6.0,135.0,1.7810000000000001,16.0,1.0,17.0,0.24,16.0,2.0,18.0,0.195,38.0,6.0,44.0,0.426,2.0,1.0,3.0,0.024,50.0,0.0,50.0,0.739,43.0,2.0,45.0,0.593,147,9,156,21,135
2594,2019-20,1610612749.0,85.0,11.0,96.0,0.821,13.0,0.0,13.0,0.111,18.0,3.0,21.0,0.179,25.0,11.0,36.0,0.308,0.0,0.0,0.0,0.0,29.0,3.0,32.0,0.274,36.0,0.0,36.0,0.308,103,14,117,21,96
2730,2015-16,1610612745.0,389.0,63.0,452.0,0.551,242.0,103.0,345.0,0.421,188.0,108.0,296.0,0.361,21.0,22.0,43.0,0.052,11.0,61.0,72.0,0.088,282.0,85.0,367.0,0.448,43.0,22.0,65.0,0.079,588,232,820,368,452
2730,2016-17,1610612737.0,426.0,82.0,508.0,0.549,270.0,138.0,408.0,0.441,196.0,149.0,345.0,0.373,25.0,22.0,47.0,0.051,16.0,57.0,73.0,0.079,294.0,103.0,397.0,0.429,49.0,25.0,74.0,0.08,638,288,926,418,508
2730,2017-18,1610612766.0,525.0,74.0,599.0,0.601,330.0,112.0,442.0,0.444,212.0,103.0,315.0,0.316,23.0,18.0,41.0,0.041,13.0,69.0,82.0,0.082,357.0,94.0,451.0,0.453,40.0,22.0,62.0,0.062,750,246,996,397,599
2730,2018-19,1610612764.0,43.0,7.0,50.0,0.602,19.0,13.0,32.0,0.386,15.0,15.0,30.0,0.361,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.036,33.0,10.0,43.0,0.518,7.0,1.0,8.0,0.096,59,24,83,33,50
2730,2019-20,1610612747.0,263.0,49.0,312.0,0.615,132.0,79.0,211.0,0.416,69.0,82.0,151.0,0.298,13.0,7.0,20.0,0.039,5.0,39.0,44.0,0.087,170.0,61.0,231.0,0.456,22.0,23.0,45.0,0.089,337,170,507,195,312
2730,2020-21,1610612755.0,284.0,40.0,324.0,0.56,157.0,105.0,262.0,0.453,97.0,104.0,201.0,0.347,13.0,6.0,19.0,0.033,9.0,45.0,54.0,0.093,190.0,61.0,251.0,0.434,30.0,17.0,47.0,0.081,390,189,579,255,324
2730,2021-22,1610612747.0,165.0,33.0,198.0,0.559,76.0,54.0,130.0,0.367,67.0,67.0,134.0,0.379,8.0,11.0,19.0,0.054,4.0,18.0,22.0,0.062,121.0,41.0,162.0,0.458,31.0,11.0,42.0,0.119,236,118,354,156,198
