PLAYER_ID,SEASON,TEAM_ID,"('0 Contesting Rebounders', 'DREB')","('0 Contesting Rebounders', 'OREB')","('0 Contesting Rebounders', 'REB')","('0 Contesting Rebounders', 'REB_FREQ')","('0-3 Feet', 'DREB')","('0-3 Feet', 'OREB')","('0-3 Feet', 'REB')","('0-3 Feet', 'REB_FREQ')","('1 Contesting Rebounder', 'DREB')","('1 Contesting Rebounder', 'OREB')","('1 Contesting Rebounder', 'REB')","('1 Contesting Rebounder', 'REB_FREQ')","('10+ Feet', 'DREB')","('10+ Feet', 'OREB')","('10+ Feet', 'REB')","('10+ Feet', 'REB_FREQ')","('2+ Contesting Rebounders', 'DREB')","('2+ Contesting Rebounders', 'OREB')","('2+ Contesting Rebounders', 'REB')","('2+ Contesting Rebounders', 'REB_FREQ')","('3-6 Feet', 'DREB')","('3-6 Feet', 'OREB')","('3-6 Feet', 'REB')","('3-6 Feet', 'REB_FREQ')","('6-10 Feet', 'DREB')","('6-10 Feet', 'OREB')","('6-10 Feet', 'REB')","('6-10 Feet', 'REB_FREQ')","('OVERALL', 'DREB')","('OVERALL', 'OREB')","('OVERALL', 'REB')","('OVERALL', 'REB_CONTESTED')","('OVERALL', 'REB_UNCONTESTED')"
1631111,2022-23,1610612750.0,10.0,1.0,11.0,0.611,1.0,2.0,3.0,0.167,4.0,2.0,6.0,0.333,3.0,0.0,3.0,0.167,0.0,1.0,1.0,0.056,5.0,2.0,7.0,0.389,5.0,0.0,5.0,0.278,14,4,18,7,11
1631111,2023-24,1610612750.0,8.0,0.0,8.0,0.727,2.0,0.0,2.0,0.182,3.0,0.0,3.0,0.273,3.0,0.0,3.0,0.273,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.364,2.0,0.0,2.0,0.182,11,0,11,3,8
1631111,2024-25,0.0,48.0,16.0,64.0,1.367,8.0,9.0,17.0,0.359,16.0,9.0,25.0,0.53,9.0,6.0,15.0,0.311,0.0,5.0,5.0,0.10300000000000001,22.0,9.0,31.0,0.653,25.0,6.0,31.0,0.677,64,30,94,30,64
1631114,2022-23,1610612760.0,206.0,44.0,250.0,0.746,21.0,25.0,46.0,0.137,44.0,30.0,74.0,0.221,51.0,25.0,76.0,0.227,2.0,9.0,11.0,0.033,96.0,23.0,119.0,0.355,84.0,10.0,94.0,0.281,252,83,335,85,250
1631114,2023-24,1610612760.0,188.0,18.0,206.0,0.749,30.0,7.0,37.0,0.135,50.0,16.0,66.0,0.24,55.0,11.0,66.0,0.24,1.0,2.0,3.0,0.011,78.0,12.0,90.0,0.327,76.0,6.0,82.0,0.298,239,36,275,69,206
1631114,2024-25,1610612760.0,257.0,34.0,291.0,0.791,39.0,8.0,47.0,0.128,49.0,21.0,70.0,0.19,41.0,27.0,68.0,0.185,3.0,4.0,7.0,0.019,133.0,15.0,148.0,0.402,96.0,9.0,105.0,0.285,309,59,368,77,291
1631116,2022-23,1610612744.0,28.0,1.0,29.0,0.725,9.0,1.0,10.0,0.25,10.0,0.0,10.0,0.25,1.0,0.0,1.0,0.025,1.0,0.0,1.0,0.025,12.0,0.0,12.0,0.3,17.0,0.0,17.0,0.425,39,1,40,11,29
1631116,2023-24,1610612764.0,68.0,9.0,77.0,0.647,25.0,4.0,29.0,0.244,34.0,6.0,40.0,0.336,6.0,4.0,10.0,0.084,0.0,2.0,2.0,0.017,47.0,7.0,54.0,0.454,24.0,2.0,26.0,0.218,102,17,119,42,77
1631116,2024-25,0.0,14.0,2.0,16.0,1.591,6.0,1.0,7.0,0.894,3.0,2.0,5.0,0.227,2.0,1.0,3.0,0.136,3.0,1.0,4.0,0.182,7.0,3.0,10.0,0.455,5.0,0.0,5.0,0.515,20,5,25,9,16
1631117,2022-23,1610612762.0,250.0,51.0,301.0,0.485,151.0,111.0,262.0,0.422,130.0,131.0,261.0,0.42,14.0,15.0,29.0,0.047,10.0,49.0,59.0,0.095,174.0,72.0,246.0,0.396,51.0,33.0,84.0,0.135,390,231,621,320,301
1631117,2023-24,1610612762.0,193.0,37.0,230.0,0.499,122.0,67.0,189.0,0.41,106.0,90.0,196.0,0.425,8.0,16.0,24.0,0.052,6.0,29.0,35.0,0.076,133.0,50.0,183.0,0.397,42.0,23.0,65.0,0.141,305,156,461,231,230
