,,,Restricted Area,Restricted Area,In The Paint (Non-RA),In The Paint (Non-RA),Mid-Range,Mid-Range,Left Corner 3,Left Corner 3,Right Corner 3,Right Corner 3,Above the Break 3,Above the Break 3,Corner 3,Corner 3,,,Restricted Area,In The Paint (Non-RA),Mid-Range,Left Corner 3,Right Corner 3,Above the Break 3,Corner 3,Restricted Area,In The Paint (Non-RA),Mid-Range,Left Corner 3,Right Corner 3,Above the Break 3,Corner 3
PLAYER_ID,PLAYER,SEASON,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,TOTAL_FGM,TOTAL_FGA,FG_PCT,FG_PCT,FG_PCT,FG_PCT,FG_PCT,FG_PCT,FG_PCT,FREQ,FREQ,FREQ,FREQ,FREQ,FREQ,FREQ
203458,Alex Len,2019-20,127,186,33,68,1,7,5,9,5,18,6,31,10,27,187.0,346.0,0.68,0.49,0.14,0.56,0.28,0.19,0.37,0.54,0.2,0.02,0.03,0.05,0.09,0.08
203458,Alex Len,2020-21,121,158,40,85,2,10,4,11,2,6,2,8,6,17,177.0,295.0,0.77,0.47,0.2,0.36,0.33,0.25,0.35,0.54,0.29,0.03,0.04,0.02,0.03,0.06
203458,Alex Len,2021-22,59,85,27,66,2,4,2,4,0,2,4,15,2,6,96.0,182.0,0.69,0.41,0.5,0.5,0.0,0.27,0.33,0.47,0.36,0.02,0.02,0.01,0.08,0.03
203458,Alex Len,2022-23,14,20,1,5,1,3,0,0,0,0,0,2,0,0,16.0,30.0,0.7,0.2,0.33,0.0,0.0,0.0,0.0,0.67,0.17,0.1,0.0,0.0,0.07,0.0
203458,Alex Len,2023-24,36,48,12,27,2,3,0,1,0,0,0,2,0,1,50.0,82.0,0.75,0.44,0.67,0.0,0.0,0.0,0.0,0.59,0.33,0.04,0.01,0.0,0.02,0.01
203458,Alex Len,2024-25,17,28,12,22,1,4,1,2,0,2,1,5,1,4,33.0,67.0,0.61,0.55,0.25,0.5,0.0,0.2,0.25,0.42,0.33,0.06,0.03,0.03,0.07,0.06
203460,A. Roberson,2015-16,100,156,4,10,0,5,17,54,11,25,4,22,28,79,164.0,351.0,0.64,0.4,0.0,0.31,0.44,0.18,0.35,0.44,0.03,0.01,0.15,0.07,0.06,0.23
203460,A. Roberson,2016-17,164,253,4,19,2,7,12,45,8,40,25,98,20,85,235.0,547.0,0.65,0.21,0.29,0.27,0.2,0.26,0.24,0.46,0.03,0.01,0.08,0.07,0.18,0.16
203460,A. Roberson,2017-18,79,123,0,2,0,1,4,14,0,7,4,15,4,21,91.0,183.0,0.64,0.0,0.0,0.29,0.0,0.27,0.19,0.67,0.01,0.01,0.08,0.04,0.08,0.11
203460,A. Roberson,2019-20,5,12,0,3,0,0,0,3,0,1,3,9,0,4,8.0,32.0,0.42,0.0,0.0,0.0,0.0,0.33,0.0,0.38,0.09,0.0,0.09,0.03,0.28,0.12
203460,A. Roberson,2020-21,1,6,0,0,0,0,0,2,0,2,1,4,0,4,2.0,18.0,0.17,0.0,0.0,0.0,0.0,0.25,0.0,0.33,0.0,0.0,0.11,0.11,0.22,0.22
203460,A. Roberson,2022-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203462,A. Goodwin,2015-16,131,241,5,36,17,46,2,5,0,10,21,82,2,15,178.0,435.0,0.54,0.14,0.37,0.4,0.0,0.26,0.13,0.55,0.08,0.11,0.01,0.02,0.19,0.03
203462,A. Goodwin,2016-17,27,45,1,1,3,5,1,1,1,1,3,13,2,2,38.0,68.0,0.6,1.0,0.6,1.0,1.0,0.23,1.0,0.66,0.01,0.07,0.01,0.01,0.19,0.03
203462,A. Goodwin,2017-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203462,A. Goodwin,2018-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203463,B. McLemore,2015-16,88,141,11,43,29,86,11,33,15,42,41,110,26,75,221.0,530.0,0.62,0.26,0.34,0.33,0.36,0.37,0.35,0.27,0.08,0.16,0.06,0.08,0.21,0.14
203463,B. McLemore,2016-17,63,98,9,40,43,111,13,26,10,28,41,114,23,54,202.0,471.0,0.64,0.22,0.39,0.5,0.36,0.36,0.43,0.21,0.08,0.24,0.06,0.06,0.24,0.11
203463,B. McLemore,2017-18,62,109,14,36,26,70,13,33,5,13,37,111,18,46,175.0,418.0,0.57,0.39,0.37,0.39,0.38,0.33,0.39,0.26,0.09,0.17,0.08,0.03,0.27,0.11
203463,B. McLemore,2018-19,4,8,0,3,4,12,3,9,1,4,13,27,4,13,29.0,76.0,0.5,0.0,0.33,0.33,0.25,0.48,0.31,0.11,0.04,0.16,0.12,0.05,0.36,0.17
203463,B. McLemore,2019-20,58,82,2,10,1,1,30,70,35,74,116,306,65,144,307.0,687.0,0.71,0.2,1.0,0.43,0.47,0.38,0.45,0.12,0.01,0.0,0.1,0.11,0.45,0.21
203463,B. McLemore,2020-21,24,40,5,15,9,30,20,41,15,30,62,207,35,71,170.0,434.0,0.6,0.33,0.3,0.49,0.5,0.3,0.49,0.09,0.03,0.07,0.09,0.07,0.48,0.16
203463,B. McLemore,2021-22,39,57,2,11,26,56,35,73,33,65,81,275,68,138,284.0,675.0,0.68,0.18,0.46,0.48,0.51,0.29,0.49,0.08,0.02,0.08,0.11,0.1,0.41,0.2
203464,B. Paul,2017-18,31,47,6,12,3,14,2,7,2,8,11,38,4,15,59.0,141.0,0.66,0.5,0.21,0.29,0.25,0.29,0.27,0.33,0.09,0.1,0.05,0.06,0.27,0.11
203468,CJ McCollum,2015-16,142,288,96,209,206,462,34,78,14,29,149,365,48,107,689.0,1538.0,0.49,0.46,0.45,0.44,0.48,0.41,0.45,0.19,0.14,0.3,0.05,0.02,0.24,0.07
203468,CJ McCollum,2016-17,169,299,108,221,230,482,14,33,15,36,156,364,29,69,721.0,1504.0,0.57,0.49,0.48,0.42,0.42,0.43,0.42,0.2,0.15,0.32,0.02,0.02,0.24,0.05
203468,CJ McCollum,2017-18,165,310,124,279,189,441,15,42,9,23,165,410,24,65,691.0,1570.0,0.53,0.44,0.43,0.36,0.39,0.4,0.37,0.2,0.18,0.28,0.03,0.01,0.26,0.04
203468,CJ McCollum,2018-19,145,264,99,215,160,319,12,22,9,20,146,402,21,42,592.0,1284.0,0.55,0.46,0.5,0.55,0.45,0.36,0.5,0.21,0.17,0.25,0.02,0.02,0.31,0.03
203468,CJ McCollum,2019-20,149,268,116,265,152,311,23,40,21,40,150,432,44,80,655.0,1436.0,0.56,0.44,0.49,0.57,0.52,0.35,0.55,0.19,0.18,0.22,0.03,0.03,0.3,0.06
203468,CJ McCollum,2020-21,69,122,74,153,93,190,14,25,16,41,139,353,30,66,435.0,950.0,0.57,0.48,0.49,0.56,0.39,0.39,0.45,0.13,0.16,0.2,0.03,0.04,0.37,0.07
203468,CJ McCollum,2021-22,106,173,120,254,128,270,16,41,10,26,156,400,26,67,562.0,1231.0,0.61,0.47,0.47,0.39,0.38,0.39,0.39,0.14,0.21,0.22,0.03,0.02,0.32,0.05
203468,CJ McCollum,2022-23,125,213,135,290,117,300,17,39,5,27,188,475,22,66,609.0,1410.0,0.59,0.47,0.39,0.44,0.19,0.4,0.33,0.15,0.21,0.21,0.03,0.02,0.34,0.05
203468,CJ McCollum,2023-24,82,151,105,218,58,129,11,26,20,42,208,489,31,68,515.0,1123.0,0.54,0.48,0.45,0.42,0.48,0.43,0.46,0.13,0.19,0.11,0.02,0.04,0.44,0.06
203468,CJ McCollum,2024-25,116,187,101,219,56,135,13,27,11,41,147,391,24,68,468.0,1068.0,0.62,0.46,0.41,0.48,0.27,0.38,0.35,0.18,0.21,0.13,0.03,0.04,0.37,0.06
203471,Dennis Schröder,2015-16,158,307,20,57,74,178,5,17,4,9,68,209,9,26,338.0,803.0,0.51,0.35,0.42,0.29,0.44,0.33,0.35,0.38,0.07,0.22,0.02,0.01,0.26,0.03
203471,Dennis Schröder,2016-17,267,491,45,131,136,298,9,18,4,8,87,266,13,26,561.0,1238.0,0.54,0.34,0.46,0.5,0.5,0.33,0.5,0.4,0.11,0.24,0.01,0.01,0.21,0.02
203471,Dennis Schröder,2017-18,206,378,63,161,155,346,3,11,1,7,72,237,4,18,504.0,1158.0,0.54,0.39,0.45,0.27,0.14,0.3,0.22,0.33,0.14,0.3,0.01,0.01,0.2,0.02
203471,Dennis Schröder,2018-19,156,303,78,204,99,232,12,27,8,26,104,307,20,53,477.0,1152.0,0.51,0.38,0.43,0.44,0.31,0.34,0.38,0.26,0.18,0.2,0.02,0.02,0.27,0.05
203471,Dennis Schröder,2019-20,157,250,54,147,117,243,13,25,5,10,107,286,18,35,471.0,996.0,0.63,0.37,0.48,0.52,0.5,0.37,0.51,0.25,0.15,0.24,0.03,0.01,0.29,0.04
203471,Dennis Schröder,2020-21,132,236,56,160,74,152,5,23,0,9,65,177,5,32,337.0,789.0,0.56,0.35,0.49,0.22,0.0,0.37,0.16,0.3,0.2,0.19,0.03,0.01,0.22,0.04
203471,Dennis Schröder,2021-22,108,170,59,154,59,151,8,22,4,8,74,218,12,30,324.0,753.0,0.64,0.38,0.39,0.36,0.5,0.34,0.4,0.23,0.2,0.2,0.03,0.01,0.29,0.04
203471,Dennis Schröder,2022-23,77,144,64,151,55,132,13,40,7,21,54,162,20,61,290.0,711.0,0.53,0.42,0.42,0.32,0.33,0.33,0.33,0.2,0.21,0.19,0.06,0.03,0.23,0.09
203471,Dennis Schröder,2023-24,133,231,59,162,73,166,13,38,13,27,112,298,26,65,429.0,987.0,0.58,0.36,0.44,0.34,0.48,0.38,0.4,0.23,0.16,0.17,0.04,0.03,0.3,0.07
203471,Dennis Schröder,2024-25,87,155,58,162,64,138,10,23,8,13,109,332,18,36,354.0,859.0,0.56,0.36,0.46,0.43,0.62,0.33,0.5,0.18,0.19,0.16,0.03,0.02,0.39,0.04
203473,D. Dedmon,2015-16,72,111,18,39,9,27,0,0,0,0,0,0,0,0,99.0,177.0,0.65,0.46,0.33,0.0,0.0,0.0,0.0,0.63,0.22,0.15,0.0,0.0,0.0,0.0
203473,D. Dedmon,2016-17,136,199,17,39,8,21,0,0,0,0,0,0,0,0,161.0,259.0,0.68,0.44,0.38,0.0,0.0,0.0,0.0,0.77,0.15,0.08,0.0,0.0,0.0,0.0
203473,D. Dedmon,2017-18,115,148,43,96,43,93,11,31,16,38,22,71,27,69,277.0,546.0,0.78,0.45,0.46,0.35,0.42,0.31,0.39,0.27,0.18,0.17,0.06,0.07,0.13,0.13
203473,D. Dedmon,2018-19,134,195,25,71,18,44,8,17,21,51,53,148,29,68,288.0,594.0,0.69,0.35,0.41,0.47,0.41,0.36,0.43,0.33,0.12,0.07,0.03,0.09,0.25,0.11
203473,D. Dedmon,2019-20,61,92,11,37,8,19,1,5,2,15,19,87,3,20,105.0,275.0,0.66,0.3,0.42,0.2,0.13,0.22,0.15,0.33,0.13,0.07,0.02,0.05,0.32,0.07
203473,D. Dedmon,2020-21,37,45,7,12,1,3,0,1,0,0,1,4,0,1,46.0,66.0,0.82,0.58,0.33,0.0,0.0,0.25,0.0,0.68,0.18,0.05,0.02,0.0,0.06,0.02
203473,D. Dedmon,2021-22,108,160,28,57,9,26,0,2,2,4,17,40,2,6,166.0,295.0,0.68,0.49,0.35,0.0,0.5,0.42,0.33,0.54,0.19,0.09,0.01,0.01,0.14,0.02
203473,D. Dedmon,2022-23,40,63,21,39,4,10,0,4,1,2,11,33,1,6,78.0,157.0,0.63,0.54,0.4,0.0,0.5,0.33,0.17,0.4,0.25,0.06,0.03,0.01,0.21,0.04
203473,D. Dedmon,2023-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203475,E. Green,2015-16,0,0,2,4,2,4,0,0,0,0,1,5,0,0,5.0,13.0,0.0,0.5,0.5,0.0,0.0,0.2,0.0,0.0,0.31,0.31,0.0,0.0,0.38,0.0
203477,I. Canaan,2015-16,49,110,15,57,20,70,24,48,17,54,135,383,41,102,301.0,824.0,0.45,0.26,0.29,0.5,0.31,0.35,0.4,0.13,0.07,0.08,0.06,0.07,0.46,0.12
203477,I. Canaan,2016-17,18,32,8,15,12,32,5,12,3,17,17,65,8,29,71.0,202.0,0.56,0.53,0.38,0.42,0.18,0.26,0.28,0.16,0.07,0.16,0.06,0.08,0.32,0.14
203477,I. Canaan,2017-18,19,48,9,16,2,7,4,7,1,4,17,54,5,11,57.0,147.0,0.4,0.56,0.29,0.57,0.25,0.31,0.45,0.33,0.11,0.05,0.05,0.03,0.37,0.07
203477,I. Canaan,2018-19,19,43,3,10,8,15,5,14,6,13,23,69,11,27,75.0,191.0,0.44,0.3,0.53,0.36,0.46,0.33,0.41,0.23,0.05,0.08,0.07,0.07,0.36,0.14
203477,I. Canaan,2019-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203482,Kelly Olynyk,2015-16,131,200,17,66,20,80,6,9,8,14,71,187,14,23,267.0,579.0,0.66,0.26,0.25,0.67,0.57,0.38,0.61,0.35,0.11,0.14,0.02,0.02,0.32,0.04
203482,Kelly Olynyk,2016-17,147,202,20,46,25,68,8,15,10,17,50,160,18,32,278.0,540.0,0.73,0.43,0.37,0.53,0.59,0.31,0.56,0.37,0.09,0.13,0.03,0.03,0.3,0.06
203482,Kelly Olynyk,2017-18,151,199,29,72,30,85,7,20,10,22,89,237,17,42,333.0,677.0,0.76,0.4,0.35,0.35,0.45,0.38,0.4,0.29,0.11,0.13,0.03,0.03,0.35,0.06
203482,Kelly Olynyk,2018-19,111,160,22,43,15,42,15,38,14,38,84,242,29,76,290.0,639.0,0.69,0.51,0.36,0.39,0.37,0.35,0.38,0.25,0.07,0.07,0.06,0.06,0.38,0.12
203482,Kelly Olynyk,2019-20,63,95,16,39,10,30,7,19,11,28,77,186,18,47,202.0,444.0,0.66,0.41,0.33,0.37,0.39,0.41,0.38,0.21,0.09,0.07,0.04,0.06,0.42,0.11
203482,Kelly Olynyk,2020-21,173,233,30,71,8,25,8,39,10,24,108,305,18,63,355.0,760.0,0.74,0.42,0.32,0.21,0.42,0.35,0.29,0.31,0.09,0.03,0.05,0.03,0.4,0.08
203482,Kelly Olynyk,2021-22,66,105,10,31,12,31,1,2,3,3,36,113,4,5,132.0,290.0,0.63,0.32,0.39,0.5,1.0,0.32,0.8,0.36,0.11,0.11,0.01,0.01,0.39,0.02
203482,Kelly Olynyk,2022-23,113,162,60,128,12,31,11,25,11,25,71,186,22,50,300.0,607.0,0.7,0.47,0.39,0.44,0.44,0.38,0.44,0.27,0.21,0.05,0.04,0.04,0.31,0.08
203482,Kelly Olynyk,2023-24,153,210,45,85,18,47,6,11,7,18,47,126,13,29,289.0,526.0,0.73,0.53,0.38,0.55,0.39,0.37,0.45,0.4,0.16,0.09,0.02,0.03,0.24,0.06
203482,Kelly Olynyk,2024-25,70,110,23,53,8,26,3,3,3,7,27,69,6,10,140.0,278.0,0.64,0.43,0.31,1.0,0.43,0.39,0.6,0.4,0.19,0.09,0.01,0.03,0.25,0.04
203484,Kentavious Caldwell-Pope,2015-16,144,234,46,123,99,234,30,78,8,28,76,257,38,106,441.0,1060.0,0.62,0.37,0.42,0.38,0.29,0.3,0.36,0.22,0.12,0.22,0.07,0.03,0.24,0.1
203484,Kentavious Caldwell-Pope,2016-17,86,149,29,88,102,254,28,59,7,17,118,353,35,76,405.0,996.0,0.58,0.33,0.4,0.47,0.41,0.33,0.46,0.15,0.09,0.26,0.06,0.02,0.35,0.08
203484,Kentavious Caldwell-Pope,2017-18,112,168,13,52,56,163,17,41,15,30,127,343,32,71,372.0,868.0,0.67,0.25,0.34,0.41,0.5,0.37,0.45,0.19,0.06,0.19,0.05,0.03,0.4,0.08
203484,Kentavious Caldwell-Pope,2018-19,98,154,17,45,59,123,29,65,20,54,102,314,49,119,374.0,874.0,0.64,0.38,0.48,0.45,0.37,0.32,0.41,0.18,0.05,0.14,0.07,0.06,0.36,0.14
203484,Kentavious Caldwell-Pope,2019-20,95,147,13,35,38,87,20,48,18,49,53,140,38,97,275.0,603.0,0.65,0.37,0.44,0.42,0.37,0.38,0.39,0.24,0.06,0.14,0.08,0.08,0.23,0.16
203484,Kentavious Caldwell-Pope,2020-21,67,119,8,26,24,69,20,54,30,65,69,173,50,119,268.0,625.0,0.56,0.31,0.35,0.37,0.46,0.4,0.42,0.19,0.04,0.11,0.09,0.1,0.28,0.19
203484,Kentavious Caldwell-Pope,2021-22,76,118,30,98,96,205,39,85,29,66,91,257,68,151,429.0,980.0,0.64,0.31,0.47,0.46,0.44,0.35,0.45,0.12,0.1,0.21,0.09,0.07,0.26,0.15
203484,Kentavious Caldwell-Pope,2022-23,76,121,25,57,57,137,32,79,23,56,79,181,55,135,347.0,766.0,0.63,0.44,0.42,0.41,0.41,0.44,0.41,0.16,0.07,0.18,0.1,0.07,0.24,0.18
203484,Kentavious Caldwell-Pope,2023-24,74,125,20,46,51,108,21,59,30,62,74,187,51,121,321.0,708.0,0.59,0.43,0.47,0.36,0.48,0.4,0.42,0.18,0.06,0.15,0.08,0.09,0.26,0.17
203484,Kentavious Caldwell-Pope,2024-25,56,76,15,34,55,104,20,67,21,52,72,211,41,119,280.0,663.0,0.74,0.44,0.53,0.3,0.4,0.34,0.34,0.11,0.05,0.16,0.1,0.08,0.32,0.18
203485,L. Brown,2015-16,3,5,1,2,3,10,0,0,0,0,1,7,0,0,8.0,24.0,0.6,0.5,0.3,0.0,0.0,0.14,0.0,0.21,0.08,0.42,0.0,0.0,0.29,0.0
203485,L. Brown,2016-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203485,L. Brown,2017-18,4,5,4,9,4,8,0,2,0,4,2,6,0,6,14.0,40.0,0.8,0.44,0.5,0.0,0.0,0.33,0.0,0.12,0.22,0.2,0.05,0.1,0.15,0.15
203485,L. Brown,2018-19,10,26,4,10,3,7,2,6,1,3,3,17,3,9,26.0,78.0,0.38,0.4,0.43,0.33,0.33,0.18,0.33,0.33,0.13,0.09,0.08,0.04,0.22,0.12
203486,Mason Plumlee,2015-16,213,351,42,125,12,37,0,0,0,0,0,2,0,0,267.0,515.0,0.61,0.34,0.32,0.0,0.0,0.0,0.0,0.68,0.24,0.07,0.0,0.0,0.0,0.0
203486,Mason Plumlee,2016-17,267,414,43,121,24,82,0,0,0,0,0,1,0,0,334.0,618.0,0.64,0.36,0.29,0.0,0.0,0.0,0.0,0.67,0.2,0.13,0.0,0.0,0.0,0.0
203486,Mason Plumlee,2017-18,190,276,24,75,7,16,0,0,0,0,0,1,0,0,221.0,368.0,0.69,0.32,0.44,0.0,0.0,0.0,0.0,0.75,0.2,0.04,0.0,0.0,0.0,0.0
203486,Mason Plumlee,2018-19,212,298,41,108,7,26,0,0,0,1,2,6,0,1,262.0,440.0,0.71,0.38,0.27,0.0,0.0,0.33,0.0,0.68,0.25,0.06,0.0,0.0,0.01,0.0
203486,Mason Plumlee,2019-20,161,211,14,58,2,14,0,2,0,0,0,2,0,2,177.0,289.0,0.76,0.24,0.14,0.0,0.0,0.0,0.0,0.73,0.2,0.05,0.01,0.0,0.01,0.01
203486,Mason Plumlee,2020-21,189,247,34,91,11,36,0,2,0,2,0,3,0,4,234.0,385.0,0.77,0.37,0.31,0.0,0.0,0.0,0.0,0.64,0.24,0.09,0.01,0.01,0.01,0.01
203486,Mason Plumlee,2021-22,185,253,17,59,3,6,0,0,0,0,0,1,0,0,205.0,319.0,0.73,0.29,0.5,0.0,0.0,0.0,0.0,0.79,0.18,0.02,0.0,0.0,0.0,0.0
203486,Mason Plumlee,2022-23,287,390,33,77,9,17,0,0,0,0,0,0,0,0,329.0,484.0,0.74,0.43,0.53,0.0,0.0,0.0,0.0,0.81,0.16,0.04,0.0,0.0,0.0,0.0
203486,Mason Plumlee,2023-24,71,109,16,37,0,1,0,2,0,2,0,2,0,4,87.0,157.0,0.65,0.43,0.0,0.0,0.0,0.0,0.0,0.69,0.24,0.01,0.01,0.01,0.01,0.03
203486,Mason Plumlee,2024-25,109,143,16,50,0,5,0,2,0,0,0,1,0,2,125.0,203.0,0.76,0.32,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.02,0.01,0.0,0.0,0.01
203487,M. Carter-Williams,2015-16,123,218,61,140,52,142,4,10,1,5,10,39,5,15,256.0,569.0,0.56,0.44,0.37,0.4,0.2,0.26,0.33,0.38,0.25,0.25,0.02,0.01,0.07,0.03
203487,M. Carter-Williams,2016-17,50,99,27,82,20,61,5,15,3,12,7,37,8,27,120.0,333.0,0.51,0.33,0.33,0.33,0.25,0.19,0.3,0.3,0.25,0.18,0.05,0.04,0.11,0.08
203487,M. Carter-Williams,2017-18,41,82,13,48,8,41,1,14,4,9,9,35,5,23,81.0,252.0,0.5,0.27,0.2,0.07,0.44,0.26,0.22,0.33,0.19,0.16,0.06,0.04,0.14,0.09
203487,M. Carter-Williams,2018-19,23,47,13,35,0,3,3,5,2,8,5,25,5,13,51.0,136.0,0.49,0.37,0.0,0.6,0.25,0.2,0.38,0.35,0.26,0.02,0.04,0.06,0.18,0.1
203487,M. Carter-Williams,2019-20,61,108,23,61,5,16,5,16,1,7,16,52,6,23,117.0,283.0,0.56,0.38,0.31,0.31,0.14,0.31,0.26,0.38,0.22,0.06,0.06,0.02,0.18,0.08
203487,M. Carter-Williams,2020-21,59,103,26,84,5,22,4,9,2,5,9,47,6,14,111.0,284.0,0.57,0.31,0.23,0.44,0.4,0.19,0.43,0.36,0.3,0.08,0.03,0.02,0.17,0.05
203487,M. Carter-Williams,2022-23,3,4,2,7,0,0,0,0,0,1,1,2,0,1,6.0,15.0,0.75,0.29,0.0,0.0,0.0,0.5,0.0,0.27,0.47,0.0,0.0,0.07,0.13,0.07
203488,M. Muscala,2015-16,37,55,10,17,17,41,2,6,1,6,9,26,3,12,79.0,163.0,0.67,0.59,0.41,0.33,0.17,0.35,0.25,0.34,0.1,0.25,0.04,0.04,0.16,0.07
203488,M. Muscala,2016-17,68,102,22,37,34,88,5,14,10,20,31,74,15,34,185.0,369.0,0.67,0.59,0.39,0.36,0.5,0.42,0.44,0.28,0.1,0.24,0.04,0.05,0.2,0.09
203488,M. Muscala,2017-18,53,76,16,34,12,35,16,34,11,22,35,111,27,56,170.0,368.0,0.7,0.47,0.34,0.47,0.5,0.32,0.48,0.21,0.09,0.1,0.09,0.06,0.3,0.15
203488,M. Muscala,2018-19,35,58,6,18,15,29,11,26,5,28,73,201,16,54,161.0,414.0,0.6,0.33,0.52,0.42,0.18,0.36,0.3,0.14,0.04,0.07,0.06,0.07,0.49,0.13
203488,M. Muscala,2019-20,18,29,1,7,4,10,6,17,3,8,45,118,9,25,86.0,214.0,0.62,0.14,0.4,0.35,0.38,0.38,0.36,0.14,0.03,0.05,0.08,0.04,0.55,0.12
203488,M. Muscala,2020-21,26,41,12,18,13,25,11,28,9,20,48,134,20,48,139.0,314.0,0.63,0.67,0.52,0.39,0.45,0.36,0.42,0.13,0.06,0.08,0.09,0.06,0.43,0.15
203488,M. Muscala,2021-22,26,40,8,17,9,28,7,20,3,9,60,134,10,29,123.0,277.0,0.65,0.47,0.32,0.35,0.33,0.45,0.34,0.14,0.06,0.1,0.07,0.03,0.48,0.1
203488,M. Muscala,2022-23,23,33,15,29,12,23,12,29,8,21,61,157,20,50,151.0,342.0,0.7,0.52,0.52,0.41,0.38,0.39,0.4,0.1,0.08,0.07,0.08,0.06,0.46,0.15
203488,M. Muscala,2023-24,19,34,6,15,3,12,2,10,8,14,18,71,10,24,66.0,180.0,0.56,0.4,0.25,0.2,0.57,0.25,0.42,0.19,0.08,0.07,0.06,0.08,0.39,0.13
203490,O. Porter Jr.,2015-16,120,182,20,55,101,213,16,47,21,53,61,164,37,100,376.0,814.0,0.66,0.36,0.47,0.34,0.4,0.37,0.37,0.22,0.07,0.26,0.06,0.07,0.2,0.12
203490,O. Porter Jr.,2016-17,122,174,43,78,101,210,20,63,39,76,89,200,59,139,473.0,940.0,0.7,0.55,0.48,0.32,0.51,0.44,0.42,0.19,0.08,0.22,0.07,0.08,0.21,0.15
203490,O. Porter Jr.,2017-18,116,169,59,128,132,277,12,29,16,34,110,247,28,63,473.0,947.0,0.69,0.46,0.48,0.41,0.47,0.45,0.44,0.18,0.14,0.29,0.03,0.04,0.26,0.07
203490,O. Porter Jr.,2018-19,74,114,45,78,76,195,16,39,16,35,72,182,32,74,331.0,717.0,0.65,0.58,0.39,0.41,0.46,0.4,0.43,0.16,0.11,0.27,0.05,0.05,0.25,0.1
203490,O. Porter Jr.,2019-20,11,26,19,30,8,22,3,7,3,7,18,47,6,14,68.0,153.0,0.42,0.63,0.36,0.43,0.43,0.38,0.43,0.17,0.2,0.14,0.05,0.05,0.31,0.09
203490,O. Porter Jr.,2020-21,29,40,12,38,18,46,9,20,6,11,24,71,15,31,113.0,257.0,0.72,0.32,0.39,0.45,0.55,0.34,0.48,0.16,0.15,0.18,0.08,0.04,0.28,0.12
203490,O. Porter Jr.,2021-22,62,87,26,57,26,59,8,28,9,25,62,160,17,53,210.0,469.0,0.71,0.46,0.44,0.29,0.36,0.39,0.32,0.19,0.12,0.13,0.06,0.05,0.34,0.11
203490,O. Porter Jr.,2022-23,5,5,2,3,2,5,1,2,1,3,4,12,2,5,17.0,35.0,1.0,0.67,0.4,0.5,0.33,0.33,0.4,0.14,0.09,0.14,0.06,0.09,0.34,0.14
203490,O. Porter Jr.,2023-24,4,7,0,0,2,3,1,1,3,8,4,14,4,9,18.0,42.0,0.57,0.0,0.67,1.0,0.38,0.29,0.44,0.17,0.0,0.07,0.02,0.19,0.33,0.21
203492,R. McCallum,2015-16,21,37,3,14,16,53,1,5,3,8,11,29,4,13,59.0,159.0,0.57,0.21,0.3,0.2,0.38,0.38,0.31,0.23,0.09,0.33,0.03,0.05,0.18,0.08
203492,R. McCallum,2016-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203492,R. McCallum,2018-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203492,R. McCallum,2020-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203493,R. Bullock,2015-16,11,20,4,11,6,14,6,14,7,12,9,27,13,26,56.0,124.0,0.55,0.36,0.43,0.43,0.58,0.33,0.5,0.16,0.09,0.11,0.11,0.1,0.22,0.21
203493,R. Bullock,2016-17,19,32,1,4,6,19,6,15,4,10,18,48,10,25,64.0,153.0,0.59,0.25,0.32,0.4,0.4,0.38,0.4,0.21,0.03,0.12,0.1,0.07,0.31,0.16
