,,,Restricted Area,Restricted Area,In The Paint (Non-RA),In The Paint (Non-RA),Mid-Range,Mid-Range,Left Corner 3,Left Corner 3,Right Corner 3,Right Corner 3,Above the Break 3,Above the Break 3,Corner 3,Corner 3,,,Restricted Area,In The Paint (Non-RA),Mid-Range,Left Corner 3,Right Corner 3,Above the Break 3,Corner 3,Restricted Area,In The Paint (Non-RA),Mid-Range,Left Corner 3,Right Corner 3,Above the Break 3,Corner 3
PLAYER_ID,PLAYER,SEASON,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,TOTAL_FGM,TOTAL_FGA,FG_PCT,FG_PCT,FG_PCT,FG_PCT,FG_PCT,FG_PCT,FG_PCT,FREQ,FREQ,FREQ,FREQ,FREQ,FREQ,FREQ
201143,Al Horford,2016-17,131,191,70,158,92,210,3,9,11,29,72,204,14,38,393.0,839.0,0.69,0.44,0.44,0.33,0.38,0.35,0.37,0.23,0.19,0.25,0.01,0.03,0.24,0.05
201143,Al Horford,2017-18,128,185,78,187,65,154,9,18,10,18,78,191,19,36,387.0,789.0,0.69,0.42,0.42,0.5,0.56,0.41,0.53,0.23,0.24,0.2,0.02,0.02,0.24,0.05
201143,Al Horford,2018-19,148,206,73,143,93,170,4,9,2,12,67,182,6,21,393.0,743.0,0.72,0.51,0.55,0.44,0.17,0.37,0.29,0.28,0.19,0.23,0.01,0.02,0.24,0.03
201143,Al Horford,2019-20,110,158,40,111,70,157,4,15,6,22,89,246,10,37,329.0,746.0,0.7,0.36,0.45,0.27,0.27,0.36,0.27,0.21,0.15,0.21,0.02,0.03,0.33,0.05
201143,Al Horford,2020-21,46,77,36,70,24,61,3,7,1,11,52,134,4,18,166.0,378.0,0.6,0.51,0.39,0.43,0.09,0.39,0.22,0.2,0.19,0.16,0.02,0.03,0.35,0.05
201143,Al Horford,2021-22,91,126,63,118,23,60,11,34,20,44,58,187,31,78,297.0,647.0,0.72,0.53,0.38,0.32,0.45,0.31,0.4,0.19,0.18,0.09,0.05,0.07,0.29,0.12
201143,Al Horford,2022-23,51,78,29,57,4,20,20,52,42,74,82,198,62,126,290.0,605.0,0.65,0.51,0.2,0.38,0.57,0.41,0.49,0.13,0.09,0.03,0.09,0.12,0.33,0.21
201143,Al Horford,2023-24,77,102,22,45,7,14,19,44,28,61,61,153,47,105,261.0,524.0,0.75,0.49,0.5,0.43,0.46,0.4,0.45,0.19,0.09,0.03,0.08,0.12,0.29,0.2
201143,Al Horford,2024-25,53,76,26,59,2,12,18,44,22,62,74,207,40,106,235.0,566.0,0.7,0.44,0.17,0.41,0.35,0.36,0.38,0.13,0.1,0.02,0.08,0.11,0.37,0.19
201144,Mike Conley,2015-16,106,194,48,127,62,160,9,22,8,19,61,172,17,41,311.0,735.0,0.55,0.38,0.39,0.41,0.42,0.35,0.41,0.26,0.17,0.22,0.03,0.03,0.23,0.06
201144,Mike Conley,2016-17,140,226,61,158,92,206,12,26,10,24,149,360,22,50,486.0,1050.0,0.62,0.39,0.45,0.46,0.42,0.41,0.44,0.22,0.15,0.2,0.02,0.02,0.34,0.05
201144,Mike Conley,2017-18,26,47,9,26,5,18,1,5,0,3,23,69,1,8,65.0,176.0,0.55,0.35,0.28,0.2,0.0,0.33,0.12,0.27,0.15,0.1,0.03,0.02,0.39,0.05
201144,Mike Conley,2018-19,137,249,111,248,87,197,11,25,14,30,130,369,25,55,515.0,1173.0,0.55,0.45,0.44,0.44,0.47,0.35,0.45,0.21,0.21,0.17,0.02,0.03,0.31,0.05
201144,Mike Conley,2019-20,55,96,52,149,29,66,12,23,15,35,68,194,27,58,258.0,621.0,0.57,0.35,0.44,0.52,0.43,0.35,0.47,0.15,0.24,0.11,0.04,0.06,0.31,0.09
201144,Mike Conley,2020-21,52,97,72,153,21,54,8,13,21,55,110,265,29,68,313.0,705.0,0.54,0.47,0.39,0.62,0.38,0.42,0.43,0.14,0.22,0.08,0.02,0.08,0.38,0.1
