,star_player,LINEUP_ARCHETYPE,player1_archetype,player2_archetype,player3_archetype,player4_archetype,fg_pct,opp_fg_pct,fta,opp_fta,ast,opp_ast,oreb,opp_oreb,dreb,opp_dreb,tov,opp_tov,stl,opp_stl,blk,opp_blk,pf,opp_pf,min_sum
79,Kevin Durant,All Around Big-Shot Creator Guard-Shot Creator Guard-Wing Shot Creator,All Around Big,Shot Creator Guard,Shot Creator Guard,Wing Shot Creator,51.8,39.3,33.3,31.3,31.3,19.3,7.1,16.1,36.3,29.8,13.9,15.7,10.9,7.5,10.7,3.9,19.5,24.2,223.73
80,Kevin Durant,Movement Shooter-Shot Creator Guard-Wing Shot Creator-Wing Shot Creator,Movement Shooter,Shot Creator Guard,Wing Shot Creator,Wing Shot Creator,52.92,43.71,30.03,25.43,30.59,19.74,5.65,12.37,37.22,33.37,14.34,17.95,9.52,7.71,5.87,2.79,18.24,23.63,186.9
81,Kevin Durant,All Around Big-Rim Runner/Protector-Shot Creator Guard-Wing Shot Creator,All Around Big,Rim Runner/Protector,Shot Creator Guard,Wing Shot Creator,56.9,38.75,18.61,20.46,39.07,23.9,3.98,10.87,42.22,26.58,18.6,17.29,10.37,11.71,6.89,3.18,18.06,18.07,180.64
82,Kevin Durant,All Around Big-All Around Guard-Post Scorer-Shot Creator Guard,All Around Big,All Around Guard,Post Scorer,Shot Creator Guard,49.86,46.84,31.92,25.04,23.38,21.71,15.67,11.28,33.56,25.86,12.92,11.57,6.58,6.59,3.84,4.98,19.78,23.68,174.44
83,Kevin Durant,3&D-All Around Big-Pure Point Guard-Shot Creator Guard,3&D,All Around Big,Pure Point Guard,Shot Creator Guard,52.55,41.62,22.73,21.39,27.51,19.49,8.67,12.18,33.62,27.53,12.47,12.5,6.4,5.73,6.36,2.59,17.63,19.8,150.09
84,Kevin Durant,Post Scorer-Rim Runner/Protector-Shot Creator Guard-Wing Shot Creator,Post Scorer,Rim Runner/Protector,Shot Creator Guard,Wing Shot Creator,55.92,42.24,23.56,19.46,30.38,23.56,6.83,12.62,39.61,30.03,11.61,10.57,5.8,7.17,8.87,4.09,19.1,16.04,140.57
85,Kevin Durant,All Around Big-Rim Runner/Protector-Shot Creator Guard-Shot Creator Guard,All Around Big,Rim Runner/Protector,Shot Creator Guard,Shot Creator Guard,50.49,39.91,20.96,20.24,35.38,22.64,8.89,12.32,43.22,34.3,11.99,15.14,9.63,7.51,5.47,5.14,14.77,16.12,139.83
86,Kevin Durant,3&D-All Around Big-Movement Shooter-Shot Creator Guard,3&D,All Around Big,Movement Shooter,Shot Creator Guard,57.92,41.82,14.85,14.45,30.02,28.05,4.4,11.23,38.06,28.87,16.01,10.8,5.23,10.01,3.18,3.98,14.44,18.02,119.78
87,Kevin Durant,3&D-Movement Shooter-Shot Creator Guard-Wing Shot Creator,3&D,Movement Shooter,Shot Creator Guard,Wing Shot Creator,54.98,47.28,27.55,32.8,31.0,22.71,6.12,14.42,26.22,30.12,10.9,15.28,10.92,5.7,5.27,2.64,26.22,21.87,109.83
88,Kevin Durant,Movement Shooter-Rim Runner/Protector-Shot Creator Guard-Shot Creator Guard,Movement Shooter,Rim Runner/Protector,Shot Creator Guard,Shot Creator Guard,50.47,41.89,28.4,17.51,27.93,26.08,8.5,10.42,41.19,31.28,15.16,12.3,4.73,5.69,7.12,5.67,17.03,24.61,101.36
89,Kevin Durant,All Around Guard-Movement Shooter-Rim Runner/Protector-Shot Creator Guard,All Around Guard,Movement Shooter,Rim Runner/Protector,Shot Creator Guard,55.47,39.12,30.18,20.78,28.16,25.23,7.42,11.87,41.06,29.64,14.83,12.36,5.42,6.9,6.91,4.44,20.78,23.23,97.06
90,LeBron James,3&D-All Around Big-All Around Big-Movement Shooter,3&D,All Around Big,All Around Big,Movement Shooter,50.03,45.72,17.95,18.66,29.96,26.16,10.36,8.94,36.91,31.6,15.86,15.96,9.49,9.49,8.64,3.97,19.69,19.25,683.3
91,LeBron James,3&D-Pure Point Guard-Rim Runner/Protector-Wing Shot Creator,3&D,Pure Point Guard,Rim Runner/Protector,Wing Shot Creator,50.69,43.39,23.12,18.77,25.78,23.11,9.44,10.05,37.72,32.81,15.73,14.77,9.68,8.53,8.7,5.52,19.54,20.47,253.25
92,LeBron James,All Around Big-Movement Shooter-Movement Shooter-Shot Creator Guard,All Around Big,Movement Shooter,Movement Shooter,Shot Creator Guard,50.13,45.93,28.47,16.02,29.35,27.98,7.67,9.91,36.6,33.65,11.06,13.32,7.89,6.52,6.53,4.06,13.12,23.69,212.58
93,LeBron James,3&D-All Around Big-Movement Shooter-Wing Shot Creator,3&D,All Around Big,Movement Shooter,Wing Shot Creator,50.51,40.44,25.33,27.22,27.91,19.63,11.38,12.29,37.61,31.95,17.03,18.93,9.69,9.94,5.89,2.36,22.27,19.39,202.8
94,LeBron James,Movement Shooter-Shot Creator Guard-Stretch Big-Wing Shot Creator,Movement Shooter,Shot Creator Guard,Stretch Big,Wing Shot Creator,50.26,46.07,19.9,16.5,26.81,23.38,7.64,8.61,33.7,30.77,14.3,14.49,6.86,6.88,4.66,5.64,14.78,17.97,195.05
