,star_player,LINEUP_ARCHETYPE,player1_archetype,player2_archetype,player3_archetype,player4_archetype,fg_pct,opp_fg_pct,fta,opp_fta,ast,opp_ast,oreb,opp_oreb,dreb,opp_dreb,tov,opp_tov,stl,opp_stl,blk,opp_blk,pf,opp_pf,min_sum
143,Shai Gilgeous-Alexander,All Around Big-Movement Shooter-Movement Shooter-Movement Shooter,All Around Big,Movement Shooter,Movement Shooter,Movement Shooter,50.53,41.07,21.69,21.12,23.68,25.68,11.97,15.97,35.36,31.65,10.55,12.26,5.72,5.99,7.97,4.83,17.38,18.82,168.28
144,Shai Gilgeous-Alexander,3&D-Movement Shooter-Movement Shooter-Stretch Big,3&D,Movement Shooter,Movement Shooter,Stretch Big,46.03,40.57,25.4,26.29,24.54,22.55,11.13,11.14,36.84,35.15,10.58,15.42,7.99,6.57,4.56,5.42,20.01,20.57,168.09
145,Shai Gilgeous-Alexander,All Around Big-Movement Shooter-Movement Shooter-Wing Shot Creator,All Around Big,Movement Shooter,Movement Shooter,Wing Shot Creator,51.45,44.28,19.9,22.88,27.31,24.36,9.82,14.55,32.06,31.18,11.58,13.07,5.05,6.54,8.32,5.93,19.89,19.6,161.7
146,Shai Gilgeous-Alexander,Movement Shooter-Movement Shooter-Movement Shooter-Rim Runner/Protector,Movement Shooter,Movement Shooter,Movement Shooter,Rim Runner/Protector,48.58,42.44,23.64,21.17,25.83,24.58,11.19,12.42,36.11,32.68,12.45,16.48,9.35,5.6,7.47,4.98,21.46,18.36,154.2
147,Shai Gilgeous-Alexander,Movement Shooter-Movement Shooter-Pure Point Guard-Stretch Big,Movement Shooter,Movement Shooter,Pure Point Guard,Stretch Big,49.77,49.05,32.05,18.44,20.83,29.26,8.41,10.81,30.05,31.25,10.03,13.22,6.02,5.61,3.21,2.8,15.23,26.44,119.78
148,Shai Gilgeous-Alexander,Movement Shooter-Movement Shooter-Movement Shooter-Movement Shooter,Movement Shooter,Movement Shooter,Movement Shooter,Movement Shooter,47.42,43.43,15.58,27.37,26.93,20.3,10.88,11.81,29.76,33.99,10.86,22.2,14.66,7.09,6.64,3.32,21.74,18.42,101.62
149,Shai Gilgeous-Alexander,3&D-Movement Shooter-Movement Shooter-Movement Shooter,3&D,Movement Shooter,Movement Shooter,Movement Shooter,51.57,46.4,24.17,26.13,24.69,27.52,10.92,13.26,30.37,29.46,11.86,15.66,8.53,6.64,8.08,5.22,18.98,20.89,101.1
150,Stephen Curry,Rim Runner/Protector-Wing Shot Creator-Wing Shot Creator-Wing Shot Creator,Rim Runner/Protector,Wing Shot Creator,Wing Shot Creator,Wing Shot Creator,51.53,43.38,17.78,21.06,32.16,23.77,8.46,11.12,37.4,32.07,15.39,14.06,8.02,8.93,5.98,3.2,19.19,17.94,1608.61
151,Stephen Curry,All Around Big-Rim Runner/Protector-Shot Creator Guard-Wing Shot Creator,All Around Big,Rim Runner/Protector,Shot Creator Guard,Wing Shot Creator,51.14,45.55,20.29,20.52,32.85,23.89,10.23,9.45,37.29,31.02,15.34,14.22,8.29,8.21,5.81,4.05,19.06,17.86,840.43
152,Stephen Curry,All Around Big-Rim Runner/Protector-Wing Shot Creator-Wing Shot Creator,All Around Big,Rim Runner/Protector,Wing Shot Creator,Wing Shot Creator,52.56,42.49,19.4,22.62,36.42,24.82,8.32,10.67,38.13,30.87,14.45,15.49,7.96,8.55,5.43,3.5,19.65,17.8,791.33
153,Stephen Curry,All Around Big-Shot Creator Guard-Wing Shot Creator-Wing Shot Creator,All Around Big,Shot Creator Guard,Wing Shot Creator,Wing Shot Creator,49.39,43.93,24.06,25.55,31.34,24.65,8.56,13.47,35.95,33.9,13.16,15.25,8.73,7.22,6.54,4.33,19.23,20.26,762.87
154,Stephen Curry,All Around Big-Post Scorer-Shot Creator Guard-Wing Shot Creator,All Around Big,Post Scorer,Shot Creator Guard,Wing Shot Creator,52.54,43.78,20.81,19.33,36.21,22.67,9.24,9.3,37.52,29.25,14.64,15.96,10.5,8.6,5.9,3.47,17.8,18.87,633.72
155,Stephen Curry,All Around Big-Wing Shot Creator-Wing Shot Creator-Wing Shot Creator,All Around Big,Wing Shot Creator,Wing Shot Creator,Wing Shot Creator,50.71,44.8,23.35,22.7,33.13,26.38,7.11,12.13,37.25,34.6,14.0,14.09,7.83,8.47,7.58,3.25,19.36,20.16,418.92
156,Stephen Curry,All Around Big-Movement Shooter-Rim Runner/Protector-Wing Shot Creator,All Around Big,Movement Shooter,Rim Runner/Protector,Wing Shot Creator,49.67,43.19,21.72,23.3,31.31,22.35,14.72,11.25,36.8,29.31,16.62,15.95,9.09,8.15,6.43,3.61,18.88,17.41,358.48
157,Stephen Curry,Post Scorer-Rim Runner/Protector-Wing Shot Creator-Wing Shot Creator,Post Scorer,Rim Runner/Protector,Wing Shot Creator,Wing Shot Creator,51.63,41.51,27.01,25.66,29.27,20.1,12.31,9.16,37.96,27.31,13.67,12.61,7.65,6.74,5.54,4.21,21.76,22.81,319.8
158,Stephen Curry,Movement Shooter-Shot Creator Guard-Stretch Big-Wing Shot Creator,Movement Shooter,Shot Creator Guard,Stretch Big,Wing Shot Creator,48.84,47.46,24.48,16.8,33.05,24.11,10.52,9.3,33.4,32.71,15.06,20.43,13.97,8.19,3.65,5.42,15.04,20.13,274.43
159,Stephen Curry,Movement Shooter-Wing Shot Creator-Wing Shot Creator-Wing Shot Creator,Movement Shooter,Wing Shot Creator,Wing Shot Creator,Wing Shot Creator,52.66,41.08,26.14,25.42,33.32,18.41,6.22,12.28,37.82,33.67,12.57,17.87,9.8,6.4,5.99,3.75,19.01,22.4,255.05
160,Stephen Curry,Movement Shooter-Rim Runner/Protector-Stretch Big-Wing Shot Creator,Movement Shooter,Rim Runner/Protector,Stretch Big,Wing Shot Creator,51.72,42.85,20.58,21.06,30.54,24.28,8.78,11.11,37.47,31.0,16.19,14.81,9.49,9.95,6.03,4.87,19.91,18.73,207.52
161,Stephen Curry,Wing Shot Creator-Wing Shot Creator-Wing Shot Creator-Wing Shot Creator,Wing Shot Creator,Wing Shot Creator,Wing Shot Creator,Wing Shot Creator,59.7,38.5,34.6,32.4,33.5,19.8,9.5,15.3,38.8,25.7,15.1,17.0,11.2,10.0,6.1,2.5,20.4,25.9,172.1
162,Stephen Curry,All Around Big-Shot Creator Guard-Stretch Big-Wing Shot Creator,All Around Big,Shot Creator Guard,Stretch Big,Wing Shot Creator,53.54,46.96,21.83,25.31,28.79,25.33,5.69,12.37,30.39,29.45,17.41,19.0,8.89,8.23,2.52,2.24,21.54,22.14,151.68
163,Stephen Curry,Movement Shooter-Rim Runner/Protector-Rim Runner/Protector-Wing Shot Creator,Movement Shooter,Rim Runner/Protector,Rim Runner/Protector,Wing Shot Creator,49.48,45.59,21.98,22.64,32.67,22.96,11.64,14.23,31.7,35.24,12.62,18.13,12.3,5.51,3.88,4.84,20.7,17.47,148.46
164,Stephen Curry,All Around Big-Movement Shooter-Stretch Big-Wing Shot Creator,All Around Big,Movement Shooter,Stretch Big,Wing Shot Creator,50.71,42.6,22.25,22.27,34.33,25.15,8.74,8.24,40.62,34.33,9.66,14.03,6.79,4.37,5.8,4.85,20.29,18.88,99.23
