,star_player,LINEUP_ARCHETYPE,player1_archetype,player2_archetype,player3_archetype,player4_archetype,pct_pts_3pt,pct_pts_paint,pct_pts_fb,pct_pts_2pt_mr,pct_ast_fgm,pct_uast_fgm,efg_pct,ts_pct,min_sum
47,James Harden,Rim Runner/Protector-Shot Creator Guard-Stretch Big-Wing Shot Creator,Rim Runner/Protector,Shot Creator Guard,Stretch Big,Wing Shot Creator,0.3489339339339339,0.4385735735735735,0.1268198198198198,0.08079879879879881,0.6024504504504505,0.3975495495495495,0.5897177177177176,0.6201021021021021,333.0
48,James Harden,All Around Big-All Around Guard-Stretch Big-Wing Shot Creator,All Around Big,All Around Guard,Stretch Big,Wing Shot Creator,0.308,0.428,0.145,0.076,0.645,0.355,0.582,0.629,323.0
49,James Harden,3&D-3&D-Movement Shooter-Rim Runner/Protector,3&D,3&D,Movement Shooter,Rim Runner/Protector,0.4740566037735849,0.40243396226415096,0.09812264150943396,0.00539622641509434,0.498632075471698,0.5013679245283019,0.6366415094339624,0.6584811320754718,106.0
50,James Harden,Movement Shooter-Shot Creator Guard-Stretch Big-Wing Shot Creator,Movement Shooter,Shot Creator Guard,Stretch Big,Wing Shot Creator,0.34663529411764704,0.4053294117647058,0.12172941176470589,0.10461176470588236,0.5836235294117648,0.41637647058823524,0.6347294117647059,0.6740117647058824,85.0
51,James Harden,3&D-3&D-Movement Shooter-Shot Creator Guard,3&D,3&D,Movement Shooter,Shot Creator Guard,0.3140135135135135,0.4280675675675676,0.08477027027027026,0.009648648648648648,0.46964864864864864,0.5310405405405405,0.5407162162162162,0.6036891891891891,74.0
52,James Harden,Movement Shooter-Pure Point Guard-Rim Runner/Protector-Shot Creator Guard,Movement Shooter,Pure Point Guard,Rim Runner/Protector,Shot Creator Guard,0.40372602739726027,0.3651917808219178,0.13727397260273974,0.08376712328767123,0.5572191780821917,0.4427808219178082,0.6456301369863013,0.6765753424657535,73.0
53,James Harden,3&D-All Around Guard-Pure Point Guard-Rim Runner/Protector,3&D,All Around Guard,Pure Point Guard,Rim Runner/Protector,0.3399014084507042,0.4665492957746479,0.022183098591549297,0.011535211267605634,0.5789718309859155,0.42102816901408446,0.5860845070422535,0.6309436619718309,71.0
54,James Harden,All Around Guard-Rim Runner/Protector-Stretch Big-Wing Shot Creator,All Around Guard,Rim Runner/Protector,Stretch Big,Wing Shot Creator,0.2556818181818182,0.49033333333333334,0.08419696969696969,0.0653939393939394,0.5777878787878787,0.4222121212121212,0.6867424242424243,0.7336363636363636,66.0
55,James Harden,Pure Point Guard-Rim Runner/Protector-Stretch Big-Wing Shot Creator,Pure Point Guard,Rim Runner/Protector,Stretch Big,Wing Shot Creator,0.309,0.503,0.126,0.046,0.667,0.333,0.636,0.662,66.0
56,James Harden,All Around Guard-Rim Runner/Protector-Wing Shot Creator-Wing Shot Creator,All Around Guard,Rim Runner/Protector,Wing Shot Creator,Wing Shot Creator,0.27488709677419354,0.40733870967741936,0.12009677419354839,0.10116129032258064,0.5863548387096775,0.4136451612903226,0.5388225806451612,0.5873709677419355,62.0
57,James Harden,3&D-Movement Shooter-Shot Creator Guard-Stretch Big,3&D,Movement Shooter,Shot Creator Guard,Stretch Big,0.341,0.4344666666666666,0.14956666666666668,0.0084,0.45161666666666667,0.5483833333333333,0.6307833333333334,0.6687833333333334,60.0
58,James Harden,All Around Big-Movement Shooter-Movement Shooter-Wing Shot Creator,All Around Big,Movement Shooter,Movement Shooter,Wing Shot Creator,0.49346666666666666,0.35534999999999994,0.13005,0.05525,0.6241,0.37589999999999996,0.5629000000000001,0.5902166666666666,60.0
59,James Harden,All Around Guard-Pure Point Guard-Rim Runner/Protector-Wing Shot Creator,All Around Guard,Pure Point Guard,Rim Runner/Protector,Wing Shot Creator,0.263,0.584,0.139,0.044,0.673,0.327,0.598,0.628,55.0
60,Kawhi Leonard,All Around Guard-Rim Runner/Protector-Stretch Big-Wing Shot Creator,All Around Guard,Rim Runner/Protector,Stretch Big,Wing Shot Creator,0.38630078124999995,0.36644140624999993,0.10445703124999998,0.12055273437500001,0.5510644531250001,0.4489355468750001,0.6070683593749999,0.6338125,512.0
61,Kawhi Leonard,All Around Guard-Post Scorer-Stretch Big-Wing Shot Creator,All Around Guard,Post Scorer,Stretch Big,Wing Shot Creator,0.4243665158371041,0.34759728506787335,0.09712895927601813,0.1128212669683258,0.6181764705882352,0.38182352941176473,0.5941606334841629,0.6219660633484163,442.0
62,Kawhi Leonard,All Around Guard-Movement Shooter-Rim Runner/Protector-Shot Creator Guard,All Around Guard,Movement Shooter,Rim Runner/Protector,Shot Creator Guard,0.3071005291005291,0.44643386243386246,0.13615079365079363,0.07432539682539684,0.5611269841269841,0.4388730158730159,0.5955899470899471,0.6347275132275132,378.0
63,Kawhi Leonard,All Around Guard-Rim Runner/Protector-Shot Creator Guard-Stretch Big,All Around Guard,Rim Runner/Protector,Shot Creator Guard,Stretch Big,0.30971854304635765,0.44788410596026496,0.10848344370860927,0.10241059602649005,0.5572317880794703,0.44276821192052973,0.5821291390728477,0.6087847682119205,302.0
64,Kawhi Leonard,3&D-All Around Guard-Post Scorer-Post Scorer,3&D,All Around Guard,Post Scorer,Post Scorer,0.23018846153846154,0.37077692307692306,0.10370000000000001,0.22503461538461536,0.5766269230769231,0.423373076923077,0.521576923076923,0.5681653846153846,260.0
65,Kawhi Leonard,Rim Runner/Protector-Shot Creator Guard-Shot Creator Guard-Stretch Big,Rim Runner/Protector,Shot Creator Guard,Shot Creator Guard,Stretch Big,0.3168675799086758,0.49387671232876706,0.15134246575342464,0.07838812785388129,0.6519954337899544,0.3480045662100457,0.6149360730593607,0.6388858447488585,219.0
66,Kawhi Leonard,All Around Guard-All Around Guard-Rim Runner/Protector-Wing Shot Creator,All Around Guard,All Around Guard,Rim Runner/Protector,Wing Shot Creator,0.37201,0.33263000000000004,0.137235,0.13214,0.573525,0.426475,0.56682,0.606015,200.0
67,Kawhi Leonard,All Around Guard-Rim Runner/Protector-Shot Creator Guard-Wing Shot Creator,All Around Guard,Rim Runner/Protector,Shot Creator Guard,Wing Shot Creator,0.2893652694610778,0.4082095808383233,0.13585628742514969,0.11300000000000002,0.5546886227544909,0.445311377245509,0.6069640718562874,0.6463952095808384,167.0
68,Kawhi Leonard,Rim Runner/Protector-Wing Shot Creator-Wing Shot Creator-Wing Shot Creator,Rim Runner/Protector,Wing Shot Creator,Wing Shot Creator,Wing Shot Creator,0.368,0.373,0.075,0.139,0.596,0.404,0.635,0.658,142.0
69,Kawhi Leonard,All Around Big-Movement Shooter-Pure Point Guard-Wing Shot Creator,All Around Big,Movement Shooter,Pure Point Guard,Wing Shot Creator,0.284,0.459,0.186,0.092,0.584,0.416,0.597,0.634,140.0
70,Kawhi Leonard,All Around Guard-Movement Shooter-Rim Runner/Protector-Wing Shot Creator,All Around Guard,Movement Shooter,Rim Runner/Protector,Wing Shot Creator,0.31244354838709676,0.4199112903225807,0.09955645161290322,0.15543548387096773,0.5907580645161291,0.409241935483871,0.5644274193548388,0.5876854838709679,124.0
71,Kawhi Leonard,All Around Guard-All Around Guard-Movement Shooter-Rim Runner/Protector,All Around Guard,All Around Guard,Movement Shooter,Rim Runner/Protector,0.3084949494949495,0.4971414141414142,0.23619191919191923,0.03865656565656565,0.6488989898989899,0.3512828282828283,0.5601515151515151,0.5913030303030303,99.0
72,Kawhi Leonard,3&D-All Around Guard-Post Scorer-Stretch Big,3&D,All Around Guard,Post Scorer,Stretch Big,0.371,0.3174137931034483,0.0969655172413793,0.18888505747126436,0.6371954022988505,0.3628045977011494,0.6287471264367817,0.6562068965517242,87.0
73,Kawhi Leonard,All Around Guard-Glue guy-Rim Runner/Protector-Shot Creator Guard,All Around Guard,Glue guy,Rim Runner/Protector,Shot Creator Guard,0.2690588235294118,0.5372705882352942,0.18030588235294115,0.07448235294117647,0.5731411764705883,0.4268588235294118,0.5970705882352941,0.612564705882353,85.0
74,Kawhi Leonard,All Around Guard-Post Scorer-Pure Point Guard-Stretch Big,All Around Guard,Post Scorer,Pure Point Guard,Stretch Big,0.2590166666666667,0.4231666666666667,0.1315,0.12043333333333335,0.5406,0.4594,0.5312833333333333,0.5948,60.0
75,Kevin Durant,3&D-Post Scorer-Rim Runner/Protector-Shot Creator Guard,3&D,Post Scorer,Rim Runner/Protector,Shot Creator Guard,0.21542719298245616,0.47150877192982454,0.19351403508771933,0.17398508771929827,0.6212921052631578,0.3787078947368421,0.5574736842105263,0.5877,1140.0
76,Kevin Durant,All Around Big-Post Scorer-Shot Creator Guard-Shot Creator Guard,All Around Big,Post Scorer,Shot Creator Guard,Shot Creator Guard,0.3566934046345811,0.3744260249554367,0.22248663101604277,0.13134759358288772,0.7746559714795008,0.22534402852049912,0.6053618538324421,0.6383957219251337,561.0
77,Kevin Durant,All Around Big-Shot Creator Guard-Shot Creator Guard-Wing Shot Creator,All Around Big,Shot Creator Guard,Shot Creator Guard,Wing Shot Creator,0.289,0.408,0.203,0.075,0.705,0.295,0.591,0.654,224.0
78,Kevin Durant,Movement Shooter-Shot Creator Guard-Wing Shot Creator-Wing Shot Creator,Movement Shooter,Shot Creator Guard,Wing Shot Creator,Wing Shot Creator,0.40340641711229935,0.3068877005347594,0.20865240641711227,0.09899465240641711,0.6509251336898396,0.34907486631016044,0.635668449197861,0.6777860962566844,187.0
