GROUP_ID,GROUP_NAME,TEAM_ID,SEASON
203999-1629008-1629618-1631124-1631212,N. Jokić - M. Porter Jr. - J. Pickett - J. Strawther - P. Watson,1610612743,2024-25
201566-203999-1631124-1631128-1641816,R. Westbrook - N. Jokić - J. Strawther - C. Braun - H. Tyson,1610612743,2024-25
201566-203999-1631124-1631212-1641816,R. Westbrook - N. Jokić - J. Strawther - P. Watson - H. Tyson,1610612743,2024-25
201566-203932-203999-1627750-1631124,R. Westbrook - A. Gordon - N. Jokić - J. Murray - J. Strawther,1610612743,2024-25
201566-203999-1629008-1629618-1630192,R. Westbrook - N. Jokić - M. Porter Jr. - J. Pickett - Z. Nnaji,1610612743,2024-25
203932-203999-1629008-1631128-1641816,A. Gordon - N. Jokić - M. Porter Jr. - C. Braun - H. Tyson,1610612743,2024-25
203999-1629618-1631124-1631128-1641816,N. Jokić - J. Pickett - J. Strawther - C. Braun - H. Tyson,1610612743,2024-25
203999-1631124-1631128-1631212-1641816,N. Jokić - J. Strawther - C. Braun - P. Watson - H. Tyson,1610612743,2024-25
203999-1629008-1629618-1630192-1631124,N. Jokić - M. Porter Jr. - J. Pickett - Z. Nnaji - J. Strawther,1610612743,2024-25
201566-203932-203999-1627750-1631212,R. Westbrook - A. Gordon - N. Jokić - J. Murray - P. Watson,1610612743,2024-25
201566-203932-203999-1629618-1631128,R. Westbrook - A. Gordon - N. Jokić - J. Pickett - C. Braun,1610612743,2024-25
201566-203999-1629008-1629618-1631128,R. Westbrook - N. Jokić - M. Porter Jr. - J. Pickett - C. Braun,1610612743,2024-25
203999-1629618-1630192-1631128-1631212,N. Jokić - J. Pickett - Z. Nnaji - C. Braun - P. Watson,1610612743,2024-25
203999-1629008-1629618-1631128-1631212,N. Jokić - M. Porter Jr. - J. Pickett - C. Braun - P. Watson,1610612743,2024-25
201566-203999-1627750-1630192-1631124,R. Westbrook - N. Jokić - J. Murray - Z. Nnaji - J. Strawther,1610612743,2024-25
201566-203999-1629618-1631124-1631212,R. Westbrook - N. Jokić - J. Pickett - J. Strawther - P. Watson,1610612743,2024-25
201566-203999-1629008-1631124-1641725,R. Westbrook - N. Jokić - M. Porter Jr. - J. Strawther - T. Alexander,1610612743,2024-25
203932-203999-1627750-1631128-1641816,A. Gordon - N. Jokić - J. Murray - C. Braun - H. Tyson,1610612743,2024-25
203999-1627750-1629008-1629618-1630192,N. Jokić - J. Murray - M. Porter Jr. - J. Pickett - Z. Nnaji,1610612743,2024-25
203999-1627750-1629008-1631124-1641816,N. Jokić - J. Murray - M. Porter Jr. - J. Strawther - H. Tyson,1610612743,2024-25
203999-1629618-1631124-1631212-1641816,N. Jokić - J. Pickett - J. Strawther - P. Watson - H. Tyson,1610612743,2024-25
203999-1629618-1630192-1631128-1641816,N. Jokić - J. Pickett - Z. Nnaji - C. Braun - H. Tyson,1610612743,2024-25
203999-1629618-1630192-1631124-1641816,N. Jokić - J. Pickett - Z. Nnaji - J. Strawther - H. Tyson,1610612743,2024-25
203999-1629008-1629618-1631124-1631128,N. Jokić - M. Porter Jr. - J. Pickett - J. Strawther - C. Braun,1610612743,2024-25
201566-203932-203999-1631124-1641816,R. Westbrook - A. Gordon - N. Jokić - J. Strawther - H. Tyson,1610612743,2024-25
201566-203932-203999-1629008-1631212,R. Westbrook - A. Gordon - N. Jokić - M. Porter Jr. - P. Watson,1610612743,2024-25
201566-203999-1627750-1631124-1641816,R. Westbrook - N. Jokić - J. Murray - J. Strawther - H. Tyson,1610612743,2024-25
201566-203999-1630192-1631128-1631212,R. Westbrook - N. Jokić - Z. Nnaji - C. Braun - P. Watson,1610612743,2024-25
203932-203999-1629618-1631124-1631128,A. Gordon - N. Jokić - J. Pickett - J. Strawther - C. Braun,1610612743,2024-25
203967-203999-1629618-1631124-1631128,D. Šarić - N. Jokić - J. Pickett - J. Strawther - C. Braun,1610612743,2024-25
203999-1627750-1629618-1631124-1631212,N. Jokić - J. Murray - J. Pickett - J. Strawther - P. Watson,1610612743,2024-25
203999-1627750-1629008-1631128-1641816,N. Jokić - J. Murray - M. Porter Jr. - C. Braun - H. Tyson,1610612743,2024-25
203999-1627750-1629008-1630192-1631124,N. Jokić - J. Murray - M. Porter Jr. - Z. Nnaji - J. Strawther,1610612743,2024-25
203999-1630192-1631124-1631128-1641816,N. Jokić - Z. Nnaji - J. Strawther - C. Braun - H. Tyson,1610612743,2024-25
201566-203932-203999-1631128-1641816,R. Westbrook - A. Gordon - N. Jokić - C. Braun - H. Tyson,1610612743,2024-25
201566-203932-203999-1629618-1631212,R. Westbrook - A. Gordon - N. Jokić - J. Pickett - P. Watson,1610612743,2024-25
201566-203999-1629008-1631128-1641725,R. Westbrook - N. Jokić - M. Porter Jr. - C. Braun - T. Alexander,1610612743,2024-25
203932-203999-1629008-1629618-1631124,A. Gordon - N. Jokić - M. Porter Jr. - J. Pickett - J. Strawther,1610612743,2024-25
203967-203999-1627750-1629618-1631128,D. Šarić - N. Jokić - J. Murray - J. Pickett - C. Braun,1610612743,2024-25
203999-1627750-1629618-1631128-1641816,N. Jokić - J. Murray - J. Pickett - C. Braun - H. Tyson,1610612743,2024-25
203999-1627750-1631124-1631128-1641816,N. Jokić - J. Murray - J. Strawther - C. Braun - H. Tyson,1610612743,2024-25
203999-1629008-1630192-1631124-1631128,N. Jokić - M. Porter Jr. - Z. Nnaji - J. Strawther - C. Braun,1610612743,2024-25
201566-203999-1627750-1630192-1631212,R. Westbrook - N. Jokić - J. Murray - Z. Nnaji - P. Watson,1610612743,2024-25
201566-203999-1629618-1630192-1631128,R. Westbrook - N. Jokić - J. Pickett - Z. Nnaji - C. Braun,1610612743,2024-25
201566-203999-1629618-1630192-1642461,R. Westbrook - N. Jokić - J. Pickett - Z. Nnaji - S. Jones,1610612743,2024-25
203484-203932-203999-1627750-1629008,K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - M. Porter Jr.,1610612743,2023-24
202704-203484-203932-203999-1629008,R. Jackson - K. Caldwell-Pope - A. Gordon - N. Jokic - M. Porter Jr.,1610612743,2023-24
202704-203484-203999-1631128-1631212,R. Jackson - K. Caldwell-Pope - N. Jokic - C. Braun - P. Watson,1610612743,2023-24
203484-203932-203999-1629008-1631128,K. Caldwell-Pope - A. Gordon - N. Jokic - M. Porter Jr. - C. Braun,1610612743,2023-24
203200-203932-203999-1627750-1629008,J. Holiday - A. Gordon - N. Jokic - J. Murray - M. Porter Jr.,1610612743,2023-24
203484-203999-1627750-1629008-1631212,K. Caldwell-Pope - N. Jokic - J. Murray - M. Porter Jr. - P. Watson,1610612743,2023-24
203484-203932-203999-1629008-1631221,K. Caldwell-Pope - A. Gordon - N. Jokic - M. Porter Jr. - C. Gillespie,1610612743,2023-24
202704-203200-203999-1631128-1631212,R. Jackson - J. Holiday - N. Jokic - C. Braun - P. Watson,1610612743,2023-24
202704-203484-203932-203999-1631128,R. Jackson - K. Caldwell-Pope - A. Gordon - N. Jokic - C. Braun,1610612743,2023-24
202704-203200-203484-203999-1629008,R. Jackson - J. Holiday - K. Caldwell-Pope - N. Jokic - M. Porter Jr.,1610612743,2023-24
202704-203200-203932-203999-1629008,R. Jackson - J. Holiday - A. Gordon - N. Jokic - M. Porter Jr.,1610612743,2023-24
203484-203999-1627750-1629008-1631128,K. Caldwell-Pope - N. Jokic - J. Murray - M. Porter Jr. - C. Braun,1610612743,2023-24
202704-203484-203999-1629008-1631212,R. Jackson - K. Caldwell-Pope - N. Jokic - M. Porter Jr. - P. Watson,1610612743,2023-24
202704-203999-1627750-1631128-1631212,R. Jackson - N. Jokic - J. Murray - C. Braun - P. Watson,1610612743,2023-24
202704-203999-1631124-1631128-1631212,R. Jackson - N. Jokic - J. Strawther - C. Braun - P. Watson,1610612743,2023-24
203932-203999-1627750-1629008-1631128,A. Gordon - N. Jokic - J. Murray - M. Porter Jr. - C. Braun,1610612743,2023-24
203484-203932-203999-1627750-1631128,K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - C. Braun,1610612743,2023-24
202704-203999-1629008-1631128-1631212,R. Jackson - N. Jokic - M. Porter Jr. - C. Braun - P. Watson,1610612743,2023-24
202704-203484-203999-1629008-1631128,R. Jackson - K. Caldwell-Pope - N. Jokic - M. Porter Jr. - C. Braun,1610612743,2023-24
203200-203484-203999-1627750-1629008,J. Holiday - K. Caldwell-Pope - N. Jokic - J. Murray - M. Porter Jr.,1610612743,2023-24
203484-203999-1629008-1631128-1631212,K. Caldwell-Pope - N. Jokic - M. Porter Jr. - C. Braun - P. Watson,1610612743,2023-24
203999-1627750-1629008-1631128-1631212,N. Jokic - J. Murray - M. Porter Jr. - C. Braun - P. Watson,1610612743,2023-24
203484-203999-1627750-1631128-1631212,K. Caldwell-Pope - N. Jokic - J. Murray - C. Braun - P. Watson,1610612743,2023-24
202704-203932-203999-1629008-1631128,R. Jackson - A. Gordon - N. Jokic - M. Porter Jr. - C. Braun,1610612743,2023-24
203200-203484-203999-1631128-1631212,J. Holiday - K. Caldwell-Pope - N. Jokic - C. Braun - P. Watson,1610612743,2023-24
202704-203484-203932-203999-1631212,R. Jackson - K. Caldwell-Pope - A. Gordon - N. Jokic - P. Watson,1610612743,2023-24
203200-203932-203999-1627750-1631212,J. Holiday - A. Gordon - N. Jokic - J. Murray - P. Watson,1610612743,2023-24
203484-203932-203999-1629008-1629618,K. Caldwell-Pope - A. Gordon - N. Jokic - M. Porter Jr. - J. Pickett,1610612743,2023-24
202704-203999-1627750-1629008-1631212,R. Jackson - N. Jokic - J. Murray - M. Porter Jr. - P. Watson,1610612743,2023-24
203484-203932-203999-1627750-1631212,K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - P. Watson,1610612743,2023-24
203484-203999-1631128-1631212-1631221,K. Caldwell-Pope - N. Jokic - C. Braun - P. Watson - C. Gillespie,1610612743,2023-24
203200-203484-203932-203999-1631128,J. Holiday - K. Caldwell-Pope - A. Gordon - N. Jokic - C. Braun,1610612743,2023-24
203484-203932-203999-1629008-1631124,K. Caldwell-Pope - A. Gordon - N. Jokic - M. Porter Jr. - J. Strawther,1610612743,2023-24
202704-203932-203999-1631128-1631212,R. Jackson - A. Gordon - N. Jokic - C. Braun - P. Watson,1610612743,2023-24
202704-203200-203484-203999-1631212,R. Jackson - J. Holiday - K. Caldwell-Pope - N. Jokic - P. Watson,1610612743,2023-24
203200-203932-203999-1627750-1631128,J. Holiday - A. Gordon - N. Jokic - J. Murray - C. Braun,1610612743,2023-24
202704-203200-203932-203999-1631128,R. Jackson - J. Holiday - A. Gordon - N. Jokic - C. Braun,1610612743,2023-24
